Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Regicide,Blue,8.0,-1,0,11,74,11,12,7,7,57,0,14,75,0,30,323,0.58,0.0,0.0,1,0,0,6.73,8.14,0.18,1,3,2,1,0,2,0,1,27.27,50.0,28.57,14.29
Black Mamba,Red,8.0,1,1,13,111,12,13,6,6,20,2,14,94,0,36,343,0.46,14.29,7.69,1,0,0,8.54,3.33,0.06,1,4,1,0,0,2,0,1,30.77,0.0,33.33,16.67
Rasta Mon,Blue,8.0,-1,0,5,39,5,5,17,17,105,0,14,60,0,24,323,3.4,0.0,0.0,0,0,0,7.8,6.18,0.33,1,1,0,0,0,2,1,3,20.0,0.0,11.76,17.65
ipopu,Red,8.0,1,2,14,78,12,14,11,11,32,1,14,75,0,30,343,0.79,7.14,14.29,2,0,0,5.57,2.91,0.09,0,2,2,1,0,3,0,2,14.29,50.0,27.27,18.18
chaiwala,Red,8.0,1,0,12,77,12,12,9,11,15,2,14,80,0,32,343,0.92,14.29,0.0,0,2,0,6.42,1.67,0.04,1,3,2,1,0,1,0,1,25.0,50.0,11.11,11.11
aeps002,Red,8.0,1,0,7,57,7,9,12,12,48,0,14,88,0,34,343,1.33,0.0,0.0,2,0,0,8.14,4.0,0.14,0,1,1,0,0,2,1,4,14.29,0.0,16.67,33.33
Goofy Goober,Blue,8.0,-1,1,14,104,13,14,9,11,16,3,14,75,0,30,323,0.79,21.43,7.14,1,2,0,7.43,1.78,0.05,1,2,2,1,0,1,0,1,14.29,50.0,11.11,11.11
Belacqua,Blue,8.0,-1,1,10,126,9,9,10,13,45,6,14,64,0,24,323,1.44,42.86,10.0,0,3,0,12.6,4.5,0.14,2,2,1,1,0,5,1,5,20.0,100.0,50.0,50.0
