Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
tnevlos,Red,8.0,1,0,7,45,7,12,10,12,31,0,14,67,45,35,242,1.0,0.0,0.0,5,2,0,6.43,3.1,0.13,1,3,0,0,0,1,0,2,42.86,0.0,10.0,20.0
mex,Red,8.0,1,1,14,91,12,16,13,15,52,2,14,73,10,30,242,0.94,14.29,7.14,4,2,1,6.5,4.0,0.21,1,4,3,0,0,6,0,6,28.57,0.0,46.15,46.15
Sugar,Blue,8.0,-1,1,9,65,8,8,18,21,108,4,14,64,10,26,249,2.62,28.57,11.11,0,3,0,7.22,6.0,0.43,0,1,0,0,0,10,1,12,11.11,0.0,55.56,66.67
Chritt,Red,8.0,1,1,12,53,11,13,10,10,57,2,14,86,5,35,242,0.77,14.29,8.33,2,0,0,4.42,5.7,0.24,0,5,3,0,0,3,0,4,41.67,0.0,30.0,40.0
8-),Blue,8.0,-1,1,16,79,15,15,6,6,35,1,14,122,40,56,249,0.4,7.14,6.25,0,0,0,4.94,5.83,0.14,0,5,3,3,0,3,0,3,31.25,100.0,50.0,50.0
360broscope,Blue,8.0,-1,0,9,31,9,12,15,18,78,2,14,72,20,32,249,1.5,14.29,0.0,3,3,0,3.44,5.2,0.31,0,4,1,0,0,8,0,7,44.44,0.0,53.33,46.67
Enervate,Red,8.0,1,1,15,60,14,17,13,13,35,0,14,116,10,48,242,0.76,0.0,6.67,3,0,0,4.0,2.69,0.14,1,9,2,1,0,4,0,6,60.0,50.0,30.77,46.15
DEAD NAN,Blue,8.0,-1,0,14,67,14,17,5,9,18,3,14,150,0,60,249,0.53,21.43,0.0,3,4,0,4.79,3.6,0.07,0,4,0,0,0,0,0,0,28.57,0.0,0.0,0.0
