Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Witcher,Red,4.8,5,0,2,9,2,4,9,9,114,0,8,35,0,14,107,2.25,0.0,0.0,2,0,0,4.5,12.67,1.07,0,1,1,0,0,5,0,6,50.0,0.0,55.56,66.67
Irony,Blue,4.8,-5,0,11,62,11,11,4,5,15,0,8,56,0,22,146,0.45,0.0,0.0,0,1,0,5.64,3.75,0.1,1,8,3,0,0,3,0,3,72.73,0.0,75.0,75.0
Enervate,Blue,4.8,-5,0,9,20,9,13,7,7,5,1,8,69,5,27,146,0.54,12.5,0.0,4,0,0,2.22,0.71,0.03,0,4,1,1,0,0,0,2,44.44,100.0,0.0,28.57
meowza,Red,4.8,5,2,11,71,9,9,4,6,9,2,8,92,5,37,107,0.67,25.0,18.18,0,2,0,6.45,2.25,0.08,0,4,1,1,0,2,0,3,36.36,100.0,50.0,75.0
Toidi,Blue,4.8,-5,0,3,14,3,3,9,9,78,1,8,33,0,12,146,3.0,12.5,0.0,0,0,0,4.67,8.67,0.53,0,1,1,0,0,5,0,6,33.33,0.0,55.56,66.67
Russ,Red,4.8,5,0,4,21,4,4,11,12,97,1,8,45,5,19,107,3.0,12.5,0.0,0,1,0,5.25,8.82,0.91,0,1,0,0,0,8,0,8,25.0,0.0,72.73,72.73
T.Bomballdil,Blue,4.8,-5,0,5,11,5,6,3,4,39,1,8,45,5,19,146,0.67,12.5,0.0,1,1,0,2.2,13.0,0.27,0,2,0,0,0,1,0,1,40.0,0.0,33.33,33.33
BallsToYou.,Red,4.8,5,3,11,45,8,8,4,6,15,2,8,65,5,27,107,0.75,25.0,27.27,0,2,0,4.09,3.75,0.14,0,3,2,0,0,0,0,0,27.27,0.0,0.0,0.0
