Player,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,CD/Min,Captures/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min
#4 Meerkat,63.5,17,11,95,989,83,100,71,90,222,17,111,665,90,280,2553,0.9,15.32,11.58,17,19,1,10.41,3.13,0.09,16,14,7,4,0,21,3,21,14.74,57.14,29.58,29.58,0.27,0.17,1.5,15.57,1.31,1.57,1.12,1.42,3.5,0.27
1 Pixel Juke,31.5,-6,4,44,321,40,50,45,50,144,6,60,343,35,141,1237,1.0,10.0,9.09,10,5,0,7.3,3.2,0.12,3,9,5,3,1,6,2,9,20.45,60.0,13.33,20.0,-0.19,0.13,1.4,10.19,1.27,1.59,1.43,1.59,4.57,0.19
11th Cmndmnt,62.8,1,3,72,551,69,88,77,102,396,17,109,637,25,255,2471,1.16,15.6,4.17,19,25,0,7.65,5.14,0.16,6,17,6,3,0,23,3,29,23.61,50.0,29.87,37.66,0.02,0.05,1.15,8.77,1.1,1.4,1.23,1.62,6.31,0.27
13 volcanos,6.2,-5,0,7,29,7,11,8,11,44,1,10,59,0,22,238,1.0,10.0,0.0,4,3,0,4.14,5.5,0.18,0,2,1,1,0,1,0,2,28.57,100.0,12.5,25.0,-0.81,0.0,1.13,4.68,1.13,1.77,1.29,1.77,7.1,0.16
13.5 inches,100.3,-4,1,30,246,29,67,185,205,1229,29,179,714,155,309,3561,3.06,16.2,3.33,38,20,0,8.2,6.64,0.35,5,7,3,2,0,53,7,61,23.33,66.67,28.65,32.97,-0.04,0.01,0.3,2.45,0.29,0.67,1.84,2.04,12.25,0.29
360broscope,192.3,-22,9,195,1132,185,274,281,342,1978,43,352,1810,224,748,5861,1.25,12.22,4.62,89,61,1,5.81,7.04,0.34,7,67,26,5,1,122,12,125,34.36,19.23,43.42,44.48,-0.11,0.05,1.01,5.89,0.96,1.42,1.46,1.78,10.29,0.22
4:33.4,8.0,-2,0,13,163,13,17,4,4,0,1,14,80,0,32,424,0.24,7.14,0.0,4,0,0,12.54,0.0,0.0,5,3,2,1,0,0,0,0,23.08,50.0,0.0,0.0,-0.25,0.0,1.62,20.38,1.62,2.12,0.5,0.5,0.0,0.12
8-),310.1,-46,28,435,2428,402,485,364,423,2263,58,553,3465,384,1437,9983,0.87,10.49,6.44,83,59,5,5.58,6.22,0.23,14,138,48,15,3,102,11,129,31.72,31.25,28.02,35.44,-0.15,0.09,1.4,7.83,1.3,1.56,1.17,1.36,7.3,0.19
@pro,186.1,2,15,240,1556,223,307,276,307,1026,39,341,1903,93,762,7429,1.0,11.44,6.25,84,31,2,6.48,3.72,0.14,7,52,33,16,3,74,15,83,21.67,48.48,26.81,30.07,0.01,0.08,1.29,8.36,1.2,1.65,1.48,1.65,5.51,0.21
\m\=^_^=/m/,141.1,15,13,140,1251,126,164,180,222,1348,48,266,1488,115,603,5182,1.35,18.05,9.29,38,42,1,8.94,7.49,0.26,16,25,12,9,1,68,11,74,17.86,75.0,37.78,41.11,0.11,0.09,0.99,8.87,0.89,1.16,1.28,1.57,9.55,0.34
