Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
eee,Red,8.0,3,2,7,41,5,6,11,15,50,2,14,113,0,44,294,2.5,14.29,28.57,1,4,0,5.86,4.55,0.17,0,1,0,0,0,4,1,5,14.29,0.0,36.36,45.45
Roxas,Red,8.0,3,1,12,97,10,11,10,10,34,2,14,78,0,30,294,0.91,14.29,8.33,1,0,1,8.08,3.4,0.12,0,1,1,0,0,3,0,3,8.33,0.0,30.0,30.0
helprefugees,Blue,8.0,-3,1,10,42,9,10,7,7,34,2,14,105,0,42,313,0.7,14.29,10.0,1,0,0,4.2,4.86,0.11,0,2,1,0,0,0,0,0,20.0,0.0,0.0,0.0
jig,Blue,8.0,-3,0,10,36,10,12,11,11,51,2,14,96,0,38,313,0.92,14.29,0.0,2,0,0,3.6,4.64,0.16,0,6,3,2,0,3,1,3,60.0,66.67,27.27,27.27
toasty,Red,8.0,3,2,12,118,10,10,6,6,40,0,14,101,0,40,294,0.6,0.0,16.67,0,0,0,9.83,6.67,0.14,1,3,1,1,0,2,0,2,25.0,100.0,33.33,33.33
OuchMyBalls,Blue,8.0,-3,2,16,157,13,13,5,7,40,5,14,88,0,34,313,0.54,35.71,12.5,0,2,1,9.81,8.0,0.13,1,6,0,0,1,1,0,0,37.5,0.0,20.0,0.0
PenFifteen,Red,8.0,3,1,8,57,7,9,15,15,65,0,14,89,0,34,294,1.67,0.0,12.5,2,0,0,7.12,4.33,0.22,0,1,0,0,0,7,0,7,12.5,0.0,46.67,46.67
The Bhutan,Blue,8.0,-3,0,12,59,12,14,9,9,16,1,14,109,0,42,313,0.64,7.14,0.0,2,0,0,4.92,1.78,0.05,0,3,4,0,0,2,0,1,25.0,0.0,22.22,11.11
