Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
danp,Blue,4.4,5,1,6,47,5,6,4,4,21,1,8,67,0,26,189,0.67,12.5,16.67,1,0,0,7.83,5.25,0.11,1,2,1,1,0,1,2,1,33.33,100.0,25.0,25.0
Ceremony,Blue,4.4,5,2,5,85,3,3,4,6,11,2,8,34,0,12,189,2.0,25.0,40.0,0,2,0,17.0,2.75,0.06,2,0,0,0,0,1,1,1,0.0,0.0,25.0,25.0
Toidi,Red,4.4,-5,0,2,1,2,8,7,7,28,1,8,46,0,18,200,0.88,12.5,0.0,6,0,0,0.5,4.0,0.14,0,2,2,1,0,3,0,5,100.0,50.0,42.86,71.43
Bamboozler,Red,4.4,-5,0,4,79,4,5,3,3,16,0,8,41,0,16,200,0.6,0.0,0.0,1,0,0,19.75,5.33,0.08,1,2,1,0,0,0,0,0,50.0,0.0,0.0,0.0
jig,Red,4.4,-5,0,6,51,6,6,4,4,4,0,8,51,0,20,200,0.67,0.0,0.0,0,0,0,8.5,1.0,0.02,1,2,0,0,0,0,0,0,33.33,0.0,0.0,0.0
TheYoungWolf,Red,4.4,-5,0,7,58,7,9,1,1,23,1,8,60,0,24,200,0.11,12.5,0.0,2,0,0,8.29,23.0,0.12,1,3,1,1,0,0,0,0,42.86,100.0,0.0,0.0
Russ,Blue,4.4,5,1,4,35,3,4,3,5,15,1,8,53,0,20,189,1.25,12.5,25.0,1,2,0,8.75,5.0,0.08,0,0,0,0,0,1,0,1,0.0,0.0,33.33,33.33
Porps,Blue,4.4,5,1,5,33,4,5,8,11,24,2,8,44,0,16,189,2.2,25.0,20.0,1,3,0,6.6,3.0,0.13,0,1,1,0,0,6,0,6,20.0,0.0,75.0,75.0
