Map,Games,RedWins,BlueWins,Red Win %,Blue Win %
Audacity 2,1496,760,736,0.5080213903743316,0.4919786096256685
Moon Base 2024,1404,749,655,0.5334757834757835,0.46652421652421655
Pine,325,137,188,0.42153846153846153,0.5784615384615385
Asida,1712,885,827,0.5169392523364486,0.4830607476635514
Oak,784,411,373,0.5242346938775511,0.475765306122449
Combine,1151,569,582,0.4943527367506516,0.5056472632493484
OTI MERALD,771,377,394,0.4889753566796368,0.5110246433203631
Centenaria,1187,605,582,0.5096882898062342,0.4903117101937658
GFY,133,70,63,0.5263157894736842,0.47368421052631576
Milano 2,1122,588,534,0.5240641711229946,0.47593582887700536
Catch-24,388,216,172,0.5567010309278351,0.44329896907216493
Willow 2,665,331,334,0.49774436090225566,0.5022556390977444
Sardonica,720,331,389,0.4597222222222222,0.5402777777777777
A Flaccid Type Map,1206,606,600,0.5024875621890548,0.4975124378109453
Crawfish Boil,1,1,0,1.0,0.0
OTI Jardim,287,157,130,0.5470383275261324,0.4529616724738676
Sugar Free Hill,168,78,90,0.4642857142857143,0.5357142857142857
Nuke,112,59,53,0.5267857142857143,0.4732142857142857
Thicket 2,300,142,158,0.47333333333333333,0.5266666666666666
Apparition 2023,125,65,60,0.52,0.48
Pilot 3,74,36,38,0.4864864864864865,0.5135135135135135
Haste,51,23,28,0.45098039215686275,0.5490196078431373
