Player,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,CD/Min,Captures/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min
#4 Meerkat,0.3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
--{========>,8.0,-3,2,15,196,13,16,4,9,5,0,14,85,40,42,345,0.56,0.0,13.33,3,5,0,13.07,1.25,0.01,4,3,1,0,0,0,0,0,20.0,0.0,0.0,0.0,-0.38,0.25,1.88,24.5,1.62,2.0,0.5,1.12,0.62,0.0
1 Pixel Juke,22.4,-7,3,32,287,28,33,33,33,93,3,40,211,15,85,858,1.0,7.5,9.38,5,0,1,8.97,2.82,0.11,2,9,4,1,0,5,3,9,28.12,25.0,15.15,27.27,-0.31,0.13,1.43,12.81,1.25,1.47,1.47,1.47,4.15,0.13
11th Cmndmnt,100.10000000000001,-2,7,105,756,98,131,127,146,657,14,178,943,85,383,3739,1.11,7.87,6.67,33,19,0,7.2,5.17,0.18,7,21,8,6,1,39,5,49,20.0,75.0,30.71,38.58,-0.02,0.07,1.05,7.55,0.98,1.31,1.27,1.46,6.56,0.14
12384,70.3,4,10,81,535,71,111,123,169,688,25,127,691,58,279,2341,1.52,19.69,12.35,40,46,0,6.6,5.59,0.29,2,13,4,1,1,38,8,49,16.05,25.0,30.89,39.84,0.06,0.14,1.15,7.61,1.01,1.58,1.75,2.4,9.79,0.36
13.5 inches,117.9,-4,5,41,246,36,83,197,229,1338,33,209,912,110,372,4500,2.76,15.79,12.2,47,32,0,6.0,6.79,0.3,2,14,5,4,0,61,11,71,34.15,80.0,30.96,36.04,-0.03,0.04,0.35,2.09,0.31,0.7,1.67,1.94,11.35,0.28
256,2.9,-2,0,9,24,9,12,3,3,7,0,6,57,0,22,138,0.25,0.0,0.0,3,0,0,2.67,2.33,0.05,0,3,3,3,0,1,0,1,33.33,100.0,33.33,33.33,-0.69,0.0,3.1,8.28,3.1,4.14,1.03,1.03,2.41,0.0
555555555555,49.6,1,0,48,621,47,57,55,66,187,6,88,389,45,161,2206,1.16,6.82,0.0,10,11,1,12.94,3.4,0.08,10,5,2,1,0,7,1,13,10.42,50.0,12.73,23.64,0.02,0.0,0.97,12.52,0.95,1.15,1.11,1.33,3.77,0.12
8-),34.5,11,3,54,291,51,57,44,50,160,6,62,465,24,186,1138,0.88,9.68,5.56,6,6,0,5.39,3.64,0.14,1,15,8,6,0,19,4,20,27.78,75.0,43.18,45.45,0.32,0.09,1.57,8.43,1.48,1.65,1.28,1.45,4.64,0.17
@pro,98.4,-8,6,129,879,122,157,122,136,472,14,171,972,85,395,3776,0.87,8.19,4.65,35,14,1,6.81,3.87,0.12,5,41,22,10,0,15,8,31,31.78,45.45,12.3,25.41,-0.08,0.06,1.31,8.93,1.24,1.6,1.24,1.38,4.8,0.14
\m\=^_^=/m/,79.4,-6,8,82,640,74,104,113,129,901,24,140,783,170,342,2592,1.24,17.14,9.76,30,16,0,7.8,7.97,0.35,7,18,6,1,0,57,7,62,21.95,16.67,50.44,54.87,-0.08,0.1,1.03,8.06,0.93,1.31,1.42,1.62,11.35,0.3
`ArryKane,175.2,0,15,173,922,157,213,193,228,1372,39,312,1664,230,694,5562,1.07,12.5,8.67,56,35,1,5.33,7.11,0.25,2,57,19,8,2,62,16,73,32.95,42.11,32.12,37.82,0.0,0.09,0.99,5.26,0.9,1.22,1.1,1.3,7.83,0.22
`~`,82.0,-1,6,122,719,116,146,91,103,457,19,149,1034,80,422,3392,0.71,12.75,4.92,30,12,0,5.89,5.02,0.13,4,29,8,3,1,22,4,28,23.77,37.5,24.18,30.77,-0.01,0.07,1.49,8.77,1.41,1.78,1.11,1.26,5.57,0.23
A Straw Hat,53.8,-2,4,51,420,46,78,65,82,279,9,96,498,110,218,2288,1.05,9.38,7.84,32,17,1,8.24,4.29,0.12,4,9,4,0,0,12,7,17,17.65,0.0,18.46,26.15,-0.04,0.07,0.95,7.81,0.86,1.45,1.21,1.52,5.19,0.17
aardvark,7.5,5,3,11,126,8,8,6,6,14,1,14,62,0,24,297,0.75,7.14,27.27,0,0,0,11.45,2.33,0.05,3,1,0,0,0,1,0,2,9.09,0.0,16.67,33.33,0.67,0.4,1.47,16.8,1.07,1.07,0.8,0.8,1.87,0.13
