Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
12384,Red,2.9,1,0,2,13,2,2,9,17,39,2,4,10,0,4,105,8.5,50.0,0.0,0,8,0,6.5,4.33,0.37,0,1,0,0,0,2,0,3,50.0,0.0,22.22,33.33
Palps,Red,2.9,1,0,2,53,2,2,1,1,8,0,4,5,0,2,105,0.5,0.0,0.0,0,0,0,26.5,8.0,0.08,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
FlyingV,Blue,2.9,-1,0,6,45,6,8,0,0,2,0,4,35,0,14,102,0.0,0.0,0.0,2,0,0,7.5,0.0,0.02,1,2,0,0,0,0,0,0,33.33,0.0,0.0,0.0
JukeofFrance,Blue,2.9,-1,0,1,12,1,7,4,4,26,1,4,30,0,12,102,0.57,25.0,0.0,6,0,0,12.0,6.5,0.25,0,0,0,0,0,1,0,1,0.0,0.0,25.0,25.0
havok,Blue,2.9,-1,0,4,44,4,5,1,2,0,1,4,15,5,7,102,0.4,25.0,0.0,1,1,0,11.0,0.0,0.0,1,1,0,0,0,1,0,1,25.0,0.0,100.0,100.0
BUTT,Red,2.9,1,1,3,36,2,2,3,4,17,0,4,10,0,4,105,2.0,0.0,33.33,0,1,0,12.0,5.67,0.16,0,1,0,0,0,2,0,2,33.33,0.0,66.67,66.67
MoGGee,Blue,2.9,-1,0,2,4,2,4,1,1,21,0,4,5,0,2,102,0.25,0.0,0.0,2,0,0,2.0,21.0,0.21,0,1,0,0,0,0,0,0,50.0,0.0,0.0,0.0
GeeGee,Red,1.7,1,0,0,0,0,1,0,0,7,0,4,15,5,7,105,0.0,0.0,0.0,1,0,0,0.0,0.0,0.07,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
