Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Guaderno,Blue,8.0,-2,0,9,32,9,11,13,13,100,2,14,105,0,42,292,1.18,14.29,0.0,2,0,0,3.56,7.69,0.34,0,5,1,1,0,8,0,11,55.56,100.0,61.54,84.62
note,Blue,8.0,-2,1,11,47,10,13,7,8,37,2,14,72,0,28,292,0.62,14.29,9.09,3,1,0,4.27,5.29,0.13,0,2,3,0,0,2,0,3,18.18,0.0,28.57,42.86
Frank,Blue,8.0,-2,0,15,99,14,14,10,10,51,0,14,105,0,42,292,0.71,0.0,0.0,0,0,1,6.6,5.1,0.17,2,4,1,0,0,3,0,4,26.67,0.0,30.0,40.0
jerm,Red,8.0,2,0,5,33,5,5,19,25,132,4,14,95,0,38,248,5.0,28.57,0.0,0,6,0,6.6,6.95,0.53,1,1,1,1,0,5,2,6,20.0,100.0,26.32,31.58
broseph,Blue,8.0,-2,1,9,70,8,12,6,6,2,2,14,82,0,32,292,0.5,14.29,11.11,4,0,0,7.78,0.33,0.01,1,1,0,0,0,0,0,0,11.11,0.0,0.0,0.0
knight_,Red,8.0,2,0,11,77,11,12,7,7,82,1,14,116,0,46,248,0.58,7.14,0.0,1,0,0,7.0,11.71,0.33,1,4,0,0,0,3,0,3,36.36,0.0,42.86,42.86
Nilus,Red,8.0,2,1,14,119,13,15,6,6,21,0,14,104,0,40,248,0.4,0.0,7.14,2,0,0,8.5,3.5,0.08,2,5,2,0,0,2,0,2,35.71,0.0,33.33,33.33
Trapsin,Red,8.0,2,3,11,63,8,9,8,8,77,3,14,83,0,32,248,0.89,21.43,27.27,1,0,0,5.73,9.62,0.31,1,3,1,0,0,1,0,3,27.27,0.0,12.5,37.5
