Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
DiegoOnMac,Red,11.3,-1,0,15,162,15,22,11,15,13,0,21,113,40,52,557,0.68,0.0,0.0,7,4,0,10.8,1.18,0.02,2,2,1,0,0,2,0,3,13.33,0.0,18.18,27.27
Sway,Blue,11.3,1,0,15,101,15,24,17,23,27,3,21,147,30,64,563,0.96,14.29,0.0,9,6,0,6.73,1.59,0.05,1,3,4,1,0,4,1,4,20.0,25.0,23.53,23.53
Unaballer,Red,11.3,-1,1,12,69,11,20,19,19,31,1,21,102,10,42,557,0.95,4.76,8.33,9,0,0,5.75,1.63,0.06,0,4,2,2,0,4,0,2,33.33,100.0,21.05,10.53
Rabz,Red,11.3,-1,3,16,193,13,17,12,12,9,1,21,133,20,56,557,0.71,4.76,18.75,4,0,0,12.06,0.75,0.02,1,1,1,1,0,0,0,0,6.25,100.0,0.0,0.0
Marijuana,Blue,11.3,1,1,16,122,15,18,19,24,30,3,21,91,15,39,563,1.33,14.29,6.25,3,5,0,7.62,1.58,0.05,1,2,0,0,0,5,0,4,12.5,0.0,26.32,21.05
havok,Blue,11.3,1,3,19,206,16,16,12,12,21,3,21,78,10,32,563,0.75,14.29,15.79,0,0,0,10.84,1.75,0.04,3,4,0,0,0,1,1,2,21.05,0.0,8.33,16.67
supergremlin,Blue,11.3,1,1,15,128,14,19,7,10,33,3,21,112,43,52,563,0.53,14.29,6.67,5,3,0,8.53,4.71,0.06,1,1,1,1,0,1,1,2,6.67,100.0,14.29,28.57
Acuraun,Red,11.3,-1,0,17,139,17,21,15,22,30,7,21,151,15,63,557,1.05,33.33,0.0,4,7,0,8.18,2.0,0.05,1,4,3,2,0,4,0,5,23.53,66.67,26.67,33.33
