Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
meowza,Red,8.0,-2,0,16,98,16,16,7,7,14,2,14,112,0,44,255,0.44,14.29,0.0,0,0,0,6.12,2.0,0.05,1,6,2,1,0,1,0,1,37.5,50.0,14.29,14.29
Toidi,Blue,8.0,2,0,5,43,5,6,13,19,81,4,14,54,0,20,277,3.17,28.57,0.0,1,6,0,8.6,6.23,0.29,1,1,0,0,0,3,0,5,20.0,0.0,23.08,38.46
Niplepotamus,Red,8.0,-2,0,7,40,7,13,10,10,82,1,14,64,0,24,255,0.77,7.14,0.0,6,0,0,5.71,8.2,0.32,0,2,0,0,0,6,0,4,28.57,0.0,60.0,40.0
rai,Blue,8.0,2,1,12,79,11,13,6,6,16,3,14,106,0,42,277,0.46,21.43,8.33,2,0,0,6.58,2.67,0.06,1,2,2,1,0,0,0,1,16.67,50.0,0.0,16.67
KonTiki,Blue,8.0,2,1,10,44,8,11,6,6,67,1,14,69,0,26,277,0.55,7.14,10.0,3,0,1,4.4,11.17,0.24,0,5,2,1,0,1,0,3,50.0,50.0,16.67,50.0
LogisticMap,Red,8.0,-2,0,7,59,7,9,14,14,111,0,14,52,0,20,255,1.56,0.0,0.0,2,0,0,8.43,7.93,0.44,0,0,0,0,0,2,0,4,0.0,0.0,14.29,28.57
HELEN KELLER,Blue,8.0,2,0,9,89,9,10,19,19,52,2,14,75,0,30,277,1.9,14.29,0.0,1,0,0,9.89,2.74,0.19,2,1,1,0,0,5,1,6,11.11,0.0,26.32,31.58
kyri swirvin,Red,8.0,-2,0,14,80,14,17,2,4,68,1,14,110,0,44,255,0.24,7.14,0.0,3,2,0,5.71,34.0,0.27,0,1,1,0,0,0,0,0,7.14,0.0,0.0,0.0
