Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Old Cob,Red,7.8,-5,2,14,111,12,14,4,4,5,1,14,123,0,48,316,0.29,7.14,14.29,2,0,0,7.93,1.25,0.02,1,2,0,0,0,0,1,0,14.29,0.0,0.0,0.0
Witcher,Blue,7.8,5,3,9,91,6,10,6,10,67,5,14,70,0,28,313,1.0,35.71,33.33,4,4,0,10.11,11.17,0.21,1,1,0,0,0,2,0,3,11.11,0.0,33.33,50.0
No one,Red,7.8,-5,1,9,36,8,11,9,9,65,0,14,83,0,32,316,0.82,0.0,11.11,3,0,0,4.0,7.22,0.21,0,1,1,1,0,3,0,4,11.11,100.0,33.33,44.44
CRYCHIC,Blue,7.8,5,3,11,96,8,9,8,8,45,1,14,68,0,26,313,0.89,7.14,27.27,1,0,0,8.73,5.62,0.14,2,2,0,0,0,2,1,3,18.18,0.0,25.0,37.5
BallsToYou.,Red,7.8,-5,0,15,76,15,17,5,13,1,4,14,102,0,40,316,0.76,28.57,0.0,2,8,0,5.07,0.2,0.0,0,6,4,1,0,0,0,0,40.0,25.0,0.0,0.0
trippi,Blue,7.8,5,1,10,88,9,9,11,15,17,1,14,122,0,48,313,1.67,7.14,10.0,0,4,0,8.8,1.55,0.05,0,0,0,0,0,2,1,1,0.0,0.0,18.18,9.09
Prime,Blue,7.8,5,2,10,41,8,14,18,18,41,1,14,108,0,42,313,1.29,7.14,20.0,6,0,0,4.1,2.28,0.13,0,1,2,0,0,5,3,8,10.0,0.0,27.78,44.44
Junoon,Red,7.8,-5,1,10,90,9,12,12,12,34,1,14,102,0,40,316,1.0,7.14,10.0,3,0,0,9.0,2.83,0.11,1,2,1,0,0,1,2,2,20.0,0.0,8.33,16.67
