Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
danp,Red,8.0,1,3,13,69,10,12,7,10,26,2,14,86,5,35,210,0.83,14.29,23.08,2,3,0,5.31,3.71,0.12,1,4,2,1,2,4,0,3,30.77,50.0,57.14,42.86
DAD.,Red,8.0,1,1,9,42,8,10,8,12,59,1,14,75,0,30,210,1.2,7.14,11.11,2,4,0,4.67,7.38,0.28,1,4,1,1,0,4,0,4,44.44,100.0,50.0,50.0
Doris,Blue,8.0,-1,0,3,6,3,10,7,9,109,3,14,36,0,14,189,0.9,21.43,0.0,7,2,0,2.0,15.57,0.58,0,1,0,0,0,3,0,2,33.33,0.0,42.86,28.57
Kei Yonagi,Blue,8.0,-1,1,15,52,14,17,8,8,33,3,14,100,5,41,189,0.47,21.43,6.67,3,0,0,3.47,4.12,0.17,0,7,1,0,0,2,0,1,46.67,0.0,25.0,12.5
Curry,Blue,8.0,-1,1,11,48,10,12,10,10,118,1,14,93,0,36,189,0.83,7.14,9.09,2,0,0,4.36,11.8,0.62,0,5,1,1,0,8,0,6,45.45,100.0,80.0,60.0
Homie,Red,8.0,1,0,5,30,5,6,14,14,138,1,14,47,0,18,210,2.33,7.14,0.0,1,0,0,6.0,9.86,0.66,0,2,1,0,0,4,1,8,40.0,0.0,28.57,57.14
Junoon,Blue,8.0,-1,1,19,104,18,19,7,7,28,1,14,112,0,44,189,0.37,7.14,5.26,1,0,0,5.47,4.0,0.15,0,6,1,0,0,2,1,2,31.58,0.0,28.57,28.57
karma,Red,8.0,1,0,9,48,9,11,14,14,88,2,14,68,5,27,210,1.27,14.29,0.0,2,0,0,5.33,6.29,0.42,1,5,2,0,0,7,1,8,55.56,0.0,50.0,57.14
toppy,Blue,0.0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,189,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
