Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,matchId,mapName
smoji_,Blue,8.4,-1,1,6,15,5,8,14,14,132,0,16,62,0,24,275,1.75,0.0,16.67,3,0,0,2.5,9.43,0.48,0,2,0,0,0,4,0,3,33.33,0.0,28.57,21.43,3972830,Thicket 2
Better Mamba,Red,8.4,1,0,12,74,12,12,4,10,64,4,16,112,0,44,290,0.83,25.0,0.0,0,6,0,6.17,16.0,0.22,0,3,1,0,0,1,0,0,25.0,0.0,25.0,0.0,3972830,Thicket 2
deku,Red,8.4,1,1,13,33,12,12,11,11,87,0,16,113,0,44,290,0.92,0.0,7.69,0,0,0,2.54,7.91,0.3,0,8,5,4,0,4,0,3,61.54,80.0,36.36,27.27,3972830,Thicket 2
EvTheSmev,Blue,8.4,-1,0,10,31,10,12,10,10,55,1,16,81,0,32,275,0.83,6.25,0.0,2,0,0,3.1,5.5,0.2,0,3,2,2,0,5,0,4,30.0,100.0,50.0,40.0,3972830,Thicket 2
D Rek,Blue,8.4,-1,0,12,149,12,14,10,10,42,1,16,111,0,44,275,0.71,6.25,0.0,2,0,0,12.42,4.2,0.15,3,3,1,0,0,4,2,5,25.0,0.0,40.0,50.0,3972830,Thicket 2
BallsToYou.,Blue,8.4,-1,2,12,95,10,12,13,13,33,5,16,108,0,42,275,1.08,31.25,16.67,2,0,0,7.92,2.54,0.12,3,3,3,0,0,3,0,3,25.0,0.0,23.08,23.08,3972830,Thicket 2
UNlTY,Red,8.4,1,1,19,141,18,18,10,10,6,0,16,110,0,44,290,0.56,0.0,5.26,0,0,0,7.42,0.6,0.02,1,3,1,0,0,1,2,2,15.79,0.0,10.0,20.0,3972830,Thicket 2
xcv,Red,8.4,1,2,7,27,5,5,12,15,119,5,16,66,0,26,290,3.0,31.25,28.57,0,3,0,3.86,9.92,0.41,0,2,1,1,0,5,1,6,28.57,100.0,41.67,50.0,3972830,Thicket 2
smoji_,Blue,2.8,-5,0,1,3,1,4,4,6,25,1,4,35,23,18,97,1.5,25.0,0.0,3,2,0,3.0,6.25,0.26,0,0,0,0,0,2,0,2,0.0,0.0,50.0,50.0,3972832,Asida
kyri swirvin,Red,2.8,5,0,3,9,3,3,5,6,38,0,4,45,5,19,94,2.0,0.0,0.0,0,1,0,3.0,7.6,0.4,0,1,1,1,0,2,1,2,33.33,100.0,40.0,40.0,3972832,Asida
deku,Red,2.8,5,1,1,31,0,1,5,8,51,1,4,20,5,9,94,8.0,25.0,100.0,1,3,0,31.0,10.2,0.54,1,0,0,0,0,2,0,2,0.0,0.0,40.0,40.0,3972832,Asida
BallsToYou.,Red,2.8,5,3,6,38,3,3,4,4,18,0,4,30,5,13,94,1.33,0.0,50.0,0,0,0,6.33,4.5,0.19,0,1,0,0,0,2,0,2,16.67,0.0,50.0,50.0,3972832,Asida
xcv,Blue,2.8,-5,0,5,43,5,5,2,2,8,0,4,35,0,14,97,0.4,0.0,0.0,0,0,0,8.6,4.0,0.08,0,1,1,0,0,1,0,1,20.0,0.0,50.0,50.0,3972832,Asida
kwib,Blue,2.8,-5,0,4,8,4,6,1,1,33,1,4,50,15,23,97,0.17,25.0,0.0,2,0,0,2.0,33.0,0.34,0,3,2,2,0,1,0,1,75.0,100.0,100.0,100.0,3972832,Asida
DEAD NAN,Blue,2.8,-5,0,6,40,6,7,3,4,11,1,4,39,5,15,97,0.57,25.0,0.0,1,1,0,6.67,3.67,0.11,0,2,0,0,0,1,0,2,33.33,0.0,33.33,66.67,3972832,Asida
CT Crunch,Red,2.8,5,1,5,19,4,6,2,3,10,0,4,30,0,12,94,0.5,0.0,20.0,2,1,0,3.8,5.0,0.11,0,3,1,0,1,0,0,1,60.0,0.0,0.0,50.0,3972832,Asida
Penis Wings,Red,8.0,-3,0,10,38,10,12,11,11,79,4,14,80,0,32,250,0.92,28.57,0.0,2,0,0,3.8,7.18,0.32,0,5,1,0,0,2,0,4,50.0,0.0,18.18,36.36,3972833,Thicket 2
lizzey,Blue,8.0,3,2,12,73,10,10,16,16,59,1,14,78,0,30,229,1.6,7.14,16.67,0,0,0,6.08,3.69,0.26,0,3,0,0,0,5,0,6,25.0,0.0,31.25,37.5,3972833,Thicket 2
Jed Bartlet,Blue,8.0,3,2,12,47,10,10,10,16,81,5,14,108,0,42,229,1.6,35.71,16.67,0,6,0,3.92,8.1,0.35,0,4,1,1,0,5,0,8,33.33,100.0,50.0,80.0,3972833,Thicket 2
Marijuana,Blue,8.0,3,0,12,68,12,12,8,8,60,1,14,76,0,30,229,0.67,7.14,0.0,0,0,0,5.67,7.5,0.26,0,0,0,0,0,4,0,4,0.0,0.0,50.0,50.0,3972833,Thicket 2
adawg,Blue,8.0,3,1,8,62,7,7,18,18,90,2,14,70,0,28,229,2.57,14.29,12.5,0,0,0,7.75,5.0,0.39,1,0,1,0,0,4,1,5,0.0,0.0,22.22,27.78,3972833,Thicket 2
Therapist,Red,8.0,-3,1,19,92,18,19,11,11,38,0,14,99,0,38,250,0.58,0.0,5.26,1,0,0,4.84,3.45,0.15,0,6,1,0,0,2,0,3,31.58,0.0,18.18,27.27,3972833,Thicket 2
sieh,Red,8.0,-3,1,16,70,14,15,7,7,29,0,14,95,0,38,250,0.47,0.0,6.25,1,0,1,4.38,4.14,0.12,0,5,2,0,0,2,0,3,31.25,0.0,28.57,42.86,3972833,Thicket 2
