Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Moto Moto,Red,0.9,-1,0,1,0,1,1,0,0,0,0,0,5,0,2,8,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,100.0,0.0,0.0,0.0
Wraith,Red,0.9,-1,0,1,0,1,1,1,1,30,0,0,5,0,2,8,1.0,0.0,0.0,0,0,0,0.0,30.0,3.75,0,1,1,0,0,1,0,1,100.0,0.0,100.0,100.0
LogisticMap,Red,0.9,-1,0,1,0,1,1,0,0,24,0,0,5,0,2,8,0.0,0.0,0.0,0,0,0,0.0,0.0,3.0,0,1,0,0,0,0,0,0,100.0,0.0,0.0,0.0
Gavi,Blue,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Porps,Blue,0.9,1,0,0,0,0,0,1,1,19,0,0,5,0,2,0,0.0,0.0,0.0,0,0,0,0.0,19.0,0.0,0,0,0,0,0,1,0,1,0.0,0.0,100.0,100.0
gl hf :),Blue,0.9,1,1,2,8,1,1,0,0,3,0,0,5,0,2,0,0.0,0.0,50.0,0,0,0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,50.0,0.0,0.0,0.0
Yo YoYo,Red,0.3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.0,0.0,0.75,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Champagne,Blue,0.9,1,0,0,0,0,0,2,2,25,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,12.5,0.0,0,0,0,0,0,2,0,2,0.0,0.0,100.0,100.0
