Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
wallsquirrel,Blue,8.0,-2,0,11,52,11,14,7,9,54,0,14,93,35,43,269,0.64,0.0,0.0,3,2,0,4.73,7.71,0.2,1,5,2,0,0,1,0,1,45.45,0.0,14.29,14.29
xcv,Red,8.0,2,0,6,63,6,8,12,12,101,3,14,72,15,31,250,1.5,21.43,0.0,2,0,0,10.5,8.42,0.4,2,1,1,0,0,7,2,7,16.67,0.0,58.33,58.33
Iodized Salt,Red,8.0,2,3,14,110,11,13,5,5,50,0,14,86,0,34,250,0.38,0.0,21.43,2,0,0,7.86,10.0,0.2,0,3,1,0,0,2,0,2,21.43,0.0,40.0,40.0
broseph,Red,8.0,2,1,11,57,10,15,7,10,23,2,14,118,10,48,250,0.67,14.29,9.09,5,3,0,5.18,3.29,0.09,0,3,0,0,0,3,0,3,27.27,0.0,42.86,42.86
jjpoole,Red,8.0,2,0,13,39,13,16,17,23,66,1,14,76,30,36,250,1.44,7.14,0.0,3,6,0,3.0,3.88,0.26,0,5,1,1,0,5,1,6,38.46,100.0,29.41,35.29
JKooter,Blue,8.0,-2,1,14,124,12,14,7,7,17,1,14,72,15,31,269,0.5,7.14,7.14,2,0,1,8.86,2.43,0.06,2,4,0,0,0,1,0,2,28.57,0.0,14.29,28.57
Green,Blue,8.0,-2,0,9,44,9,11,8,12,47,2,14,78,20,34,269,1.09,14.29,0.0,2,4,0,4.89,5.88,0.17,0,4,2,0,0,4,1,5,44.44,0.0,50.0,62.5
Russ,Blue,8.0,-2,1,10,30,9,12,18,21,63,5,14,72,35,35,269,1.75,35.71,10.0,3,3,0,3.0,3.5,0.23,0,5,2,1,0,6,0,7,50.0,50.0,33.33,38.89
