Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Yo YoYo,Red,0.2,0,0,1,0,1,1,0,0,0,0,0,5,0,2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,100.0,0.0,0.0,0.0
cereballsy,Red,0.2,0,0,1,1,0,0,0,0,0,0,0,5,0,2,0,0.0,0.0,0.0,0,0,1,1.0,0.0,0.0,0,1,0,0,0,0,0,0,100.0,0.0,0.0,0.0
PBN,Blue,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
MacbookProM4,Blue,0.2,0,0,0,0,0,0,1,1,6,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.0,6.0,6.0,0,0,0,0,0,1,0,1,0.0,0.0,100.0,100.0
Wonk,Blue,0.2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Rascasse,Red,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
MURF,Red,0.2,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
