Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,matchId,mapName
popsic,Red,8.0,1,0,3,39,3,4,16,20,62,1,14,66,15,29,285,5.0,7.14,0.0,1,4,0,13.0,3.88,0.22,0,0,0,0,0,4,0,4,0.0,0.0,25.0,25.0,3991562,Sugar Free Hill
karma,Red,8.0,1,0,10,78,10,12,11,11,47,4,14,98,10,40,285,0.92,28.57,0.0,2,0,0,7.8,4.27,0.16,2,3,1,0,0,3,0,5,30.0,0.0,27.27,45.45,3991562,Sugar Free Hill
jazzz,Blue,8.0,-1,0,12,59,12,14,7,7,59,0,14,120,10,50,271,0.5,0.0,0.0,2,0,0,4.92,8.43,0.22,0,5,3,1,0,2,0,3,41.67,33.33,28.57,42.86,3991562,Sugar Free Hill
white,Red,8.0,1,0,9,100,9,12,4,7,36,1,14,85,10,36,285,0.58,7.14,0.0,3,3,0,11.11,9.0,0.13,1,1,0,0,0,2,1,2,11.11,0.0,50.0,50.0,3991562,Sugar Free Hill
Boat,Blue,8.0,-1,0,11,83,11,16,9,13,30,3,14,81,10,34,271,0.81,21.43,0.0,5,4,0,7.55,3.33,0.11,1,2,1,0,0,1,0,1,18.18,0.0,11.11,11.11,3991562,Sugar Free Hill
baIl-e,Blue,8.0,-1,1,11,118,10,14,6,6,26,2,14,80,10,34,271,0.43,14.29,9.09,4,0,0,10.73,4.33,0.1,1,0,0,0,0,3,0,3,0.0,0.0,50.0,50.0,3991562,Sugar Free Hill
oldAlt,Blue,8.0,-1,0,6,25,6,9,9,11,76,2,14,52,10,22,271,1.22,14.29,0.0,3,2,0,4.17,8.44,0.28,0,3,0,0,0,2,1,1,50.0,0.0,22.22,11.11,3991562,Sugar Free Hill
Prime,Red,8.0,1,2,11,54,9,12,8,11,33,1,14,71,20,32,285,0.92,7.14,18.18,3,3,0,4.91,4.12,0.12,0,4,3,2,0,1,0,3,36.36,66.67,12.5,37.5,3991562,Sugar Free Hill
RandyB0Bandy,Blue,8.0,-4,0,8,41,8,13,9,9,17,1,14,88,0,34,249,0.69,7.14,0.0,5,0,0,5.12,1.89,0.07,1,4,2,0,0,2,0,3,50.0,0.0,22.22,33.33,3991563,Audacity 2
Toidi,Red,8.0,4,1,5,20,3,6,19,22,114,1,14,68,0,26,240,3.67,7.14,20.0,3,3,1,4.0,6.0,0.48,0,1,0,0,0,11,0,10,20.0,0.0,57.89,52.63,3991563,Audacity 2
BallsToYou.,Blue,8.0,-4,0,15,107,15,16,2,4,18,4,14,92,0,36,249,0.25,28.57,0.0,1,2,0,7.13,9.0,0.07,1,5,1,0,0,0,0,0,33.33,0.0,0.0,0.0,3991563,Audacity 2
G.O.A.T.,Red,8.0,4,2,13,71,11,13,4,4,35,2,14,93,0,36,240,0.31,14.29,15.38,2,0,0,5.46,8.75,0.15,0,4,3,2,0,1,0,1,30.77,66.67,25.0,25.0,3991563,Audacity 2
rai,Blue,8.0,-4,0,8,50,7,9,7,7,62,1,14,90,0,36,249,0.78,7.14,0.0,2,0,1,6.25,8.86,0.25,1,4,1,1,0,2,0,3,50.0,100.0,28.57,42.86,3991563,Audacity 2
CRYCHIC,Red,8.0,4,0,7,65,7,7,12,15,112,1,14,65,0,26,240,2.14,7.14,0.0,0,3,0,9.29,9.33,0.47,1,0,0,0,0,4,0,5,0.0,0.0,33.33,41.67,3991563,Audacity 2
kool aid,Blue,8.0,-4,0,11,42,11,11,12,14,87,2,14,76,0,30,249,1.27,14.29,0.0,0,2,0,3.82,7.25,0.35,0,4,1,1,0,4,0,3,36.36,100.0,33.33,25.0,3991563,Audacity 2
CT Crunch,Red,8.0,4,1,13,93,12,12,5,5,21,2,14,79,0,30,240,0.42,14.29,7.69,0,0,0,7.15,4.2,0.09,0,3,1,1,0,1,1,1,23.08,100.0,20.0,20.0,3991563,Audacity 2
d0pe,Blue,0.9,-1,0,1,5,1,1,3,3,1,0,0,10,0,4,40,3.0,0.0,0.0,0,0,0,5.0,0.33,0.02,0,0,0,0,0,1,0,1,0.0,0.0,33.33,33.33,3991566,Milano 2
G.O.A.T.,Red,0.9,1,0,2,13,2,3,2,2,3,0,0,10,0,4,33,0.67,0.0,0.0,1,0,0,6.5,1.5,0.09,0,1,1,1,0,0,0,1,50.0,100.0,0.0,50.0,3991566,Milano 2
skibbity,Red,0.9,1,0,0,0,0,0,1,1,10,0,0,0,0,0,33,0.0,0.0,0.0,0,0,0,0.0,10.0,0.3,0,0,0,0,0,0,1,1,0.0,0.0,0.0,100.0,3991566,Milano 2
rai,Blue,0.9,-1,0,2,22,2,2,0,0,4,0,0,10,0,4,40,0.0,0.0,0.0,0,0,0,11.0,0.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3991566,Milano 2
BallsToYou.,Red,0.9,1,1,1,8,0,0,2,2,4,0,0,5,5,3,33,0.0,0.0,100.0,0,0,0,8.0,2.0,0.12,0,0,0,0,0,1,0,1,0.0,0.0,50.0,50.0,3991566,Milano 2
CRYCHIC,Red,0.9,1,0,2,19,1,1,0,0,1,0,0,10,0,4,33,0.0,0.0,0.0,0,0,1,9.5,0.0,0.03,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3991566,Milano 2
omni,Blue,0.3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,40,0.0,0.0,0.0,0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3991566,Milano 2
CT Crunch,Blue,0.9,-1,0,2,6,2,2,0,1,0,0,0,15,0,6,40,0.5,0.0,0.0,0,1,0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,50.0,0.0,0.0,0.0,3991566,Milano 2
Wraith,Red,5.8,5,0,6,50,6,7,9,13,60,2,10,90,0,36,210,1.86,20.0,0.0,1,4,0,8.33,6.67,0.29,0,2,1,0,0,6,1,6,33.33,0.0,66.67,66.67,3991568,OTI Jardim
ish,Blue,5.8,-5,0,8,9,8,11,13,13,62,0,10,71,0,28,229,1.18,0.0,0.0,3,0,0,1.12,4.77,0.27,0,6,0,0,0,9,1,9,75.0,0.0,69.23,69.23,3991568,OTI Jardim
wallsquirrel,Blue,5.8,-5,0,7,86,7,8,3,4,47,3,10,59,0,22,229,0.5,30.0,0.0,1,1,0,12.29,15.67,0.21,1,1,2,0,0,1,0,1,14.29,0.0,33.33,33.33,3991568,OTI Jardim
boogie,Blue,5.8,-5,0,9,91,9,10,3,7,10,2,10,71,0,28,229,0.7,20.0,0.0,1,4,0,10.11,3.33,0.04,1,4,2,0,0,0,0,0,44.44,0.0,0.0,0.0,3991568,OTI Jardim
JimBobCooter,Blue,5.8,-5,2,6,24,4,7,4,4,42,0,10,44,0,16,229,0.57,0.0,33.33,3,0,0,4.0,10.5,0.18,0,2,0,0,0,0,0,0,33.33,0.0,0.0,0.0,3991568,OTI Jardim
umad,Red,5.8,5,4,10,120,6,7,3,3,13,1,10,52,0,20,210,0.43,10.0,40.0,1,0,0,12.0,4.33,0.06,3,2,0,0,0,1,0,1,20.0,0.0,33.33,33.33,3991568,OTI Jardim
