Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Curry,Blue,5.4,5,0,8,53,8,8,7,7,59,1,10,60,0,24,137,0.88,10.0,0.0,0,0,0,6.62,8.43,0.43,0,1,0,0,0,3,1,6,12.5,0.0,42.86,85.71
eee,Red,5.4,-5,0,8,48,8,9,7,7,6,0,10,72,10,30,169,0.78,0.0,0.0,1,0,0,6.0,0.86,0.04,0,2,0,0,0,2,0,3,25.0,0.0,28.57,42.86
Stronk,Blue,5.4,5,1,4,26,3,3,8,10,73,2,10,72,0,28,137,3.33,20.0,25.0,0,2,0,6.5,9.12,0.53,0,0,0,0,0,2,1,2,0.0,0.0,25.0,25.0
Iodized Salt,Red,5.4,-5,0,8,20,8,9,1,1,56,0,10,82,0,32,169,0.11,0.0,0.0,1,0,0,2.5,56.0,0.33,0,3,1,1,0,0,0,0,37.5,100.0,0.0,0.0
heribo69,Red,5.4,-5,0,5,14,5,7,4,4,83,0,10,49,5,19,169,0.57,0.0,0.0,2,0,0,2.8,20.75,0.49,0,2,1,0,0,2,0,3,40.0,0.0,50.0,75.0
DEAD NAN,Blue,5.4,5,2,4,51,2,2,12,12,90,2,10,61,5,25,137,6.0,20.0,50.0,0,0,0,12.75,7.5,0.66,1,0,0,0,0,5,2,6,0.0,0.0,41.67,50.0
TheYoungWolf,Blue,5.4,5,2,11,39,9,9,4,6,28,3,10,66,0,26,137,0.67,30.0,18.18,0,2,0,3.55,7.0,0.2,0,5,1,0,0,0,0,2,45.45,0.0,0.0,50.0
tears,Red,5.4,-5,0,10,55,10,11,9,9,22,2,10,86,5,35,169,0.82,20.0,0.0,1,0,0,5.5,2.44,0.13,0,3,1,0,0,2,0,3,30.0,0.0,22.22,33.33
