Player,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,CD/Min,Captures/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min
AdmaniaYT,8.3,1,0,12,139,12,12,10,10,52,5,24,127,0,50,299,0.83,20.83,0.0,0,0,0,11.58,5.2,0.17,1,1,0,0,0,3,1,2,8.33,0.0,30.0,20.0,0.12,0.0,1.45,16.75,1.45,1.45,1.2,1.2,6.27,0.6
ADVICE MAN,6.9,5,1,10,106,9,10,11,11,24,2,12,67,0,26,230,1.1,16.67,10.0,1,0,0,10.6,2.18,0.1,1,1,2,2,1,1,1,3,10.0,100.0,9.09,27.27,0.72,0.14,1.45,15.36,1.3,1.45,1.59,1.59,3.48,0.29
beez,6.9,-5,0,6,48,6,8,7,10,22,4,12,57,0,22,287,1.25,33.33,0.0,2,3,0,8.0,3.14,0.08,0,1,0,0,0,0,0,1,16.67,0.0,0.0,14.29,-0.72,0.0,0.87,6.96,0.87,1.16,1.01,1.45,3.19,0.58
cantstop,5.7,-5,0,5,36,5,8,5,8,31,1,10,15,0,6,250,1.0,10.0,0.0,3,3,0,7.2,6.2,0.12,0,1,0,0,0,2,0,2,20.0,0.0,40.0,40.0,-0.88,0.0,0.88,6.32,0.88,1.4,0.88,1.4,5.44,0.18
CoffeeSnoot,6.9,-5,1,14,94,13,13,4,4,6,0,12,80,0,32,287,0.31,0.0,7.14,0,0,0,6.71,1.5,0.02,1,3,0,0,0,0,0,0,21.43,0.0,0.0,0.0,-0.72,0.14,2.03,13.62,1.88,1.88,0.58,0.58,0.87,0.0
FL,22.400000000000002,-5,1,17,146,16,22,33,38,223,5,50,231,10,94,798,1.73,10.0,5.88,6,5,0,8.59,6.76,0.28,2,3,0,0,0,7,0,14,17.65,0.0,21.21,42.42,-0.22,0.04,0.76,6.52,0.71,0.98,1.47,1.7,9.96,0.22
FlyingV,13.100000000000001,10,0,22,184,22,24,17,17,63,1,24,188,15,77,493,0.71,4.17,0.0,2,0,0,8.36,3.71,0.13,3,6,0,0,0,6,3,7,27.27,0.0,35.29,41.18,0.76,0.0,1.68,14.05,1.68,1.83,1.3,1.3,4.81,0.08
G.O.A.T.,29.8,12,5,35,265,30,38,45,53,201,8,64,317,20,128,1079,1.39,12.5,14.29,8,8,0,7.57,4.47,0.19,3,9,5,1,0,11,2,17,25.71,20.0,24.44,37.78,0.4,0.17,1.17,8.89,1.01,1.28,1.51,1.78,6.74,0.27
greenfish,6.9,5,3,8,47,5,6,6,6,77,0,12,78,0,30,230,1.0,0.0,37.5,1,0,0,5.88,12.83,0.33,0,1,0,0,0,2,0,2,12.5,0.0,33.33,33.33,0.72,0.43,1.16,6.81,0.72,0.87,0.87,0.87,11.16,0.0
Gvendolino,13.100000000000001,0,2,17,137,15,16,16,22,114,4,24,120,20,50,473,1.38,16.67,11.76,1,6,0,8.06,7.12,0.24,1,3,1,0,0,7,0,9,17.65,0.0,43.75,56.25,0.0,0.15,1.3,10.46,1.15,1.22,1.22,1.68,8.7,0.31
