Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Xx360NoSwagx,Blue,6.9,5,4,9,53,5,8,13,16,102,4,12,50,10,22,149,2.0,33.33,44.44,3,3,0,5.89,7.85,0.68,0,2,1,1,1,10,0,9,22.22,100.0,76.92,69.23
waterlemon,Red,6.9,-5,1,17,55,16,20,3,5,24,2,12,103,10,42,211,0.25,16.67,5.88,4,2,0,3.24,8.0,0.11,0,9,5,0,0,1,0,1,52.94,0.0,33.33,33.33
||||||||||||,Red,6.9,-5,3,14,35,11,18,9,14,14,2,12,110,15,47,211,0.78,16.67,21.43,7,5,0,2.5,1.56,0.07,0,7,1,0,0,3,0,4,50.0,0.0,33.33,44.44
timo_tay,Blue,6.9,5,1,7,26,6,11,15,16,105,0,12,87,44,42,149,1.45,0.0,14.29,5,1,0,3.71,7.0,0.7,0,3,0,0,0,8,1,8,42.86,0.0,53.33,53.33
Bamboozler,Red,6.9,-5,0,12,47,12,15,6,6,55,0,12,86,20,38,211,0.4,0.0,0.0,3,0,0,3.92,9.17,0.26,0,5,1,0,0,3,0,3,41.67,0.0,50.0,50.0
Russ,Red,6.9,-5,0,6,12,6,12,11,15,59,2,12,64,15,27,211,1.25,16.67,0.0,6,4,0,2.0,5.36,0.28,0,3,2,1,0,3,1,4,50.0,50.0,27.27,36.36
ez,Blue,6.9,5,1,9,39,8,9,5,8,57,1,12,65,5,27,149,0.89,8.33,11.11,1,3,0,4.33,11.4,0.38,0,3,1,0,0,2,0,2,33.33,0.0,40.0,40.0
Junoon,Blue,6.9,5,3,14,93,11,17,11,16,41,1,12,89,5,35,149,0.94,8.33,21.43,6,5,0,6.64,3.73,0.28,1,2,0,0,0,4,1,5,14.29,0.0,36.36,45.45
