Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
MAGNlTUDE,Blue,8.4,1,2,12,98,10,14,5,7,20,4,16,83,5,33,205,0.5,25.0,16.67,4,2,0,8.17,4.0,0.1,1,1,0,0,1,3,0,3,8.33,0.0,60.0,60.0
knight_,Red,8.4,-1,0,9,30,9,17,7,9,20,4,16,72,5,29,270,0.53,25.0,0.0,8,2,0,3.33,2.86,0.07,0,6,0,0,0,0,2,1,66.67,0.0,0.0,14.29
meowza,Blue,8.4,1,3,14,95,11,14,8,12,52,3,16,87,10,36,205,0.86,18.75,21.43,3,4,0,6.79,6.5,0.25,0,4,1,1,0,5,0,6,28.57,100.0,62.5,75.0
CA$H.,Red,8.4,-1,1,5,59,4,12,13,14,92,0,16,48,15,21,270,1.17,0.0,20.0,8,1,0,11.8,7.08,0.34,1,3,2,0,0,9,0,10,60.0,0.0,69.23,76.92
Green,Blue,8.4,1,0,7,21,7,11,6,11,136,2,16,71,18,31,205,1.0,12.5,0.0,4,5,0,3.0,22.67,0.66,0,5,2,1,0,3,1,2,71.43,50.0,50.0,33.33
Beach,Blue,8.4,1,0,5,56,5,9,9,19,161,2,16,88,20,38,205,2.11,12.5,0.0,4,10,0,11.2,17.89,0.79,1,3,0,0,0,6,1,6,60.0,0.0,66.67,66.67
kyri swirvin,Red,8.4,-1,1,8,40,7,12,3,5,67,0,16,105,10,44,270,0.42,0.0,12.5,5,2,0,5.0,22.33,0.25,0,3,0,0,0,0,0,1,37.5,0.0,0.0,33.33
jjpoole,Red,8.4,-1,2,10,76,8,12,7,10,56,1,16,71,10,30,270,0.83,6.25,20.0,4,3,0,7.6,8.0,0.21,1,5,0,0,0,3,0,2,50.0,0.0,42.86,28.57
