Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
knight_,Blue,0.2,1,1,1,6,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,100.0,0,0,0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Toidi,Blue,0.2,1,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.0,0.0,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Sugar,Red,0.2,-1,0,1,0,1,1,0,0,0,0,0,10,0,4,7,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,100.0,0.0,0.0,0.0
LogisticMap,Red,0.2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
MrDMoney,Red,0.2,-1,0,1,2,1,1,0,0,0,0,0,5,0,2,7,0.0,0.0,0.0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
meowza,Blue,0.2,1,0,0,0,0,0,2,2,1,0,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.0,0.5,0.5,0,0,0,0,0,1,1,1,0.0,0.0,50.0,50.0
Spheroid.,Blue,0.2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0,0,1,1.0,0.0,0.0,0,1,0,0,0,0,0,0,100.0,0.0,0.0,0.0
