Player,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,CD/Min,Captures/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min
rolf,158.8,4,13,207,1826,191,244,187,212,620,26,281,1755,139,717,6362,0.87,9.25,6.28,53,25,3,8.82,3.32,0.1,19,40,18,6,1,41,12,55,19.32,33.33,21.93,29.41,0.03,0.08,1.3,11.5,1.2,1.54,1.18,1.34,3.9,0.16
rollingstone,109.89999999999999,-9,8,218,1384,210,243,51,56,86,33,200,1395,70,560,4534,0.23,16.5,3.67,33,5,0,6.35,1.69,0.02,8,68,21,11,0,7,1,12,31.19,52.38,13.73,23.53,-0.08,0.07,1.98,12.59,1.91,2.21,0.46,0.51,0.78,0.3
RoVo,35.8,-11,4,58,391,54,68,24,33,86,9,74,427,30,174,1733,0.49,12.16,6.9,14,9,0,6.74,3.58,0.05,5,17,9,4,0,6,1,6,29.31,44.44,25.0,25.0,-0.31,0.11,1.62,10.92,1.51,1.9,0.67,0.92,2.4,0.25
Roxas,345.6,0,48,485,2637,433,585,414,499,2014,73,628,3980,429,1643,11748,0.85,11.62,9.9,152,85,4,5.44,4.86,0.17,15,138,64,19,4,128,26,159,28.45,29.69,30.92,38.41,0.0,0.14,1.4,7.63,1.25,1.69,1.2,1.44,5.83,0.21
Rudey,167.0,2,11,113,665,101,180,286,320,1822,36,301,1353,35,537,5250,1.78,11.96,9.73,79,34,1,5.88,6.37,0.35,5,38,14,3,0,92,14,121,33.63,21.43,32.17,42.31,0.01,0.07,0.68,3.98,0.6,1.08,1.71,1.92,10.91,0.22
Russ,685.9,-23,60,713,4899,647,841,979,1209,6353,208,1266,6485,879,2709,21420,1.44,16.43,8.42,194,230,6,6.87,6.49,0.3,46,199,93,31,5,326,38,400,27.91,33.33,33.3,40.86,-0.03,0.09,1.04,7.14,0.94,1.23,1.43,1.76,9.26,0.3
S. Strasball,13.3,1,0,19,132,19,26,13,16,19,4,26,112,0,44,621,0.62,15.38,0.0,7,3,0,6.95,1.46,0.03,1,2,2,1,0,3,0,2,10.53,50.0,23.08,15.38,0.08,0.0,1.43,9.92,1.43,1.95,0.98,1.2,1.43,0.3
Sadness,473.2,12,49,637,4399,583,730,377,499,2740,111,877,5689,463,2322,15400,0.68,12.66,7.69,147,122,5,6.91,7.27,0.18,45,179,68,17,3,112,20,146,28.1,25.0,29.71,38.73,0.03,0.1,1.35,9.3,1.23,1.54,0.8,1.05,5.79,0.23
Salmond Milk,65.7,-9,5,99,856,93,107,96,114,254,17,114,796,30,316,2520,1.07,14.91,5.05,14,18,1,8.65,2.65,0.1,10,23,16,6,2,30,5,33,23.23,37.5,31.25,34.38,-0.14,0.08,1.51,13.03,1.42,1.63,1.46,1.74,3.87,0.26
Sambal 1,56.9,-4,9,70,470,58,74,57,62,447,6,99,570,45,233,1992,0.84,6.06,12.86,16,5,3,6.71,7.84,0.22,3,11,6,2,1,16,2,19,15.71,33.33,28.07,33.33,-0.07,0.16,1.23,8.26,1.02,1.3,1.0,1.09,7.86,0.11
