Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,matchId,mapName
Hockeypuck,Red,8.1,1,0,13,75,13,13,5,9,31,3,14,110,0,44,233,0.69,21.43,0.0,0,4,0,5.77,6.2,0.13,0,3,3,2,0,2,0,2,23.08,66.67,40.0,40.0,3967110,Thicket 2
@pro,Red,8.1,1,0,6,25,6,8,16,19,108,2,14,66,0,26,233,2.38,14.29,0.0,2,3,0,4.17,6.75,0.46,0,2,0,0,0,9,1,11,33.33,0.0,56.25,68.75,3967110,Thicket 2
C-3P0,Red,8.1,1,1,17,87,16,17,11,11,57,1,14,124,0,48,233,0.65,7.14,5.88,1,0,0,5.12,5.18,0.24,1,7,2,0,0,3,0,3,41.18,0.0,27.27,27.27,3967110,Thicket 2
11th Cmndmnt,Red,8.1,1,2,17,81,15,15,9,9,29,0,14,116,0,46,233,0.6,0.0,11.76,0,0,0,4.76,3.22,0.12,0,7,2,1,2,1,0,1,41.18,50.0,11.11,11.11,3967110,Thicket 2
lemonate,Blue,8.1,-1,2,10,58,8,10,21,21,85,1,14,64,0,24,268,2.1,7.14,20.0,2,0,0,5.8,4.05,0.32,0,3,0,0,0,11,0,11,30.0,0.0,52.38,52.38,3967110,Thicket 2
Acuraun,Blue,8.1,-1,0,14,84,14,16,11,14,27,4,14,127,0,50,268,0.88,28.57,0.0,2,3,0,6.0,2.45,0.1,0,4,1,0,0,3,1,4,28.57,0.0,27.27,36.36,3967110,Thicket 2
Osy,Blue,8.1,-1,0,13,59,13,15,8,8,38,3,14,81,0,32,268,0.53,21.43,0.0,2,0,0,4.54,4.75,0.14,0,5,3,0,0,3,0,3,38.46,0.0,37.5,37.5,3967110,Thicket 2
Rizz,Blue,8.1,-1,0,6,32,6,7,10,10,92,0,14,82,0,32,268,1.43,0.0,0.0,1,0,0,5.33,9.2,0.34,0,3,3,1,0,2,1,2,50.0,33.33,20.0,20.0,3967110,Thicket 2
Toidi,Red,8.1,1,2,10,50,8,12,15,20,122,3,14,87,25,39,219,1.67,21.43,20.0,4,5,0,5.0,8.13,0.56,0,3,2,0,0,7,0,7,30.0,0.0,46.67,46.67,3967112,Asida
Roxas,Red,8.1,1,2,19,76,17,21,11,13,55,1,14,90,25,41,219,0.62,7.14,10.53,4,2,0,4.0,5.0,0.25,0,8,4,2,0,8,3,8,42.11,50.0,72.73,72.73,3967112,Asida
Irony,Blue,8.1,-1,1,11,52,10,17,15,16,72,2,14,89,5,35,254,0.94,14.29,9.09,7,1,0,4.73,4.8,0.28,0,5,2,1,0,6,1,6,45.45,50.0,40.0,40.0,3967112,Asida
Chritt,Red,8.1,1,3,14,61,11,13,11,12,97,0,14,90,38,43,219,0.92,0.0,21.43,2,1,0,4.36,8.82,0.44,0,6,3,0,1,5,2,7,42.86,0.0,45.45,63.64,3967112,Asida
Curry,Blue,8.1,-1,4,19,56,15,16,11,13,19,1,14,119,15,49,254,0.81,7.14,21.05,1,2,0,2.95,1.73,0.07,0,9,4,2,1,2,1,2,47.37,50.0,18.18,18.18,3967112,Asida
Champagne,Blue,8.1,-1,1,8,41,7,16,15,18,70,1,14,68,15,29,254,1.12,7.14,12.5,9,3,0,5.12,4.67,0.28,1,4,1,0,0,11,2,10,50.0,0.0,73.33,66.67,3967112,Asida
DEAD NAN,Blue,8.1,-1,0,13,70,13,18,9,14,36,4,14,61,5,25,254,0.78,28.57,0.0,5,5,0,5.38,4.0,0.14,1,6,1,0,0,3,2,2,46.15,0.0,33.33,22.22,3967112,Asida
rc,Red,8.1,1,0,15,67,15,18,8,13,40,2,14,96,5,39,219,0.72,14.29,0.0,3,5,0,4.47,5.0,0.18,0,5,2,0,0,4,0,6,33.33,0.0,50.0,75.0,3967112,Asida
Madoka,Red,6.7,0,2,10,56,7,7,7,9,29,2,12,63,0,24,163,1.29,16.67,20.0,0,2,1,5.6,4.14,0.18,0,2,1,1,1,2,0,3,20.0,100.0,28.57,42.86,3967119,Audacity 2
Toidi,Blue,6.7,0,0,6,19,6,8,11,11,142,2,12,46,0,18,152,1.38,16.67,0.0,2,0,0,3.17,12.91,0.93,0,4,2,2,0,5,0,6,66.67,100.0,45.45,54.55,3967119,Audacity 2
danp,Blue,6.7,0,1,13,73,11,12,2,2,13,0,12,73,0,28,152,0.17,0.0,7.69,1,0,1,5.62,6.5,0.09,0,2,2,0,0,0,0,0,15.38,0.0,0.0,0.0,3967119,Audacity 2
Irony,Blue,6.7,0,0,5,15,5,8,10,10,125,1,12,70,0,28,152,1.25,8.33,0.0,3,0,0,3.0,12.5,0.82,0,3,1,0,0,5,0,5,60.0,0.0,50.0,50.0,3967119,Audacity 2
Champagne,Red,6.2,-1,0,9,21,9,9,3,3,12,1,12,60,0,24,163,0.33,8.33,0.0,0,0,0,2.33,4.0,0.07,0,6,0,0,0,0,0,1,66.67,0.0,0.0,33.33,3967119,Audacity 2
joy.,Red,6.7,0,0,5,29,5,5,12,15,81,2,12,59,0,22,163,3.0,16.67,0.0,0,3,0,5.8,6.75,0.5,0,0,2,1,0,8,1,6,0.0,50.0,66.67,50.0,3967119,Audacity 2
rc,Red,6.7,0,1,7,46,6,6,10,10,54,3,12,76,0,30,163,1.67,25.0,14.29,0,0,0,6.57,5.4,0.33,0,3,1,0,0,4,0,7,42.86,0.0,40.0,70.0,3967119,Audacity 2
DEAD NAN,Blue,6.7,0,2,12,56,10,10,3,3,25,1,12,90,0,36,152,0.3,8.33,16.67,0,0,0,4.67,8.33,0.16,0,5,1,1,0,1,0,1,41.67,100.0,33.33,33.33,3967119,Audacity 2
11th Cmndmnt,Red,8.0,2,0,7,52,7,12,9,11,78,1,14,58,0,22,288,0.92,7.14,0.0,5,2,0,7.43,8.67,0.27,1,3,4,2,0,0,0,2,42.86,50.0,0.0,22.22,3967120,Willow 2
lemonate,Blue,8.0,-2,1,9,56,8,9,15,15,94,3,14,87,0,34,289,1.67,21.43,11.11,1,0,0,6.22,6.27,0.33,1,2,2,0,0,6,0,10,22.22,0.0,40.0,66.67,3967120,Willow 2
Hockeypuck,Blue,8.0,-2,0,10,110,10,12,7,8,5,1,14,92,20,40,289,0.67,7.14,0.0,2,1,0,11.0,0.71,0.02,2,1,0,0,0,2,0,1,10.0,0.0,28.57,14.29,3967120,Willow 2
@pro,Red,8.0,2,1,8,79,7,9,11,12,42,2,14,85,5,35,288,1.33,14.29,12.5,2,1,0,9.88,3.82,0.15,0,1,0,0,0,4,2,4,12.5,0.0,36.36,36.36,3967120,Willow 2
CoolHandJuke,Blue,8.0,-2,1,12,67,11,15,6,7,22,3,14,77,5,31,289,0.47,21.43,8.33,4,1,0,5.58,3.67,0.08,0,2,0,0,0,1,0,1,16.67,0.0,16.67,16.67,3967120,Willow 2
Osy,Red,8.0,2,1,10,85,9,10,10,12,48,3,14,58,5,23,288,1.2,21.43,10.0,1,2,0,8.5,4.8,0.17,1,3,1,1,0,2,1,1,30.0,100.0,20.0,10.0,3967120,Willow 2
nej,Red,8.0,2,2,16,73,14,14,3,3,27,0,14,85,10,36,288,0.21,0.0,12.5,0,0,0,4.56,9.0,0.09,0,5,2,1,0,0,0,0,31.25,50.0,0.0,0.0,3967120,Willow 2
itagpro,Blue,8.0,-2,0,6,55,6,9,7,9,57,1,14,90,20,40,289,1.0,7.14,0.0,3,2,0,9.17,8.14,0.2,1,1,0,0,0,3,1,5,16.67,0.0,42.86,71.43,3967120,Willow 2
chaiwala,Red,4.2,-5,0,8,25,8,10,3,3,21,0,8,61,0,24,171,0.3,0.0,0.0,2,0,0,3.12,7.0,0.12,0,4,0,0,0,0,0,1,50.0,0.0,0.0,33.33,3967121,Moon Base 2024
