Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
SluffAndRuff,Red,8.0,3,2,19,123,17,19,8,8,14,0,14,121,0,48,180,0.42,0.0,10.53,2,0,0,6.47,1.75,0.08,1,2,2,0,1,5,0,5,10.53,0.0,62.5,62.5
Enervate,Blue,8.0,-3,0,17,56,17,19,9,9,30,0,14,117,0,46,221,0.47,0.0,0.0,2,0,0,3.29,3.33,0.14,0,10,5,1,0,1,0,4,58.82,20.0,11.11,44.44
meowza,Red,8.0,3,1,8,27,7,10,14,20,85,3,14,69,0,26,180,2.0,21.43,12.5,3,6,0,3.38,6.07,0.47,0,2,2,0,0,5,1,10,25.0,0.0,35.71,71.43
Maelstrom,Blue,8.0,-3,0,15,41,14,15,7,7,68,1,14,142,0,56,221,0.47,7.14,0.0,1,0,1,2.73,9.71,0.31,0,7,3,0,0,1,1,2,46.67,0.0,14.29,28.57
waterlemon,Blue,8.0,-3,1,14,59,13,14,14,16,54,4,14,88,0,34,221,1.14,28.57,7.14,1,2,0,4.21,3.86,0.24,0,6,5,0,0,3,0,9,42.86,0.0,21.43,64.29
DEAD NAN,Red,8.0,3,1,13,53,12,16,11,11,34,0,14,108,0,42,180,0.69,0.0,7.69,4,0,0,4.08,3.09,0.19,0,4,3,2,0,6,0,8,30.77,66.67,54.55,72.73
mex,Red,8.0,3,0,4,18,4,7,18,18,129,1,14,58,0,22,180,2.57,7.14,0.0,3,0,0,4.5,7.17,0.72,0,1,0,0,0,9,1,9,25.0,0.0,50.0,50.0
realtea,Blue,8.0,-3,0,7,24,7,9,10,20,106,5,14,61,0,24,221,2.22,35.71,0.0,2,10,0,3.43,10.6,0.48,0,3,2,1,0,4,0,5,42.86,50.0,40.0,50.0
