Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Able,Blue,8.0,-2,1,7,70,6,9,14,16,104,2,14,35,20,18,217,1.78,14.29,14.29,3,2,0,10.0,7.43,0.48,1,2,1,0,0,4,0,4,28.57,0.0,28.57,28.57
rake,Blue,8.0,-2,0,5,16,5,9,9,10,121,0,14,79,5,31,217,1.11,0.0,0.0,4,1,0,3.2,13.44,0.56,0,3,1,0,0,5,0,7,60.0,0.0,55.56,77.78
rebel fox,Red,8.0,2,0,10,39,10,13,16,16,50,1,14,74,25,33,223,1.23,7.14,0.0,3,0,0,3.9,3.12,0.22,0,4,2,1,0,8,1,8,40.0,50.0,50.0,50.0
Trapsin,Red,8.0,2,3,16,95,13,18,2,3,23,0,14,81,5,33,223,0.17,0.0,18.75,5,1,0,5.94,11.5,0.1,1,4,0,0,1,1,0,2,25.0,0.0,50.0,100.0
praopraoprao,Red,8.0,2,0,6,22,6,9,10,13,101,2,14,71,20,32,223,1.44,14.29,0.0,3,3,0,3.67,10.1,0.45,0,0,2,2,0,5,2,6,0.0,100.0,50.0,60.0
Green,Blue,8.0,-2,0,13,45,13,14,7,7,31,2,14,122,10,50,217,0.5,14.29,0.0,1,0,0,3.46,4.43,0.14,0,8,0,0,0,1,0,1,61.54,0.0,14.29,14.29
Butter,Red,8.0,2,2,8,61,6,9,12,18,93,4,14,35,5,15,223,2.0,28.57,25.0,3,6,0,7.62,7.75,0.42,1,3,1,0,0,6,0,6,37.5,0.0,50.0,50.0
DudeMcGuy,Blue,8.0,-2,2,19,92,16,18,4,12,7,3,14,114,20,48,217,0.67,21.43,10.53,2,8,1,4.84,1.75,0.03,0,7,1,1,0,1,1,2,36.84,100.0,25.0,50.0
