Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Ceremony,Red,9.0,1,0,8,26,8,11,9,9,69,0,16,93,10,38,284,0.82,0.0,0.0,3,0,0,3.25,7.67,0.24,0,2,2,2,0,4,1,5,25.0,100.0,44.44,55.56
Toidi,Blue,9.0,-1,0,7,68,7,9,8,8,89,0,16,64,30,30,295,0.89,0.0,0.0,2,0,0,9.71,11.12,0.3,1,3,1,0,0,3,0,4,42.86,0.0,37.5,50.0
joy.,Red,9.0,1,2,8,31,6,7,13,27,80,3,16,55,20,26,284,3.86,18.75,25.0,1,14,0,3.88,6.15,0.28,0,2,1,1,0,4,0,6,25.0,100.0,30.77,46.15
ez,Blue,9.0,-1,1,9,63,8,14,7,12,53,3,16,65,15,29,295,0.86,18.75,11.11,6,5,0,7.0,7.57,0.18,0,1,1,1,0,4,0,3,11.11,100.0,57.14,42.86
Crippy,Red,9.0,1,2,20,158,18,20,6,7,31,3,16,99,10,40,284,0.35,18.75,10.0,2,1,0,7.9,5.17,0.11,2,7,0,0,1,2,1,2,35.0,0.0,33.33,33.33
Enervate,Blue,9.0,-1,1,10,70,9,15,18,20,51,4,16,71,5,29,295,1.33,25.0,10.0,6,2,0,7.0,2.83,0.17,1,6,3,0,0,4,1,6,60.0,0.0,22.22,33.33
Ty,Blue,9.0,-1,1,13,83,12,18,10,11,37,3,16,81,30,38,295,0.61,18.75,7.69,6,1,0,6.38,3.7,0.13,1,3,0,0,0,3,1,3,23.08,0.0,30.0,30.0
CRYCHIC,Red,9.0,1,0,11,80,11,14,9,9,63,0,16,81,10,34,284,0.64,0.0,0.0,3,0,0,7.27,7.0,0.22,0,3,1,0,0,3,0,3,27.27,0.0,33.33,33.33
