Time,Event,Player,Team
11.85,Drop Opponent flag,Light,Red
63.6,Grab Opponent flag,Homie,Blue
17.73,Return,Beach,Red
58.82,Grab Opponent flag,Light,Red
7.75,Grab Opponent flag,Old Cob,Blue
93.92,Grab Opponent flag,bubblez,Blue
59.12,Drop Opponent flag,Light,Red
103.75,Return,Light,Red
147.25,Drop Opponent flag,Homie,Blue
58.27,Drop Opponent flag,Old Cob,Blue
11.85,Return,bubblez,Blue
204.8,Capture Opponent flag,Homie,Blue
39.55,Return,Light,Red
125.93,Grab Opponent flag,Light,Red
196.6,Drop Opponent flag,Light,Red
8.0,Drop Opponent flag,Old Cob,Blue
33.48,Grab Opponent flag,Old Cob,Blue
8.0,Return,Jer32,Red
89.0,Drop Opponent flag,Jer32,Red
158.13,Grab Opponent flag,Jer32,Red
223.5,Drop Opponent flag,Old Cob,Blue
238.77,Grab Opponent flag,Old Cob,Blue
101.75,Drop Opponent flag,bubblez,Blue
176.73,Drop Opponent flag,bubblez,Blue
196.6,Return,bubblez,Blue
301.03,Drop Opponent flag,bubblez,Blue
223.75,Grab Opponent flag,Homie,Blue
17.73,Drop Opponent flag,gl hf :),Blue
58.27,Return,Beach,Red
60.67,Drop Opponent flag,Beach,Red
114.43,Grab Opponent flag,Beach,Red
127.18,Grab Opponent flag,Homie,Blue
167.37,Drop Opponent flag,Beach,Red
179.72,Drop Opponent flag,Beach,Red
101.75,Return,Light,Red
93.67,Return,Subglacious,Red
106.32,Drop Opponent flag,Subglacious,Red
143.8,Drop Opponent flag,Subglacious,Red
175.75,Drop Opponent flag,Subglacious,Red
183.68,Grab Opponent flag,Light,Red
210.13,Return,Subglacious,Red
281.03,Drop Opponent flag,Subglacious,Red
151.72,Return,Homie,Blue
33.95,Drop Opponent flag,Old Cob,Blue
33.95,Return,Jer32,Red
146.78,Drop Opponent flag,Jer32,Red
162.6,Drop Opponent flag,Jer32,Red
179.72,Return,Old Cob,Blue
186.2,Grab Opponent flag,Old Cob,Blue
188.42,Drop Opponent flag,Old Cob,Blue
210.95,Grab Opponent flag,Old Cob,Blue
239.33,Drop Opponent flag,Old Cob,Blue
272.05,Grab Opponent flag,Old Cob,Blue
59.12,Return,bubblez,Blue
210.13,Drop Opponent flag,bubblez,Blue
254.97,Drop Opponent flag,bubblez,Blue
340.02,Drop Opponent flag,bubblez,Blue
17.32,Grab Opponent flag,gl hf :),Blue
11.6,Grab Opponent flag,Light,Red
68.97,Drop Opponent flag,Homie,Blue
93.67,Drop Opponent flag,gl hf :),Blue
60.43,Grab Opponent flag,Beach,Red
103.75,Drop Opponent flag,gl hf :),Blue
151.4,Drop Opponent flag,gl hf :),Blue
183.88,Drop Opponent flag,gl hf :),Blue
119.1,Drop Opponent flag,Beach,Red
265.57,Return,Homie,Blue
162.85,Grab Opponent flag,Beach,Red
265.57,Drop Opponent flag,Homie,Blue
176.93,Grab Opponent flag,Beach,Red
237.05,Grab Opponent flag,Beach,Red
265.57,Return,Beach,Red
265.57,Drop Opponent flag,Beach,Red
271.8,Return,Beach,Red
139.22,Drop Opponent flag,Light,Red
68.97,Return,Subglacious,Red
151.45,Grab Opponent flag,Light,Red
151.72,Drop Opponent flag,Light,Red
147.25,Return,Subglacious,Red
183.88,Return,Subglacious,Red
200.77,Drop Opponent flag,Subglacious,Red
267.67,Grab Opponent flag,Subglacious,Red
223.5,Return,Light,Red
310.72,Return,Subglacious,Red
234.17,Return,Light,Red
41.83,Grab Opponent flag,Old Cob,Blue
89.0,Return,Homie,Blue
337.25,Drop Opponent flag,Homie,Blue
254.97,Return,Light,Red
65.73,Grab Opponent flag,Jer32,Red
152.03,Grab Opponent flag,Old Cob,Blue
157.1,Drop Opponent flag,Old Cob,Blue
151.4,Return,Jer32,Red
176.73,Return,Jer32,Red
175.75,Return,Old Cob,Blue
188.42,Return,Jer32,Red
310.92,Drop Opponent flag,Jer32,Red
236.8,Return,Old Cob,Blue
380.88,Grab Opponent flag,Jer32,Red
288.2,Drop Opponent flag,Old Cob,Blue
60.67,Return,bubblez,Blue
106.32,Return,Homie,Blue
119.1,Return,bubblez,Blue
