Time,Event,Player,Team
78.8,Return,Jarek,Red
92.85,Return,Jarek,Red
110.33,Return,Jarek,Red
110.33,Drop Opponent flag,JimBobCooter,Blue
135.97,Grab Opponent flag,JimBobCooter,Blue
138.17,Return,JimBobCooter,Blue
138.17,Drop Opponent flag,JimBobCooter,Blue
246.02,Grab Opponent flag,LogisticMap,Blue
163.18,Grab Opponent flag,JimBobCooter,Blue
165.0,Drop Opponent flag,JimBobCooter,Blue
189.35,Return,JimBobCooter,Blue
217.98,Grab Opponent flag,JimBobCooter,Blue
219.53,Drop Opponent flag,JimBobCooter,Blue
235.2,Grab Opponent flag,JimBobCooter,Blue
237.58,Return,JimBobCooter,Blue
237.58,Drop Opponent flag,JimBobCooter,Blue
250.45,Grab Opponent flag,JimBobCooter,Blue
265.43,Drop Opponent flag,JimBobCooter,Blue
277.97,Grab Opponent flag,JimBobCooter,Blue
287.68,Drop Opponent flag,JimBobCooter,Blue
353.25,Return,JimBobCooter,Blue
378.92,Grab Opponent flag,JimBobCooter,Blue
379.63,Drop Opponent flag,JimBobCooter,Blue
403.98,Grab Opponent flag,JimBobCooter,Blue
404.23,Drop Opponent flag,JimBobCooter,Blue
451.52,Grab Opponent flag,JimBobCooter,Blue
451.82,Drop Opponent flag,JimBobCooter,Blue
474.45,Return,JimBobCooter,Blue
174.07,Grab Opponent flag,CreedBratton,Red
18.72,Grab Opponent flag,danp,Red
288.18,Grab Opponent flag,LogisticMap,Blue
287.68,Return,Jarek,Red
292.3,Grab Opponent flag,Jarek,Red
74.12,Return,danp,Red
295.52,Drop Opponent flag,Jarek,Red
308.65,Grab Opponent flag,Jarek,Red
309.72,Drop Opponent flag,Jarek,Red
291.08,Drop Opponent flag,LogisticMap,Blue
207.58,Grab Opponent flag,CreedBratton,Red
351.42,Grab Opponent flag,Jarek,Red
353.25,Drop Opponent flag,Jarek,Red
373.35,Grab Opponent flag,Jarek,Red
373.42,Return,Jarek,Red
303.08,Grab Opponent flag,LogisticMap,Blue
373.42,Drop Opponent flag,Jarek,Red
379.63,Return,Jarek,Red
224.3,Return,CreedBratton,Red
221.75,Grab Opponent flag,danp,Red
241.62,Return,danp,Red
246.45,Return,danp,Red
308.02,Capture Opponent flag,LogisticMap,Blue
403.73,Return,Jarek,Red
291.08,Return,danp,Red
451.82,Return,Jarek,Red
382.87,Grab Opponent flag,danp,Red
460.2,Grab Opponent flag,Jarek,Red
404.23,Return,danp,Red
474.45,Drop Opponent flag,Jarek,Red
487.08,Grab Opponent flag,Jarek,Red
447.15,Grab Opponent flag,danp,Red
452.18,Capture Opponent flag,danp,Red
296.5,Return,CreedBratton,Red
361.63,Return,LogisticMap,Blue
162.45,Return,LogisticMap,Blue
25.47,Drop Opponent flag,Chritt,Red
67.83,Grab Opponent flag,Chritt,Red
68.25,Return,Chritt,Red
68.25,Drop Opponent flag,Chritt,Red
373.33,Return,LogisticMap,Blue
316.35,Grab Opponent flag,CreedBratton,Red
162.45,Drop Opponent flag,LogisticMap,Blue
342.7,Drop Opponent flag,CreedBratton,Red
172.32,Return,Chritt,Red
398.97,Grab Opponent flag,LogisticMap,Blue
237.83,Grab Opponent flag,Chritt,Red
364.13,Grab Opponent flag,CreedBratton,Red
245.9,Capture Opponent flag,Chritt,Red
252.02,Grab Opponent flag,Chritt,Red
373.33,Drop Opponent flag,CreedBratton,Red
278.83,Grab Opponent flag,Chritt,Red
403.73,Drop Opponent flag,LogisticMap,Blue
355.52,Grab Opponent flag,Chritt,Red
376.47,Grab Opponent flag,Chritt,Red
416.35,Return,LogisticMap,Blue
411.98,Grab Opponent flag,Chritt,Red
416.35,Drop Opponent flag,Chritt,Red
431.58,Grab Opponent flag,LogisticMap,Blue
437.13,Grab Opponent flag,Chritt,Red
442.78,Capture Opponent flag,Chritt,Red
452.42,Grab Opponent flag,Chritt,Red
458.75,Drop Opponent flag,Chritt,Red
493.42,Return,Chritt,Red
431.33,Return,CreedBratton,Red
437.52,Return,CreedBratton,Red
268.38,Grab Opponent flag,cantstop,Blue
437.52,Drop Opponent flag,LogisticMap,Blue
277.72,Drop Opponent flag,cantstop,Blue
291.83,Grab Opponent flag,cantstop,Blue
296.5,Drop Opponent flag,cantstop,Blue
110.97,Grab Opponent flag,keithstoned1,Blue
461.25,Return,CreedBratton,Red
312.17,Grab Opponent flag,cantstop,Blue
452.8,Grab Opponent flag,LogisticMap,Blue
476.0,Grab Opponent flag,CreedBratton,Red
350.05,Return,cantstop,Blue
484.27,Drop Opponent flag,CreedBratton,Red
378.07,Drop Opponent flag,cantstop,Blue
385.78,Return,cantstop,Blue
237.83,Grab Opponent flag,keithstoned1,Blue
461.25,Drop Opponent flag,LogisticMap,Blue
265.68,Grab Opponent flag,keithstoned1,Blue
406.17,Grab Opponent flag,cantstop,Blue
295.52,Return,keithstoned1,Blue
431.33,Drop Opponent flag,cantstop,Blue
309.72,Return,keithstoned1,Blue
458.75,Return,cantstop,Blue
373.42,Return,keithstoned1,Blue
484.27,Return,cantstop,Blue
396.35,Return,keithstoned1,Blue
411.18,Return,keithstoned1,Blue
436.88,Return,keithstoned1,Blue
461.5,Grab Opponent flag,keithstoned1,Blue
493.43,Drop Opponent flag,keithstoned1,Blue

BLUE START AND END EVENTS
Role,Time,Player,Team,Note
Start,92.47,cantstop,Blue,
Start,21.18,JimBobCooter,Blue,
Start,139.67,LogisticMap,Blue,
Start,161.93,LogisticMap,Blue,
Start,78.53,cantstop,Blue,
Start,154.73,cantstop,Blue,
Start,81.28,JimBobCooter,Blue,
Start,43.10,cantstop,Blue,
Start,119.33,cantstop,Blue,
Start,172.57,cantstop,Blue,
Start,220.53,cantstop,Blue,
Start,234.23,cantstop,Blue,
Start,244.28,cantstop,Blue,
Start,335.72,keithstoned1,Blue,
Start,28.80,LogisticMap,Blue,
Start,68.50,JimBobCooter,Blue,
Start,109.15,JimBobCooter,Blue,
Start,192.35,LogisticMap,Blue,
Start,165.25,keithstoned1,Blue,
Start,374.87,cantstop,Blue,
Start,35.77,JimBobCooter,Blue,
Start,135.97,JimBobCooter,Blue,
Start,246.02,LogisticMap,Blue,
Start,163.18,JimBobCooter,Blue,
Start,217.98,JimBobCooter,Blue,
Start,235.20,JimBobCooter,Blue,
Start,250.45,JimBobCooter,Blue,
Start,277.97,JimBobCooter,Blue,
Start,378.92,JimBobCooter,Blue,
Start,403.98,JimBobCooter,Blue,
Start,451.52,JimBobCooter,Blue,
Start,288.18,LogisticMap,Blue,
Start,303.08,LogisticMap,Blue,
Start,398.97,LogisticMap,Blue,
Start,431.58,LogisticMap,Blue,
Start,268.38,cantstop,Blue,
Start,291.83,cantstop,Blue,
Start,110.97,keithstoned1,Blue,
Start,312.17,cantstop,Blue,
Start,452.80,LogisticMap,Blue,
Start,237.83,keithstoned1,Blue,
Start,265.68,keithstoned1,Blue,
Start,406.17,cantstop,Blue,
Start,461.50,keithstoned1,Blue,
End,68.25,cantstop,Blue,Drop Opponent flag
End,81.30,LogisticMap,Blue,Return
End,144.52,LogisticMap,Blue,Drop Opponent flag
End,135.72,cantstop,Blue,Drop Opponent flag
End,178.08,LogisticMap,Blue,Return
End,144.03,keithstoned1,Blue,Return
End,74.12,JimBobCooter,Blue,Drop Opponent flag
End,5.58,cantstop,Blue,Return
End,27.42,cantstop,Blue,Return
End,92.85,cantstop,Blue,Drop Opponent flag
End,209.85,cantstop,Blue,Return
End,224.30,cantstop,Blue,Drop Opponent flag
End,234.95,cantstop,Blue,Drop Opponent flag
End,172.32,keithstoned1,Blue,Drop Opponent flag
End,34.00,LogisticMap,Blue,Drop Opponent flag
End,42.85,JimBobCooter,Blue,Drop Opponent flag
End,90.65,JimBobCooter,Blue,Drop Opponent flag
End,78.80,cantstop,Blue,Drop Opponent flag
End,171.65,LogisticMap,Blue,Return
End,154.98,cantstop,Blue,Drop Opponent flag
End,191.22,cantstop,Blue,Capture Opponent flag
End,244.53,cantstop,Blue,Drop Opponent flag
End,70.55,keithstoned1,Blue,Return
End,119.08,keithstoned1,Blue,Drop Opponent flag
End,200.97,keithstoned1,Blue,Return
End,241.62,keithstoned1,Blue,Drop Opponent flag
End,202.08,LogisticMap,Blue,Drop Opponent flag
End,205.52,LogisticMap,Blue,Return
End,28.02,JimBobCooter,Blue,Drop Opponent flag
End,246.45,LogisticMap,Blue,Drop Opponent flag
End,276.78,LogisticMap,Blue,Return
End,342.70,LogisticMap,Blue,Return
End,68.25,cantstop,Blue,Return
End,261.65,cantstop,Blue,Return
End,19.33,keithstoned1,Blue,Return
End,25.47,keithstoned1,Blue,Return
End,44.68,keithstoned1,Blue,Return
End,102.00,LogisticMap,Blue,Return
End,132.50,keithstoned1,Blue,Return
End,326.32,cantstop,Blue,Drop Opponent flag
End,267.47,keithstoned1,Blue,Drop Opponent flag
End,290.33,keithstoned1,Blue,Return
End,373.42,keithstoned1,Blue,Drop Opponent flag
End,377.83,keithstoned1,Blue,Return
End,110.33,JimBobCooter,Blue,Drop Opponent flag
End,138.17,JimBobCooter,Blue,Return
End,138.17,JimBobCooter,Blue,Drop Opponent flag
End,165.00,JimBobCooter,Blue,Drop Opponent flag
End,189.35,JimBobCooter,Blue,Return
End,219.53,JimBobCooter,Blue,Drop Opponent flag
End,237.58,JimBobCooter,Blue,Return
