Map,Games,RedWins,BlueWins,Red Win %,Blue Win %
Oak,1096,504,592,0.45985401459854014,0.5401459854014599
Combine,1768,800,968,0.45248868778280543,0.5475113122171946
Moon Base 2024,2112,1033,1079,0.4891098484848485,0.5108901515151515
Milano 2,1784,877,907,0.4915919282511211,0.5084080717488789
Asida,2607,1276,1331,0.48945147679324896,0.510548523206751
Audacity 2,2590,1242,1348,0.47953667953667956,0.5204633204633204
Centenaria,1796,829,967,0.4615812917594655,0.5384187082405345
OTI MERALD,1223,559,664,0.4570727718724448,0.5429272281275552
Pine,380,153,227,0.4026315789473684,0.5973684210526315
GFY,178,80,98,0.449438202247191,0.550561797752809
Catch-24,391,197,194,0.5038363171355499,0.4961636828644501
Willow 2,957,447,510,0.4670846394984326,0.5329153605015674
Sardonica,1238,555,683,0.4483037156704362,0.5516962843295639
A Flaccid Type Map,2285,1024,1261,0.44814004376367617,0.5518599562363239
Crawfish Boil,1,1,0,1.0,0.0
OTI Jardim,658,328,330,0.49848024316109424,0.5015197568389058
Sugar Free Hill,391,173,218,0.4424552429667519,0.5575447570332481
Nuke,266,132,134,0.49624060150375937,0.5037593984962406
Thicket 2,546,261,285,0.47802197802197804,0.521978021978022
Apparition 2023,415,203,212,0.4891566265060241,0.5108433734939759
Pretzel 2,166,77,89,0.463855421686747,0.536144578313253
Transilio 2024,291,152,139,0.5223367697594502,0.47766323024054985
Pilot 3,384,186,198,0.484375,0.515625
Haste,271,122,149,0.45018450184501846,0.5498154981549815
Pukebox 2,26,12,14,0.46153846153846156,0.5384615384615384
Waterbed [MM23 West Winner],22,13,9,0.5909090909090909,0.4090909090909091
Tetanic,6,5,1,0.8333333333333334,0.16666666666666666
Tetanic 3.1 4x4,2,1,1,0.5,0.5
