Player,Skill,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Redstone,563.24,134.3,20,8,12,13,7,0.3076923076923077,0.5714285714285714,13.0,191.0,1207.0,176.0,206.0,168.0,189.0,1094.0,21.0,247.0,1261.0,70.0,506.0,4652.0,7.0,50.0,26.0,11.0,1.0,50.0,7.0,64.0,30.0,21.0,2.0,-14.0,-0.10424422933730454,0.0967982129560685,1.4221891288160833,8.987341772151899,1.3104988830975428,1.5338793745346238,1.2509307520476545,1.4072970960536113,8.145941921072225,0.1563663440059568,0.4,0.08502024291497975,0.06806282722513089,0.2617801047120419,0.4230769230769231,0.2976190476190476,0.38095238095238093,0.9174757281553398,6.319371727748691,6.511904761904762,0.2351676698194325,0.774385703648548,11.377513030528666,71.89873417721519,10.483991064780342,12.27103499627699,10.007446016381236,11.25837676842889,65.1675353685778,1.2509307520476545,14.713328369322412,75.11541325390915,4.169769173492181,30.14147431124348,277.1109456440804,0.41697691734921816,2.978406552494415,1.548771407297096,0.6552494415487714,0.059568131049888305,2.978406552494415,0.41697691734921816,3.8123603871928515,1.787043931496649,1.2509307520476545,0.11913626209977661,-0.8339538346984363
Taj Maball,415.55,133.89999999999998,20,5,15,12,8,0.16666666666666666,0.375,10.0,161.0,1014.0,150.0,196.0,113.0,132.0,730.0,23.0,238.0,1316.0,105.0,537.0,5334.0,8.0,44.0,15.0,5.0,0.0,35.0,4.0,41.0,46.0,19.0,1.0,-25.0,-0.18670649738610906,0.07468259895444362,1.2023898431665423,7.572815533980584,1.1202389843166545,1.463778939507095,0.843913368185213,0.9858103061986558,5.4518297236743845,0.17176997759522034,0.25,0.09663865546218488,0.062111801242236024,0.2732919254658385,0.3333333333333333,0.30973451327433627,0.36283185840707965,0.673469387755102,6.298136645962733,6.460176991150442,0.13685789276340457,0.597460791635549,9.619118745332338,60.58252427184467,8.961911874533236,11.71023151605676,6.751306945481704,7.886482449589247,43.614637789395076,1.3741598207617627,14.219566840926067,78.62584017923825,6.273338312173265,32.08364451082898,318.6855862584018,0.4779686333084392,2.6288274831964156,0.8961911874533235,0.2987303958177745,0.0,2.0911127707244215,0.2389843166542196,2.449589245705751,2.7483196415235254,1.135175504107543,0.0597460791635549,-1.4936519790888725
Monorchid,537.39,132.8,20,11,9,10,10,0.4,0.7,16.0,193.0,1300.0,176.0,218.0,102.0,119.0,630.0,8.0,238.0,1518.0,178.0,633.0,4747.0,9.0,55.0,22.0,7.0,4.0,25.0,3.0,29.0,42.0,17.0,1.0,-5.0,-0.03765060240963855,0.12048192771084336,1.453313253012048,9.789156626506024,1.325301204819277,1.6415662650602407,0.7680722891566264,0.8960843373493975,4.743975903614458,0.06024096385542168,0.55,0.03361344537815126,0.08290155440414508,0.2849740932642487,0.3181818181818182,0.24509803921568626,0.28431372549019607,0.5458715596330275,6.7357512953367875,6.176470588235294,0.1327153991994944,0.9638554216867469,11.626506024096384,78.3132530120482,10.602409638554215,13.132530120481926,6.144578313253011,7.16867469879518,37.95180722891566,0.48192771084337344,14.33734939759036,91.44578313253011,10.722891566265059,38.132530120481924,285.96385542168673,0.5421686746987951,3.3132530120481927,1.325301204819277,0.4216867469879518,0.24096385542168672,1.506024096385542,0.18072289156626503,1.7469879518072287,2.5301204819277108,1.0240963855421685,0.06024096385542168,-0.3012048192771084
LaVar Ball,611.92,132.70000000000002,21,12,9,10,11,0.5,0.6363636363636364,18.0,196.0,1176.0,175.0,216.0,147.0,172.0,707.0,23.0,247.0,1400.0,212.0,592.0,5062.0,4.0,46.0,26.0,13.0,2.0,51.0,5.0,56.0,41.0,25.0,3.0,2.0,0.015071590052750564,0.13564431047475506,1.477015825169555,8.862094951017331,1.3187641296156742,1.627731725697061,1.1077618688771664,1.2961567445365485,5.327807083647324,0.1733232856066315,0.5714285714285714,0.0931174089068826,0.09183673469387756,0.23469387755102042,0.5,0.3469387755102041,0.38095238095238093,0.7962962962962963,6.0,4.809523809523809,0.1396681153694192,1.0851544837980405,11.81612660135644,70.89675960813865,10.550113036925394,13.021853805576487,8.862094951017331,10.369253956292388,42.62245666917859,1.386586284853052,14.890730972117556,84.40090429540315,12.780708364732478,35.689525244913334,305.1695553880934,0.24114544084400902,2.773172569706104,1.5674453654860585,0.7837226827430293,0.12057272042200451,3.074604370761115,0.3014318010550113,3.3760361718161263,2.471740768651092,1.5071590052750563,0.18085908063300676,0.12057272042200451
DrPoopBoots,540.07,132.59999999999997,21,9,12,13,8,0.38461538461538464,0.5,17.0,180.0,1063.0,161.0,196.0,117.0,127.0,892.0,11.0,244.0,1310.0,100.0,534.0,4714.0,7.0,57.0,19.0,10.0,3.0,28.0,2.0,37.0,35.0,10.0,2.0,-21.0,-0.15837104072398195,0.12820512820512825,1.3574660633484166,8.016591251885371,1.2141779788838616,1.4781297134238314,0.8823529411764708,0.9577677224736051,6.726998491704376,0.08295625942684769,0.42857142857142855,0.045081967213114756,0.09444444444444444,0.31666666666666665,0.5263157894736842,0.23931623931623933,0.3162393162393162,0.6479591836734694,5.905555555555556,7.6239316239316235,0.18922358930844294,1.025641025641026,10.859728506787333,64.13273001508297,9.713423831070893,11.825037707390651,7.058823529411766,7.662141779788841,53.81598793363501,0.6636500754147815,14.720965309200608,79.0346907993967,6.033182503770741,32.21719457013575,284.4042232277527,0.42232277526395184,3.4389140271493224,1.1463046757164408,0.6033182503770741,0.18099547511312222,1.6892911010558074,0.12066365007541481,2.232277526395174,2.111613876319759,0.6033182503770741,0.12066365007541481,-1.2669683257918556
wigglypiggly,566.43,132.5,18,8,10,13,5,0.5384615384615384,0.2,7.0,138.0,908.0,131.0,191.0,120.0,165.0,585.0,42.0,238.0,1377.0,191.0,577.0,5105.0,7.0,31.0,15.0,7.0,1.0,24.0,7.0,32.0,60.0,45.0,0.0,-14.0,-0.10566037735849057,0.052830188679245285,1.0415094339622641,6.8528301886792455,0.9886792452830189,1.441509433962264,0.9056603773584906,1.2452830188679245,4.415094339622642,0.3169811320754717,0.4444444444444444,0.17647058823529413,0.050724637681159424,0.2246376811594203,0.4666666666666667,0.2,0.26666666666666666,0.8638743455497382,6.579710144927536,4.875,0.11459353574926542,0.4226415094339623,8.332075471698113,54.822641509433964,7.909433962264151,11.532075471698112,7.245283018867925,9.962264150943396,35.320754716981135,2.5358490566037735,14.369811320754717,83.13962264150943,11.532075471698112,34.83773584905661,308.22641509433964,0.4226415094339623,1.8716981132075472,0.9056603773584906,0.4226415094339623,0.06037735849056604,1.4490566037735848,0.4226415094339623,1.9320754716981132,3.6226415094339623,2.7169811320754715,0.0,-0.8452830188679246
Blip,557.59,131.9,22,10,12,7,15,0.14285714285714285,0.6,12.0,102.0,832.0,89.0,130.0,188.0,224.0,1085.0,25.0,237.0,1115.0,134.0,462.0,4959.0,7.0,25.0,13.0,3.0,0.0,65.0,6.0,76.0,41.0,36.0,1.0,-25.0,-0.18953752843062927,0.09097801364670205,0.7733131159969674,6.307808946171342,0.6747536012130402,0.9855951478392722,1.425322213798332,1.698256254738438,8.22592873388931,0.18953752843062927,0.45454545454545453,0.10548523206751055,0.11764705882352941,0.24509803921568626,0.23076923076923078,0.34574468085106386,0.40425531914893614,1.7230769230769232,8.156862745098039,5.7712765957446805,0.2187941117160718,0.7278241091736164,6.186504927975739,50.462471569370734,5.398028809704321,7.884761182714177,11.402577710386655,13.586050037907505,65.80742987111448,1.5163002274450341,14.374526156178923,67.62699014404852,8.127369219105383,28.02122820318423,300.7733131159969,0.4245640636846095,1.5163002274450341,0.7884761182714177,0.1819560272934041,0.0,3.9423805913570886,0.3639120545868082,4.609552691432904,2.486732373009856,2.183472327520849,0.060652009097801364,-1.5163002274450341
A-N-O-M,528.04,131.6,21,10,11,10,11,0.3,0.6363636363636364,19.0,189.0,1652.0,168.0,202.0,121.0,147.0,541.0,37.0,258.0,1384.0,140.0,566.0,4680.0,16.0,36.0,10.0,4.0,4.0,28.0,5.0,28.0,34.0,26.0,2.0,3.0,0.022796352583586626,0.14437689969604864,1.4361702127659575,12.553191489361703,1.2765957446808511,1.534954407294833,0.9194528875379939,1.1170212765957448,4.1109422492401215,0.2811550151975684,0.47619047619047616,0.1434108527131783,0.10052910052910052,0.19047619047619047,0.4,0.23140495867768596,0.23140495867768596,0.7277227722772277,8.74074074074074,4.471074380165289,0.1155982905982906,1.155015197568389,11.48936170212766,100.42553191489363,10.212765957446809,12.279635258358663,7.355623100303951,8.936170212765958,32.88753799392097,2.2492401215805473,15.683890577507599,84.13373860182371,8.51063829787234,34.40729483282675,284.4984802431611,0.9726443768996961,2.1884498480243164,0.60790273556231,0.24316109422492402,0.24316109422492402,1.702127659574468,0.303951367781155,1.702127659574468,2.066869300911854,1.580547112462006,0.12158054711246201,0.182370820668693
Montoorn,545.81,130.79999999999998,18,7,11,10,8,0.3,0.5,13.0,159.0,1081.0,145.0,181.0,185.0,220.0,703.0,28.0,237.0,1360.0,193.0,570.0,4808.0,8.0,49.0,25.0,9.0,2.0,39.0,4.0,49.0,36.0,35.0,1.0,-15.0,-0.11467889908256883,0.09938837920489298,1.2155963302752295,8.264525993883794,1.1085626911314985,1.3837920489296638,1.4143730886850154,1.6819571865443428,5.374617737003059,0.2140672782874618,0.3888888888888889,0.11814345991561181,0.08176100628930817,0.3081761006289308,0.36,0.21081081081081082,0.2648648648648649,1.2154696132596685,6.79874213836478,3.8,0.14621464226289518,0.7951070336391438,9.724770642201836,66.11620795107035,8.868501529051988,11.07033639143731,11.314984709480123,13.455657492354742,42.996941896024474,1.7125382262996944,14.495412844036698,83.18042813455659,11.804281345565752,34.86238532110092,294.0672782874618,0.48929663608562696,2.9969418960244654,1.5290519877675843,0.5504587155963303,0.12232415902140674,2.3853211009174315,0.24464831804281348,2.9969418960244654,2.2018348623853212,2.140672782874618,0.06116207951070337,-0.9174311926605506
Forrtmanx2,461.64,130.4,23,9,14,14,9,0.2857142857142857,0.5555555555555556,5.0,55.0,337.0,50.0,115.0,236.0,252.0,1154.0,22.0,235.0,748.0,212.0,330.0,4430.0,3.0,18.0,6.0,3.0,0.0,79.0,11.0,98.0,65.0,16.0,0.0,-7.0,-0.05368098159509202,0.03834355828220859,0.4217791411042945,2.584355828220859,0.3834355828220859,0.8819018404907976,1.8098159509202454,1.9325153374233128,8.849693251533742,0.1687116564417178,0.391304347826087,0.09361702127659574,0.09090909090909091,0.32727272727272727,0.5,0.3347457627118644,0.4152542372881356,2.1913043478260867,6.127272727272727,4.889830508474576,0.26049661399548535,0.3067484662576687,3.374233128834356,20.67484662576687,3.067484662576687,7.0552147239263805,14.478527607361963,15.460122699386503,70.79754601226993,1.3496932515337423,14.417177914110429,45.88957055214724,13.006134969325153,20.245398773006134,271.77914110429447,0.18404907975460122,1.1042944785276072,0.36809815950920244,0.18404907975460122,0.0,4.846625766871165,0.6748466257668712,6.012269938650307,3.987730061349693,0.9815950920245399,0.0,-0.42944785276073616
