Player,Skill,Minutes,Games,Wins,Losses,Red Games,Blue Games,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Win %,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
metalhead,701.11,14363.400000000034,2091,966,1125,1087,1004,0.40846366145354185,0.5199203187250996,1276.0,19618.0,102753.0,18210.0,23887.0,15215.0,18586.0,98162.0,3440.0,26257.0,152254.0,24104.0,64356.0,548658.0,369.0,5949.0,2528.0,1132.0,124.0,4189.0,640.0,5338.0,5677.0,3371.0,132.0,-494.0,-0.03439297102357372,0.08883690491109326,1.3658326023086422,7.153807594302168,1.2678056727515739,1.6630463539273392,1.059289583246304,1.2939833187128365,6.834175752259198,0.23949761198601946,0.4619799139167862,0.13101268233233043,0.06504230808441228,0.30324192068508515,0.4477848101265823,0.275320407492606,0.35083798882681566,0.7780801272658768,5.237689876643898,6.4516595465001645,0.17891291113954413,0.7106952392887461,10.926660818469138,57.230460754417344,10.14244538201259,13.304370831418714,8.474316665970433,10.351866549702692,54.673406018073585,1.9159808958881557,14.624392553295147,84.8010916635335,13.425233579793053,35.84443794644714,305.5866995279662,0.2055223693554446,3.313421613267046,1.4080231700015282,0.6304913878329629,0.06906442764248003,2.3331523176963618,0.3564615620257034,2.973112215770632,3.1619254494061217,1.8775498837322595,0.07352019716780132,-0.27514376818858977
BallsToYou.,1097.22,13413.900000000003,1838,934,904,910,928,0.4758241758241758,0.5398706896551724,2333.0,23369.0,147716.0,20887.0,25402.0,12000.0,14874.0,43236.0,3308.0,24518.0,161560.0,10048.0,65346.0,445384.0,1260.0,6939.0,2645.0,940.0,191.0,2899.0,584.0,3813.0,4515.0,2874.0,149.0,-79.0,-0.005889413220614436,0.17392406384422124,1.7421480702853007,11.012159029066861,1.5571161258097939,1.8937072737980747,0.894594413257889,1.1088497752331534,3.223223670968174,0.24660985992142473,0.5081610446137106,0.13492128232319112,0.09983311224271471,0.29693183276990887,0.3553875236294896,0.24158333333333334,0.31775,0.5855444453192662,6.3210235782446835,3.603,0.09707578179728055,1.39139251075377,13.937184562282406,88.09727223253489,12.45692900647835,15.149658190384597,7.156755306063112,8.870798201865227,25.78578936774539,1.9728788793713978,14.622443882837947,96.3537822706297,5.992589776276846,38.972111019166675,265.62535876963443,0.7514593071366268,4.138393755730995,1.5774681487114108,0.5606124989749438,0.11391168862150453,1.7289528026897467,0.3482954248950714,2.274058998501554,2.6927291839062457,1.7140428958021152,0.08886304505028364,-0.04711530576491549
bubblez,986.68,12667.999999999987,1717,833,884,890,827,0.45955056179775283,0.5126964933494559,1583.0,16371.0,115935.0,14667.0,18017.0,12569.0,15591.0,92040.0,3280.0,23161.0,132321.0,11259.0,54002.0,421452.0,1006.0,4064.0,1525.0,606.0,133.0,4624.0,681.0,5340.0,3350.0,3022.0,121.0,-132.0,-0.010419955794126945,0.12496053047047692,1.2923113356488805,9.151799810546267,1.1577991790337872,1.4222450268392814,0.9921850331544058,1.2307388695926758,7.265550994632151,0.25892011367224527,0.48514851485148514,0.14161737403393637,0.09669537596970253,0.24824384582493433,0.39737704918032785,0.36788925133264383,0.4248548014957435,0.8653493922406617,7.0817298882169695,7.322778263982815,0.21838785911562883,0.9996842437638154,10.338490685191044,73.21439848437014,9.262393432270297,11.377960214714252,7.937480265235246,9.845910956741406,58.12440795705721,2.071360909377962,14.626460372592373,83.56236185664676,7.110198926428804,34.10293653299656,266.15219450584175,0.635301547205558,2.566466687717085,0.9630565203662782,0.382696558257026,0.08399115882538688,2.9201136722450296,0.4300599936848757,3.372276602462902,2.1155667824439552,1.908430691506159,0.07641300915693093,-0.08335964635301556
Toidi,1041.95,11583.800000000007,1574,740,834,706,868,0.45892351274787535,0.4792626728110599,655.0,9292.0,51436.0,8554.0,13192.0,18290.0,21046.0,142391.0,2773.0,21132.0,100663.0,12558.0,41742.0,360086.0,330.0,2933.0,1223.0,462.0,59.0,7486.0,804.0,8811.0,4638.0,2756.0,83.0,-239.0,-0.02063226229734628,0.05654448453875236,0.802154733334484,4.440339094252315,0.7384450698389126,1.1388318168476659,1.5789291942195125,1.8168476665688278,12.292252973980897,0.2393860391236035,0.4701397712833545,0.13122279008139315,0.07049074472664658,0.3156478691347396,0.3777596075224857,0.40929469655549483,0.4817386550027337,1.5953608247422681,5.535514421007318,7.785183160196829,0.395436090267325,0.4523558763100189,6.417237866675872,35.52271275401852,5.9075605587113005,9.110654534781327,12.6314335537561,14.534781332550622,98.33802379184718,1.915088312988828,14.59417462318064,69.51984668243577,8.672801671299569,28.82784578463024,248.68247034651827,0.2279044873012309,2.0255874583470006,0.8446278423315315,0.3190662822217233,0.04074655985082613,5.169978763445498,0.5552582054248171,6.0850498109428655,3.203093976070027,1.9033477787945223,0.057321431654552016,-0.16505809837877025
LogisticMap,1023.91,10895.799999999996,1467,709,758,678,789,0.4690265486725664,0.4955640050697085,1060.0,12203.0,76954.0,11074.0,14399.0,12629.0,14413.0,83889.0,1796.0,19889.0,116764.0,8327.0,47315.0,361170.0,589.0,3474.0,1415.0,540.0,79.0,3621.0,569.0,4552.0,3325.0,1784.0,69.0,-217.0,-0.019915930909157664,0.09728519245947984,1.1199728335688985,7.062721415591332,1.0163549257512072,1.321518383230236,1.159070467519595,1.322803281998569,7.699205198333305,0.16483415628040168,0.4832992501704158,0.09030117150183518,0.08686388592968942,0.2846840940752274,0.38162544169611307,0.2867210388787711,0.36044025655237943,1.0009722897423432,6.306154224371056,6.642568691107768,0.23227012210316472,0.7782815396758387,8.959782668551188,56.501771324730655,8.130839406009658,10.572147065841888,9.27256374015676,10.582426255988551,61.59364158666644,1.3186732502432135,14.603058059068637,85.73138273463172,6.113915453661046,34.739991556379536,265.1810789478516,0.4324602140274236,2.5507076121074186,1.0389324326804827,0.3964830485141065,0.05800400154187855,2.6586391086473697,0.4177756566750493,3.3422052534003943,2.44130765983223,1.309862515831789,0.050661722865691386,-0.1593274472732613
rc,864.29,10296.800000000005,1397,659,738,639,758,0.4507042253521127,0.4894459102902375,988.0,13273.0,84795.0,12213.0,15854.0,9773.0,12967.0,63730.0,3166.0,19014.0,107823.0,9535.0,44078.0,343624.0,722.0,3962.0,1613.0,587.0,100.0,2888.0,514.0,3602.0,3641.0,3194.0,72.0,-473.0,-0.045936601662652454,0.09595214047082584,1.2890412555356998,8.23508274415352,1.186096651386838,1.5397016548830698,0.9491298267422884,1.2593232849040472,6.189301530572602,0.30747416673141154,0.47172512526843235,0.1665088881876512,0.07443682664054849,0.29850071573871767,0.36391816491010537,0.2955080323339814,0.3685664586104574,0.8179008452125647,6.388533112333308,6.521027320167809,0.1854643447489116,0.7676171237666067,10.312330044285599,65.88066195322816,9.488773211094705,12.317613239064558,7.593038613938307,10.074586279232378,49.51441224458082,2.4597933338512923,14.772744930463826,83.77204568409599,7.408126796674692,34.245979333385115,266.975370989045,0.5609509750602126,3.0782378991531334,1.253204879185766,0.45606401988967427,0.07769404086706547,2.2438039002408505,0.39934737005671644,2.798539352031698,2.8288400279698536,2.481547665294071,0.05593970942428713,-0.36749281330121963
xcv,1020.02,10030.799999999996,1352,636,716,612,740,0.4493464052287582,0.48783783783783785,1126.0,11950.0,85400.0,10742.0,13425.0,10477.0,13161.0,69308.0,3085.0,18412.0,100004.0,9476.0,40939.0,333240.0,709.0,2712.0,1161.0,430.0,96.0,3297.0,492.0,4023.0,2683.0,2684.0,82.0,-302.0,-0.030107269609602437,0.1122542568887826,1.1913307014395667,8.513777565099497,1.070901623001157,1.3383777963871282,1.0444829923834593,1.3120588587151578,6.909518682458033,0.3075527375682898,0.47041420118343197,0.16755376928090376,0.09422594142259415,0.22694560669456068,0.37037037037037035,0.31468931946167794,0.38398396487544145,0.9803351955307262,7.146443514644352,6.615252457764627,0.20798223502580723,0.8980340551102608,9.530645611516533,68.11022052079598,8.567212984009256,10.707022371097025,8.355863939067675,10.496470869721263,55.27614945966426,2.4604219005463186,14.684372133827816,79.75754675599158,7.557522829684575,32.65063604099375,265.7734178729514,0.5654583881644537,2.1629381504964718,0.9259480799138657,0.34294373330143174,0.07656418231845918,2.6295011364995826,0.3923914343821033,3.20851776528293,2.139809387087771,2.140606930653588,0.06539857239701721,-0.2408581568768195
Russ,1094.41,8759.800000000001,1210,584,626,619,591,0.4717285945072698,0.494077834179357,747.0,8350.0,57883.0,7528.0,10411.0,12969.0,15719.0,88154.0,2989.0,16073.0,82220.0,12342.0,34521.0,278110.0,528.0,2175.0,906.0,326.0,64.0,4483.0,546.0,5405.0,2883.0,2750.0,75.0,-101.0,-0.011529943606018401,0.08527591954154204,0.9532181100025113,6.607799264823397,0.8593803511495696,1.188497454279778,1.4805132537272538,1.7944473618119132,10.063471768761843,0.34121783602365346,0.4826446280991736,0.1859640390717352,0.08946107784431137,0.26047904191616766,0.3598233995584989,0.34567044490708615,0.4167630503508366,1.5098453558735951,6.932095808383234,6.797285835453774,0.3169752975441372,0.6822073563323363,7.625744880020091,52.862394118587176,6.8750428091965565,9.507979634238223,11.84410602981803,14.355578894495306,80.50777415009475,2.7297426881892277,14.678873946893763,75.08847233955112,11.271490216671612,31.52674718600881,253.98753396196258,0.4822027900180369,1.9863467202447542,0.8274161510536769,0.29772369232174245,0.05844882303248932,4.0941574008539,0.4986415214959245,4.936185757665699,2.6329368250416674,2.5114728646772755,0.06849471449119843,-0.09223954884814721
Chritt,880.31,8172.699999999983,1158,559,599,581,577,0.4629948364888124,0.5025996533795494,860.0,10171.0,58696.0,9261.0,12414.0,10730.0,12277.0,60926.0,1194.0,14914.0,94573.0,10965.0,39207.0,270063.0,351.0,3003.0,1140.0,403.0,83.0,3163.0,532.0,3939.0,3153.0,1547.0,50.0,-68.0,-0.00832038371651965,0.10522838229716026,1.2445091585400199,7.181959450365255,1.1331628470395363,1.5189594626011018,1.312907607033174,1.502196336583996,7.454819092833473,0.14609614937535972,0.48272884283246975,0.08005900496178088,0.08455412447153672,0.29525120440467995,0.35350877192982455,0.2947809878844362,0.36710158434296364,0.9889640728210085,5.770917313931767,5.678098788443616,0.22559921203571018,0.8418270583772821,9.956073268320159,57.45567560292204,9.06530277631629,12.151675700808815,10.503260856265392,12.017570692671969,59.638552742667784,1.1687691950028778,14.598847382138123,92.57454696734268,10.733294994310347,38.37850404395128,264.35621030993485,0.34358290405863495,2.9395426236127653,1.1159102866861648,0.39448407503028454,0.08124609982013305,3.096161611217841,0.5207581337868769,3.855763701102459,3.086372924492524,1.5143098364065761,0.04894343362658617,-0.0665630697321572
Light,1063.52,8142.0999999999985,1105,584,521,547,558,0.5338208409506399,0.5232974910394266,1105.0,11526.0,77491.0,10315.0,12884.0,8138.0,10195.0,34094.0,1849.0,14857.0,97243.0,11682.0,40443.0,272114.0,724.0,3213.0,1325.0,508.0,89.0,2118.0,391.0,2570.0,2569.0,2057.0,106.0,225.0,0.027634148438363572,0.1357143734417411,1.415605310669238,9.517323540609919,1.26687218285209,1.58239274879945,0.9994964444062344,1.2521339703516294,4.187371808255856,0.22709129094459665,0.5285067873303168,0.12445311974153597,0.09587020648967552,0.27876106194690264,0.38339622641509435,0.26026050626689606,0.31580240845416563,0.7912915243713132,6.7231476661461045,4.1894814450724995,0.12529307569621556,1.0857149875339287,11.324842485353903,76.13858832487935,10.13497746281672,12.6591419903956,7.995971555249875,10.017071762813035,33.498974466046846,1.8167303275567732,14.597708207956181,95.54586654548582,11.478119895358693,39.737168543741795,267.3649304233552,0.7113643900222303,3.1569251175986546,1.3018754375406838,0.49913413001559803,0.08744672750273273,2.0810356050650327,0.3841760725120056,2.525147075078911,2.5241645275788804,2.0211002075631597,0.1041500350032547,0.22107318750690858
tha king,1118,7931.599999999996,1070,540,530,538,532,0.4758364312267658,0.5338345864661654,862.0,8836.0,62877.0,7918.0,10458.0,10611.0,12562.0,64711.0,1988.0,14552.0,81680.0,7208.0,33360.0,253247.0,581.0,2367.0,881.0,295.0,80.0,3306.0,505.0,4177.0,2540.0,1951.0,56.0,2.0,0.000252155933229109,0.10867920722174598,1.1140249130062037,7.927404306823344,0.9982853396540425,1.3185233748550111,1.3378133037470379,1.5837914166120337,8.158631297594436,0.25064299762973435,0.5046728971962616,0.1366135239142386,0.09755545495699411,0.26788139429606156,0.3348467650397276,0.3115634718688154,0.3936481010272359,1.2011856951615987,7.116002716161159,6.0984827066252,0.2555252382061782,0.8694336577739679,8.91219930404963,63.41923445458675,7.98628271723234,10.54818699884009,10.702506429976303,12.67033133289627,65.26905038075549,2.005143981037875,14.677492561399978,82.3843865046145,7.270159866861671,33.64768773009231,255.43093448988867,0.5860103888244493,2.387412375813204,0.8885975086993801,0.29754400121034863,0.08068989863331488,3.3345100610217377,0.5093549851228002,4.213021332391953,2.5619042816077475,1.9678249029199668,0.05648292904332042,0.002017247465832872
CRYCHIC,1059.03,7657.599999999992,1051,525,526,511,540,0.4931506849315068,0.5055555555555555,969.0,10935.0,74045.0,9879.0,11973.0,7722.0,9882.0,50212.0,1878.0,14054.0,84725.0,4961.0,34146.0,253084.0,673.0,3175.0,1254.0,452.0,97.0,2416.0,394.0,2866.0,2094.0,2160.0,87.0,-57.0,-0.007443585457584629,0.1265409527789387,1.4279931048892618,9.669478687839542,1.290090890096115,1.5635447137484346,1.008409945674886,1.2904826577517774,6.557145842039288,0.24524655244463042,0.4995242626070409,0.13362743702860397,0.08861454046639232,0.2903520804755373,0.36044657097288674,0.3128723128723129,0.3711473711473712,0.8253570533700827,6.771376314586191,6.502460502460503,0.19840053104897978,1.0123276222315096,11.423944839114094,77.35582950271633,10.32072712076892,12.508357709987477,8.067279565399089,10.32386126201422,52.457166736314306,1.9619724195570434,14.682407020476404,88.51337233598004,5.182824905975768,35.672795653990846,264.40033430839975,0.7030923526953622,3.316966151274554,1.3100710405348948,0.47221061429168454,0.10133723359799425,2.52402841621396,0.4116172168825746,2.9941496030087786,2.187630589218556,2.2565816966151298,0.09089009611366494,-0.05954868366067703
eee,1243.75,7508.299999999997,1024,519,505,537,487,0.5065176908752328,0.5071868583162218,1028.0,10586.0,79025.0,9480.0,11360.0,8196.0,10333.0,34482.0,1956.0,13819.0,86968.0,6459.0,35369.0,239089.0,781.0,2632.0,1021.0,338.0,117.0,2174.0,425.0,2746.0,1880.0,2137.0,78.0,90.0,0.011986734680287154,0.1369151472370577,1.4099063702835533,10.525018978996581,1.2626027196569134,1.5129922885340228,1.0915919715514835,1.3762103272378572,4.592517613840685,0.26051170038490745,0.5068359375,0.14154425066936827,0.09710938976006046,0.24863026638957114,0.33104799216454456,0.2652513421181064,0.33504148365056124,0.9095950704225352,7.465048176837333,4.207174231332357,0.14422244436172305,1.0953211778964616,11.279250962268426,84.20015183197265,10.100821757255307,12.103938308272182,8.732735772411868,11.009682617902858,36.74014091072548,2.0840936030792596,14.723972137501171,92.66331926001894,6.881983937775531,37.68522834729567,254.74634737557113,0.8321457586937125,2.8043631714236255,1.0878627652065052,0.3601347841721829,0.12466204067498639,2.3163698839950464,0.4528321990330702,2.925828749517202,2.003116551016875,2.2769468454909907,0.08310802711665759,0.09589387744229723
ez,974.33,7507.19999999999,1025,514,511,459,566,0.4749455337690632,0.5229681978798587,831.0,9033.0,62799.0,8144.0,10182.0,6906.0,8702.0,40043.0,2074.0,13697.0,79219.0,6507.0,32269.0,246372.0,500.0,2231.0,947.0,341.0,77.0,2088.0,390.0,2484.0,2038.0,1796.0,58.0,22.0,0.0029305200341006006,0.11069373401534542,1.2032448849104875,8.365169437340164,1.0848252344416043,1.3562979539641962,0.9199168797953977,1.159153878942883,5.33394607843138,0.2762681159420294,0.5014634146341463,0.1514200189822589,0.09199601461308535,0.2469832835159969,0.3600844772967265,0.3023457862728063,0.35968722849695917,0.8546454527597721,6.952175357024244,5.798291340863018,0.16253064471612033,0.8855498721227634,9.6259590792839,66.92135549872131,8.678601875532834,10.85038363171357,7.359335038363182,9.273231031543064,42.67156862745104,2.210144927536235,14.59612105711852,84.41922421142381,6.934143222506403,34.38725490196083,262.54475703324846,0.5328218243819274,2.37745098039216,1.0091645353793706,0.36338448422847447,0.08205456095481682,2.225063938618929,0.41560102301790336,2.6470588235294152,2.171781756180736,1.9138959931798833,0.061807331628303576,0.023444160272804805
meowza,1240.01,7211.799999999994,986,514,472,491,495,0.5295315682281059,0.5131313131313131,897.0,8796.0,66804.0,7852.0,9856.0,9948.0,12334.0,65395.0,2138.0,13151.0,74961.0,6336.0,30551.0,226719.0,800.0,2491.0,936.0,328.0,89.0,3574.0,478.0,4240.0,2004.0,2386.0,47.0,272.0,0.03771596550098453,0.12437948917052619,1.2196677667156615,9.263152056352098,1.0887711805651858,1.366649102859204,1.3794059735433606,1.710252641504203,9.067777808591483,0.2964585817687681,0.5212981744421906,0.16257318835069576,0.10197817189631651,0.2831969076853115,0.3504273504273504,0.3592681946119823,0.426216324889425,1.2514204545454546,7.5948158253751705,6.573683152392441,0.2884407570605022,0.9950359133642095,9.757342133725292,74.10521645081678,8.710169444521487,10.933192822873632,11.035247788346885,13.682021132033624,72.54222246873186,2.371668654150145,14.588313597160223,83.15372029174415,7.028481100418764,33.89001358884054,251.49782301228564,0.8874344823761066,2.7632491194986017,1.0382983443800446,0.3638481377742037,0.09872708616434185,3.9646135500152564,0.5302421032197236,4.7034027565933645,2.223023378352147,2.646773343686738,0.052136775839596264,0.30172772400787623
PuyoPuyo,657.41,7191.599999999989,1039,501,538,510,529,0.4588235294117647,0.504725897920605,686.0,9931.0,78059.0,9162.0,11694.0,7102.0,7945.0,33332.0,785.0,13166.0,67160.0,6956.0,27694.0,280582.0,685.0,2094.0,947.0,408.0,66.0,1669.0,279.0,2043.0,2532.0,843.0,83.0,-121.0,-0.016825184937983226,0.0953890650203016,1.380916624951334,10.854191000611841,1.2739863173702672,1.6260637410312055,0.9875410200789825,1.1047611101841053,4.634851771511214,0.10915512542410606,0.4821944177093359,0.059623272064408324,0.06907662873829423,0.21085489880173194,0.43083421330517424,0.23500422416220784,0.28766544635313995,0.6794082435436977,7.860134931024066,4.69332582371163,0.11879593131419693,0.7631125201624128,11.047332999610672,86.83352800489473,10.191890538962138,13.008509928249644,7.90032816063186,8.838088881472842,37.078814172089714,0.8732410033928485,14.645975860726425,74.70938316925313,7.737916458090005,30.807052672562477,312.121920017799,0.7620001112408933,2.3293842816619423,1.053451248679016,0.4538628399799773,0.07341898882029045,1.8566104900161327,0.3103620891039551,2.2726514266644453,2.8166193892875064,0.9377607208409825,0.09232994048612284,-0.1346014795038658
Enervate,1113.83,7046.200000000003,966,502,464,483,483,0.5113871635610766,0.5279503105590062,1056.0,10864.0,71026.0,9721.0,11923.0,8713.0,10086.0,29416.0,1421.0,12820.0,85396.0,5738.0,34624.0,223139.0,630.0,3016.0,1194.0,436.0,91.0,2032.0,434.0,2749.0,2202.0,1373.0,87.0,109.0,0.015469330986914928,0.14986801396497398,1.5418239618517777,10.080043143822198,1.3796088671908258,1.6921177372200613,1.2365530356788053,1.4314098379268252,4.174732479918252,0.2016689847009735,0.5196687370600414,0.11084243369734789,0.09720176730486009,0.2776141384388807,0.36515912897822445,0.23321473660048203,0.3155055663950419,0.8459280382454081,6.537739322533137,3.376104671180994,0.1318281429960697,1.1989441117197919,12.334591694814222,80.64034515057759,11.036870937526606,13.53694189776049,9.892424285430442,11.451278703414602,33.39785983934602,1.613351877607788,14.555363174477018,96.95552212540089,6.514717152507732,39.31083420850954,253.3439300615934,0.7152791575601031,3.4242570463512236,1.355624308137719,0.4950185915812777,0.10331810053645933,2.307059124066872,0.49274786409695986,3.121114927194799,2.500070960233884,1.558854417984161,0.09877664556782376,0.12375464789531943
knight_,936.51,6905.399999999998,926,462,464,447,479,0.4742729306487696,0.5219206680584552,712.0,8146.0,55437.0,7373.0,9635.0,6658.0,8103.0,33717.0,1381.0,12675.0,75690.0,5493.0,30724.0,231920.0,438.0,2068.0,784.0,284.0,78.0,1658.0,284.0,2033.0,2262.0,1445.0,61.0,6.0,0.0008688852202624036,0.1031077128044719,1.17965650070959,8.028064992614478,1.067715121499117,1.3952848495380432,0.9641729660845139,1.173429489964376,4.882700495264577,0.1999884148637299,0.49892008639308855,0.10895463510848126,0.08740486128161061,0.2538669285538915,0.3622448979591837,0.24902373085010512,0.30534695103634724,0.8409963674104827,6.805425975939111,5.064133373385401,0.14538202828561572,0.8248617024357752,9.43725200567672,64.22451994091583,8.541720971992936,11.162278796304346,7.713383728676111,9.387435919715008,39.061603962116614,1.5999073189098392,14.68416022243462,87.68789642888177,6.363715353201844,35.59417267645612,268.6824803776755,0.5074289686332437,2.395806180670201,0.9082746835809659,0.32901787007269684,0.09036406290728997,1.9208155935934204,0.32901787007269684,2.355258203724622,2.620557824311409,1.6740521910388977,0.07066933124800882,0.006951081762099229
Crippy,1191.17,6893.999999999999,947,495,452,448,499,0.5178571428571429,0.5270541082164328,1063.0,10977.0,70900.0,9847.0,11747.0,7733.0,9608.0,33074.0,1883.0,12639.0,83977.0,5273.0,33997.0,221425.0,606.0,3079.0,1185.0,419.0,134.0,2138.0,383.0,2629.0,1900.0,1875.0,67.0,13.0,0.0018856977081520164,0.1541920510588918,1.5922541340295913,10.284305192921382,1.4283434870902236,1.7039454598201336,1.1217000290107342,1.393675659994198,4.797505076878446,0.2731360603423267,0.5227032734952481,0.14898330564126908,0.09683884485742918,0.28049558167076616,0.35358649789029534,0.2764774343721712,0.3399715504978663,0.8179109559887631,6.4589596428896785,4.2769946980473295,0.14936886078807723,1.2335364084711344,12.73803307223673,82.27444154337105,11.426747896721789,13.631563678561069,8.973600232085873,11.149405279953584,38.38004061502757,2.1850884827386134,14.666666666666668,97.44937626921963,6.118944009283435,39.45111691325791,256.9480707861909,0.7032201914708444,3.5729619959384977,1.3751087902523935,0.48621990136350457,0.15549753408761244,2.480997969248622,0.44444444444444453,3.050768784450247,2.204815781839281,2.1758050478677116,0.07774876704380622,0.015085581665216131
KING KRULE,1094.21,6722.800000000003,919,472,447,457,462,0.5426695842450766,0.48484848484848486,1042.0,9416.0,62008.0,8308.0,10167.0,7506.0,9700.0,38761.0,2062.0,12278.0,74988.0,7691.0,30905.0,214700.0,499.0,2572.0,908.0,329.0,92.0,2654.0,390.0,3152.0,1859.0,2194.0,66.0,155.0,0.02305586957815195,0.15499494258344731,1.4006068899863147,9.223537811626104,1.2357946093889445,1.5123162967811024,1.1164990777652164,1.4428511929553156,5.765603617540308,0.3067174391622537,0.5136017410228509,0.16794266167128197,0.11066270178419711,0.2731520815632965,0.3623348017621145,0.35358379962696507,0.41993072208899546,0.9540670797678764,6.585386576040782,5.164002131628031,0.1805356311131812,1.2399595406675785,11.204855119890517,73.78830249300883,9.886356875111556,12.098530374248819,8.931992622121731,11.542809543642525,46.124828940322466,2.4537395132980295,14.610578925447724,89.23424763491398,9.152138989706666,36.77634319033734,255.48878443505671,0.5938002022966619,3.0606294996132553,1.0805021717141663,0.3915035401915867,0.10947819360980539,3.158207889569821,0.46409234247634895,3.7508181115011587,2.2121734991372635,2.6108169215207937,0.07853870411138213,0.1844469566252156
Ceremony,1057.51,6697.4,923,454,469,463,460,0.4838012958963283,0.5,1217.0,11175.0,74449.0,9915.0,11411.0,5062.0,6257.0,25001.0,1480.0,12236.0,77824.0,4425.0,31397.0,223844.0,509.0,2708.0,983.0,379.0,130.0,1508.0,258.0,1896.0,1496.0,1195.0,43.0,-121.0,-0.018066712455579777,0.18171230626810406,1.6685579478603638,11.116104757069909,1.4804252396452355,1.7037955027324037,0.7558156896706185,0.9342431391286171,3.73294114133843,0.22098127631618242,0.49187432286023836,0.12095456031382805,0.10890380313199105,0.24232662192393736,0.38555442522889116,0.29790596602133546,0.37455551165547213,0.5483305582332837,6.662102908277405,4.938956934018175,0.11168939082575365,1.4536984501448325,13.34846358288291,88.92883805655927,11.843401917161884,13.63036402185923,6.046525517364948,7.473945113028937,29.86352913070744,1.7678502105294593,14.615821064890854,92.96025323259774,5.285633230805985,37.50350882431989,267.38017738226773,0.6079971332158749,3.2346880879147135,1.174186997939499,0.45271299310180074,0.15528414011407413,1.80129602532326,0.3081792934571625,2.2647594588944964,1.7869621046973454,1.427419595663989,0.05136321557619375,-0.14453369964463822
Helen Keller,,6670.999999999997,908,454,454,459,449,0.5098039215686274,0.48997772828507796,882.0,8584.0,59425.0,7641.0,9922.0,9072.0,11337.0,36835.0,1903.0,12174.0,67089.0,8223.0,27846.0,214719.0,549.0,2235.0,831.0,284.0,90.0,2419.0,434.0,3029.0,2281.0,2265.0,61.0,-81.0,-0.012142107630040479,0.13221406086044077,1.286763603657623,8.90795982611303,1.1454054864338186,1.4873332333982918,1.3599160545645337,1.6994453605156654,5.521660920401741,0.28526457802428434,0.5,0.15631674059471004,0.1027493010251631,0.2603681267474371,0.3417569193742479,0.2666446208112875,0.33388447971781304,1.1426123765369884,6.9227632805219015,4.0602954144620815,0.1715497929852505,1.0577124868835261,10.294108829260985,71.26367860890424,9.163243891470549,11.898665867186335,10.87932843651627,13.595562884125323,44.17328736321393,2.2821166241942747,14.599310448208671,80.45450457202821,9.861190226352875,33.39349422875132,257.4954279718184,0.6583720581621948,2.6802578324089352,0.9965522410433223,0.34057862389446875,0.10792984560035981,2.9009144056363376,0.5204616998950684,3.632438914705443,2.735421975715786,2.716234447609055,0.07315245090691054,-0.09713686104032383
Junoon,,6487.299999999999,903,514,389,447,456,0.5570469798657718,0.581140350877193,1019.0,9483.0,64791.0,8395.0,10404.0,8909.0,11297.0,41388.0,1984.0,11807.0,71301.0,7096.0,29344.0,205778.0,553.0,2433.0,990.0,317.0,107.0,3031.0,455.0,3657.0,2009.0,2388.0,69.0,458.0,0.07059947898201101,0.15707613336827342,1.4617791685292805,9.987359918610208,1.2940668691134989,1.6037488631634118,1.3732985988007338,1.741402432444931,6.379849860496663,0.3058283106993665,0.5692137320044297,0.16803591090031336,0.10745544658863229,0.2565643783612781,0.3202020202020202,0.34021775732405435,0.4104837804467393,1.0858323721645522,6.832331540651692,4.645639241216747,0.20112937243048334,1.2566090669461873,11.694233348234244,79.89887934888166,10.352534952907991,12.829990905307294,10.98638879040587,13.931219459559449,51.03879888397331,2.446626485594932,14.56014058236863,87.92687250474005,8.750635857752842,36.18639495629923,253.76104080279936,0.6819478057127003,3.0003237094014463,1.2208468854531163,0.39091763907943217,0.13195011792271055,3.7377645553620154,0.5610962958395636,4.509734404143481,2.4774559523993034,2.9448306691535775,0.08508932838006568,0.5647958318560881
