Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Trapsin,Red,7.7,5,2,8,16,6,9,6,7,60,3,14,76,0,30,242,0.78,21.43,25.0,3,1,0,2.0,10.0,0.25,0,5,1,1,0,1,1,1,62.5,100.0,16.67,16.67
Kei Yonagi,Blue,7.7,-5,0,13,86,13,14,4,4,18,0,14,123,0,48,215,0.29,0.0,0.0,1,0,0,6.62,4.5,0.08,1,3,2,1,0,1,0,1,23.08,50.0,25.0,25.0
Ritual,Red,7.7,5,0,9,59,9,10,16,16,36,3,14,66,0,26,242,1.6,21.43,0.0,1,0,0,6.56,2.25,0.15,0,2,1,0,0,5,1,6,22.22,0.0,31.25,37.5
omni,Blue,7.7,-5,1,7,40,6,9,7,10,53,1,14,68,0,26,215,1.11,7.14,14.29,3,3,0,5.71,7.57,0.25,0,2,1,0,0,1,0,2,28.57,0.0,14.29,28.57
bubblez,Red,7.7,5,1,8,54,7,9,6,7,76,3,14,40,0,16,242,0.78,21.43,12.5,2,1,0,6.75,12.67,0.31,0,1,0,0,0,1,0,1,12.5,0.0,16.67,16.67
Ty,Red,7.7,5,4,7,86,3,4,8,13,47,2,14,30,0,12,242,3.25,14.29,57.14,1,5,0,12.29,5.88,0.19,1,1,0,0,1,3,0,2,14.29,0.0,37.5,25.0
OuchMyBalls,Blue,7.7,-5,1,15,74,14,15,6,9,32,2,14,86,0,34,215,0.6,14.29,6.67,1,3,0,4.93,5.33,0.15,1,5,2,0,0,2,0,2,33.33,0.0,33.33,33.33
deku,Blue,7.7,-5,0,3,42,3,7,7,7,122,0,14,35,0,14,215,1.0,0.0,0.0,4,0,0,14.0,17.43,0.57,1,0,0,0,0,5,0,5,0.0,0.0,71.43,71.43
