Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Rabz,Red,8.0,-2,0,14,114,14,14,4,4,16,1,14,100,15,43,317,0.29,7.14,0.0,0,0,0,8.14,4.0,0.05,2,4,0,0,0,1,0,1,28.57,0.0,25.0,25.0
MacbookProM4,Red,8.0,-2,2,8,56,6,8,8,10,28,3,14,60,30,30,317,1.25,21.43,25.0,2,2,0,7.0,3.5,0.09,0,1,0,0,1,2,0,2,12.5,0.0,25.0,25.0
MDK,Red,8.0,-2,0,8,53,7,7,9,11,35,4,14,60,30,30,317,1.57,28.57,0.0,0,2,1,6.62,3.89,0.11,0,1,0,0,0,2,1,1,12.5,0.0,22.22,11.11
AVP,Red,8.0,-2,0,13,95,13,14,5,7,19,1,14,72,15,31,317,0.5,7.14,0.0,1,2,0,7.31,3.8,0.06,1,3,2,1,0,1,0,1,23.08,50.0,20.0,20.0
kojiro,Blue,8.0,2,1,11,81,9,11,7,7,19,1,14,60,15,27,318,0.64,7.14,9.09,2,0,1,7.36,2.71,0.06,1,2,0,0,0,0,0,1,18.18,0.0,0.0,14.29
TERROR NUGS,Blue,8.0,2,1,6,86,5,6,14,14,93,2,14,56,5,23,318,2.33,14.29,16.67,1,0,0,14.33,6.64,0.29,1,1,0,0,0,7,1,7,16.67,0.0,50.0,50.0
Mystic,Blue,8.0,2,1,6,68,5,9,8,8,56,0,14,50,15,23,318,0.89,0.0,16.67,4,0,0,11.33,7.0,0.18,1,0,1,0,0,2,2,3,0.0,0.0,25.0,37.5
Bow Down,Blue,8.0,2,1,9,82,8,14,9,9,26,2,14,60,10,26,318,0.64,14.29,11.11,6,0,0,9.11,2.89,0.08,1,3,2,0,0,0,0,0,33.33,0.0,0.0,0.0
