Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
eee,Blue,8.2,1,0,8,67,8,10,5,7,43,1,16,80,15,35,255,0.7,6.25,0.0,2,2,0,8.38,8.6,0.17,1,4,1,1,0,2,1,2,50.0,100.0,40.0,40.0
BALLDON'TLIE,Red,8.2,-1,1,11,138,10,13,5,6,14,2,16,89,15,37,267,0.46,12.5,9.09,3,1,0,12.55,2.8,0.05,2,4,0,0,0,2,0,1,36.36,0.0,40.0,20.0
karma,Red,8.2,-1,0,9,74,9,13,4,7,52,3,16,91,10,38,267,0.54,18.75,0.0,4,3,0,8.22,13.0,0.19,1,3,1,0,0,2,0,2,33.33,0.0,50.0,50.0
realtea,Red,8.2,-1,0,4,21,4,10,8,11,112,3,16,65,0,26,267,1.1,18.75,0.0,6,3,0,5.25,14.0,0.42,0,2,2,0,0,5,0,5,50.0,0.0,62.5,62.5
dodsfall,Blue,8.2,1,0,3,3,3,9,9,11,95,2,16,56,20,26,255,1.22,12.5,0.0,6,2,0,1.0,10.56,0.37,0,3,0,0,0,4,0,5,100.0,0.0,44.44,55.56
Anti_Social,Red,8.2,-1,0,5,22,5,8,11,14,130,1,16,75,30,36,267,1.75,6.25,0.0,3,3,0,4.4,11.82,0.49,0,2,1,1,0,5,1,6,40.0,100.0,45.45,54.55
OuchMyBalls,Blue,8.2,1,0,8,62,8,14,6,11,55,1,16,85,5,35,255,0.79,6.25,0.0,6,5,0,7.75,9.17,0.22,1,2,1,0,0,2,1,4,25.0,0.0,33.33,66.67
Crippy,Blue,8.2,1,2,11,135,9,10,7,11,35,3,16,63,5,25,255,1.1,18.75,18.18,1,4,0,12.27,5.0,0.14,3,5,0,0,1,3,0,3,45.45,0.0,42.86,42.86
