Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
AJ.,Blue,8.0,3,3,15,115,11,12,13,13,34,3,14,78,5,31,259,1.08,21.43,20.0,1,0,1,7.67,2.62,0.13,1,6,2,0,0,4,0,6,40.0,0.0,30.77,46.15
kmichael,Red,8.0,-3,0,10,81,10,14,9,15,28,3,14,87,0,34,307,1.07,21.43,0.0,4,6,0,8.1,3.11,0.09,1,1,2,1,0,1,0,2,10.0,50.0,11.11,22.22
Glimmer,Red,8.0,-3,1,11,67,10,11,4,4,10,1,14,84,0,32,307,0.36,7.14,9.09,1,0,0,6.09,2.5,0.03,0,3,2,1,0,1,0,1,27.27,50.0,25.0,25.0
xcv,Blue,8.0,3,1,10,87,9,10,9,13,51,2,14,71,0,28,259,1.3,14.29,10.0,1,4,0,8.7,5.67,0.2,2,2,0,0,0,2,1,2,20.0,0.0,22.22,22.22
josh61616,Red,8.0,-3,0,11,93,11,12,11,11,41,1,14,70,0,28,307,0.92,7.14,0.0,1,0,0,8.45,3.73,0.13,2,4,2,0,0,5,0,5,36.36,0.0,45.45,45.45
Better Mamba,Red,8.0,-3,0,7,18,7,12,10,11,67,1,14,45,0,18,307,0.92,7.14,0.0,5,1,0,2.57,6.7,0.22,0,4,0,0,0,4,0,4,57.14,0.0,40.0,40.0
Ann with a E,Blue,7.9,3,0,7,56,7,14,5,6,72,2,14,77,0,30,259,0.43,14.29,0.0,7,1,0,8.0,14.4,0.28,1,2,1,0,0,3,0,3,28.57,0.0,60.0,60.0
MDK,Blue,8.0,3,0,7,49,7,8,10,10,58,1,14,67,10,28,259,1.25,7.14,0.0,1,0,0,7.0,5.8,0.22,1,1,0,0,0,3,2,4,14.29,0.0,30.0,40.0
