Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
kyri swirvin,Blue,8.0,2,0,9,77,9,9,14,14,5,0,21,60,0,24,379,1.56,0.0,0.0,0,0,0,8.56,0.36,0.01,1,2,0,0,0,0,2,1,22.22,0.0,0.0,7.14
Jarek,Blue,8.0,2,2,10,118,8,8,5,7,25,5,21,83,0,32,379,0.88,23.81,20.0,0,2,0,11.8,5.0,0.07,3,2,1,1,0,1,0,1,20.0,100.0,20.0,20.0
spills,Red,8.0,-2,0,13,118,13,16,2,2,1,0,21,97,0,38,371,0.12,0.0,0.0,3,0,0,9.08,0.5,0.0,2,3,1,1,0,1,0,1,23.08,100.0,50.0,50.0
pontoon boat,Red,8.0,-2,0,11,115,11,13,10,10,27,2,21,71,0,28,371,0.77,9.52,0.0,2,0,0,10.45,2.7,0.07,1,0,0,0,0,3,1,4,0.0,0.0,30.0,40.0
xcv,Red,8.0,-2,1,8,75,6,10,6,6,23,2,21,72,0,28,371,0.6,9.52,12.5,4,0,1,9.38,3.83,0.06,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
tbiol,Blue,8.0,2,0,5,76,5,6,8,10,21,4,21,67,0,26,379,1.67,19.05,0.0,1,2,0,15.2,2.62,0.06,1,1,1,1,0,0,0,0,20.0,100.0,0.0,0.0
MoGGee,Red,8.0,-2,0,8,71,8,10,12,12,26,3,21,73,0,28,371,1.2,14.29,0.0,2,0,0,8.88,2.17,0.07,0,1,0,0,0,2,0,3,12.5,0.0,16.67,25.0
AJ.,Blue,8.0,2,1,9,100,8,9,11,17,29,5,21,68,0,26,379,1.89,23.81,11.11,1,6,0,11.11,2.64,0.08,2,1,2,2,0,3,1,4,11.11,100.0,27.27,36.36
