Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
d0pe,Red,8.1,-1,2,12,112,10,10,2,3,59,4,15,130,10,54,290,0.3,26.67,16.67,0,1,0,9.33,29.5,0.2,1,1,0,0,0,1,0,1,8.33,0.0,50.0,50.0
Vader,Blue,8.1,1,2,9,77,7,11,12,13,44,1,15,74,10,30,322,1.18,6.67,22.22,4,1,0,8.56,3.67,0.14,1,1,0,0,0,3,0,4,11.11,0.0,25.0,33.33
NameLEss,Red,8.1,-1,0,9,36,9,13,16,16,86,2,15,109,0,42,290,1.23,13.33,0.0,4,0,0,4.0,5.38,0.3,0,3,2,1,0,6,1,8,33.33,50.0,37.5,50.0
Crippy,Blue,8.1,1,1,14,76,12,14,10,16,10,2,15,81,10,34,322,1.14,13.33,7.14,2,6,1,5.43,1.0,0.03,0,4,3,0,0,0,0,1,28.57,0.0,0.0,10.0
Kei Yonagi,Red,8.1,-1,1,13,80,12,13,7,12,16,3,15,102,15,43,290,0.92,20.0,7.69,1,5,0,6.15,2.29,0.06,1,4,2,0,0,1,0,2,30.77,0.0,14.29,28.57
Suchit,Blue,8.1,1,0,7,37,7,13,13,13,37,0,15,88,0,34,322,1.0,0.0,0.0,6,0,0,5.29,2.85,0.11,0,3,0,0,0,3,2,6,42.86,0.0,23.08,46.15
OuchMyBalls,Blue,8.1,1,2,13,100,11,15,9,9,32,1,15,92,0,36,322,0.6,6.67,15.38,4,0,0,7.69,3.56,0.1,1,2,1,0,0,4,0,3,15.38,0.0,44.44,33.33
Junoon,Red,8.1,-1,1,14,94,13,16,12,21,37,2,15,109,5,43,290,1.31,13.33,7.14,3,9,0,6.71,3.08,0.13,0,2,2,1,0,2,0,5,14.29,50.0,16.67,41.67
