Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
icancountto3,Blue,6.6,1,0,8,38,8,11,10,10,38,2,12,75,0,30,266,0.91,16.67,0.0,3,0,0,4.75,3.8,0.14,0,4,1,1,0,3,1,3,50.0,100.0,30.0,30.0
beez,Red,6.6,-1,0,8,50,8,10,13,15,9,2,12,62,0,24,282,1.5,16.67,0.0,2,2,0,6.25,0.69,0.03,0,2,1,0,0,4,2,5,25.0,0.0,30.77,38.46
TERROR NUGS,Blue,6.6,1,2,9,115,7,7,11,11,41,1,12,40,0,16,266,1.57,8.33,22.22,0,0,0,12.78,3.73,0.15,1,0,0,0,1,3,1,4,0.0,0.0,27.27,36.36
Flat Earth,Red,6.6,-1,0,8,99,8,9,6,6,18,2,12,73,0,28,282,0.67,16.67,0.0,1,0,0,12.38,3.0,0.06,2,2,0,0,0,2,0,1,25.0,0.0,33.33,16.67
BUTT,Blue,6.6,1,1,11,80,9,10,5,8,8,1,12,85,0,34,266,0.8,8.33,9.09,1,3,1,7.27,1.6,0.03,1,4,1,1,0,1,0,1,36.36,100.0,20.0,20.0
ipopu,Blue,6.6,1,0,8,49,8,11,5,5,55,1,12,76,0,30,266,0.45,8.33,0.0,3,0,0,6.12,11.0,0.21,0,1,0,0,0,3,0,3,12.5,0.0,60.0,60.0
Poppenheimer,Red,6.6,-1,0,11,69,10,12,9,12,7,3,12,80,0,32,282,1.0,25.0,0.0,2,3,1,6.27,0.78,0.02,0,5,2,1,0,1,0,2,45.45,50.0,11.11,22.22
BobTheBob,Red,6.0,-1,2,8,48,6,8,4,4,50,0,12,46,0,18,282,0.5,0.0,25.0,2,0,0,6.0,12.5,0.18,0,2,0,0,0,2,0,1,25.0,0.0,50.0,25.0
