Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
MickTagger,Blue,8.5,-1,2,18,96,16,21,10,10,35,0,16,118,0,46,302,0.48,0.0,11.11,5,0,0,5.33,3.5,0.12,1,5,2,1,0,3,1,3,27.78,50.0,30.0,30.0
Sway,Red,8.5,1,2,14,144,12,13,4,10,13,3,16,103,0,40,316,0.77,18.75,14.29,1,6,0,10.29,3.25,0.04,2,3,0,0,0,2,0,3,21.43,0.0,50.0,75.0
Mystic,Red,8.5,1,2,11,109,9,11,12,12,43,2,16,77,0,30,316,1.09,12.5,18.18,2,0,0,9.91,3.58,0.14,1,2,0,0,0,2,0,4,18.18,0.0,16.67,33.33
LilB:BallGod,Blue,8.5,-1,1,7,48,6,12,9,9,92,2,16,55,0,22,302,0.75,12.5,14.29,6,0,0,6.86,10.22,0.3,1,3,1,0,0,5,1,6,42.86,0.0,55.56,66.67
Umpaqua,Blue,8.5,-1,0,11,101,11,11,6,6,87,1,16,117,0,46,302,0.55,6.25,0.0,0,0,0,9.18,14.5,0.29,1,2,1,0,0,1,0,3,18.18,0.0,16.67,50.0
fl33t,Blue,8.5,-1,0,9,71,9,12,7,7,28,2,16,83,0,32,302,0.58,12.5,0.0,3,0,0,7.89,4.0,0.09,0,2,0,0,0,1,0,1,22.22,0.0,14.29,14.29
RoVo,Red,8.5,1,0,9,27,9,9,8,8,45,5,16,80,0,32,316,0.89,31.25,0.0,0,0,0,3.0,5.62,0.14,0,5,0,0,0,3,0,5,55.56,0.0,37.5,62.5
babyTron,Red,8.5,1,0,3,22,3,4,16,19,58,1,16,35,0,14,316,4.75,6.25,0.0,1,3,0,7.33,3.62,0.18,0,0,0,0,0,5,3,6,0.0,0.0,31.25,37.5
