Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
snackpack,Blue,8.0,-3,0,13,82,13,15,8,8,24,0,14,92,0,36,322,0.53,0.0,0.0,2,0,0,6.31,3.0,0.07,1,4,2,1,0,1,2,0,30.77,50.0,12.5,0.0
Chritt,Red,8.0,3,2,11,87,9,10,6,6,18,0,14,105,0,42,283,0.6,0.0,18.18,1,0,0,7.91,3.0,0.06,1,2,0,0,0,0,0,0,18.18,0.0,0.0,0.0
SilentOne,Red,8.0,3,0,14,76,14,17,12,15,18,3,14,119,0,46,283,0.88,21.43,0.0,3,3,0,5.43,1.5,0.06,0,2,3,0,0,4,0,5,14.29,0.0,33.33,41.67
Rudey,Red,8.0,3,1,8,81,7,9,16,16,64,2,14,68,0,26,283,1.78,14.29,12.5,2,0,0,10.12,4.0,0.23,1,1,1,1,0,4,1,8,12.5,100.0,25.0,50.0
Swully,Red,8.0,3,3,8,78,5,10,13,13,68,1,14,84,0,32,283,1.3,7.14,37.5,5,0,0,9.75,5.23,0.24,0,1,0,0,1,4,0,6,12.5,0.0,30.77,46.15
suicidebypop,Blue,8.0,-3,1,14,61,13,16,8,10,14,2,14,92,0,36,322,0.62,14.29,7.14,3,2,0,4.36,1.75,0.04,0,5,2,0,0,1,1,1,35.71,0.0,12.5,12.5
Green,Blue,8.0,-3,1,7,34,6,6,10,11,60,4,14,71,0,28,322,1.83,28.57,14.29,0,1,0,4.86,6.0,0.19,0,2,0,0,0,3,0,5,28.57,0.0,30.0,50.0
Gavi,Blue,8.0,-3,1,18,106,16,16,9,13,14,2,14,85,0,34,322,0.81,14.29,5.56,0,4,1,5.89,1.56,0.04,1,1,5,0,0,1,0,1,5.56,0.0,11.11,11.11
