Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Ebhawk,Red,8.0,-3,1,17,85,16,17,8,8,35,3,14,113,30,50,335,0.47,21.43,5.88,1,0,0,5.0,4.38,0.1,0,5,3,3,0,3,1,4,29.41,100.0,37.5,50.0
SuperPoopman,Red,8.0,-3,0,12,68,12,14,7,9,22,2,14,70,5,29,335,0.64,14.29,0.0,2,2,0,5.67,3.14,0.07,0,6,2,0,0,1,0,1,50.0,0.0,14.29,14.29
PuyoPuyo,Blue,8.0,3,2,11,91,9,11,11,11,46,0,14,53,15,23,314,1.0,0.0,18.18,2,0,0,8.27,4.18,0.15,2,3,1,0,1,3,0,4,27.27,0.0,27.27,36.36
fronk,Blue,8.0,3,0,8,96,8,8,11,12,74,1,14,66,10,28,314,1.5,7.14,0.0,0,1,0,12.0,6.73,0.24,1,1,2,1,0,5,0,7,12.5,50.0,45.45,63.64
ipopu,Red,8.0,-3,1,15,76,13,15,7,9,22,1,14,75,15,33,335,0.6,7.14,6.67,2,2,1,5.07,3.14,0.07,0,4,1,0,0,0,0,1,26.67,0.0,0.0,14.29
Mystic,Red,8.0,-3,0,6,85,6,8,8,10,51,2,14,92,20,40,335,1.25,14.29,0.0,2,2,0,14.17,6.38,0.15,2,2,1,1,0,3,0,3,33.33,100.0,37.5,37.5
fl33t,Blue,8.0,3,2,7,70,5,9,9,9,95,1,14,65,10,28,314,1.0,7.14,28.57,4,0,0,10.0,10.56,0.3,1,1,0,0,0,7,1,8,14.29,0.0,77.78,88.89
babyTron,Blue,8.0,3,1,9,78,8,9,15,17,13,4,14,40,10,18,314,1.89,28.57,11.11,1,2,0,8.67,0.87,0.04,1,2,1,0,0,0,1,1,22.22,0.0,0.0,6.67
