Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,matchId,mapName
Roxas,Red,7.4,5,2,6,60,4,7,12,15,47,3,14,68,5,27,309,2.14,21.43,33.33,3,3,0,10.0,3.92,0.15,0,0,0,0,0,3,0,4,0.0,0.0,25.0,33.33,3973165,Moon Base 2024
Marijuana,Red,7.4,5,4,16,107,12,12,6,7,9,0,14,75,5,31,309,0.58,0.0,25.0,0,1,0,6.69,1.5,0.03,0,2,2,1,0,0,0,2,12.5,50.0,0.0,33.33,3973165,Moon Base 2024
I_mess_up,Blue,7.4,-5,0,13,79,13,16,12,12,22,1,14,93,10,38,339,0.75,7.14,0.0,3,0,0,6.08,1.83,0.06,0,2,1,0,0,2,1,4,15.38,0.0,16.67,33.33,3973165,Moon Base 2024
SmallyBigs,Red,7.4,5,0,7,49,7,7,15,17,58,2,14,75,0,30,309,2.43,14.29,0.0,0,2,0,7.0,3.87,0.19,0,1,0,0,0,1,2,4,14.29,0.0,6.67,26.67,3973165,Moon Base 2024
umad,Blue,7.4,-5,1,10,61,9,10,3,3,9,1,14,82,5,33,339,0.3,7.14,10.0,1,0,0,6.1,3.0,0.03,0,2,0,0,0,1,0,1,20.0,0.0,33.33,33.33,3973165,Moon Base 2024
xcv,Blue,7.4,-5,1,11,91,10,12,11,15,35,2,14,96,10,40,339,1.25,14.29,9.09,2,4,0,8.27,3.18,0.1,1,0,0,0,0,2,0,2,0.0,0.0,18.18,18.18,3973165,Moon Base 2024
BallsToYou.,Red,7.4,5,1,12,123,11,12,15,15,24,3,14,92,0,36,309,1.25,21.43,8.33,1,0,0,10.25,1.6,0.08,1,2,0,0,0,3,1,7,16.67,0.0,20.0,46.67,3973165,Moon Base 2024
heribo69,Blue,7.4,-5,0,16,78,16,17,7,7,7,2,14,125,0,50,339,0.41,14.29,0.0,1,0,0,4.88,1.0,0.02,0,3,1,1,0,0,0,0,18.75,100.0,0.0,0.0,3973165,Moon Base 2024
Roxas,Red,5.7,-5,0,10,42,10,12,5,7,16,0,10,92,15,39,215,0.58,0.0,0.0,2,2,0,4.2,3.2,0.07,0,4,3,3,0,0,1,0,40.0,100.0,0.0,0.0,3973170,Combine
Marijuana,Blue,5.7,5,2,8,54,6,6,8,11,41,2,10,30,5,13,203,1.83,20.0,25.0,0,3,0,6.75,5.12,0.2,0,1,0,0,0,4,2,3,12.5,0.0,50.0,37.5,3973170,Combine
BallsToYou.,Blue,5.7,5,1,11,52,10,12,9,10,30,0,10,105,10,44,203,0.83,0.0,9.09,2,1,0,4.73,3.33,0.15,0,3,3,3,0,2,2,4,27.27,100.0,22.22,44.44,3973170,Combine
xcv,Red,5.7,-5,1,10,89,9,11,5,5,7,3,10,75,0,30,215,0.45,30.0,10.0,2,0,0,8.9,1.4,0.03,2,2,0,0,0,1,0,2,20.0,0.0,20.0,40.0,3973170,Combine
heribo69,Blue,5.7,5,1,6,31,5,6,16,16,64,2,10,69,5,27,203,2.67,20.0,16.67,1,0,0,5.17,4.0,0.32,0,1,1,0,0,7,0,8,16.67,0.0,43.75,50.0,3973170,Combine
SmallyBigs,Red,5.7,-5,0,8,44,8,8,11,12,33,2,10,69,15,29,215,1.5,20.0,0.0,0,1,0,5.5,3.0,0.15,0,4,1,0,0,4,0,5,50.0,0.0,36.36,45.45,3973170,Combine
omni,Blue,5.7,5,2,11,78,9,10,3,3,15,1,10,93,5,37,203,0.3,10.0,18.18,1,0,0,7.09,5.0,0.07,0,2,0,0,1,2,0,2,18.18,0.0,66.67,66.67,3973170,Combine
I_mess_up,Red,5.7,-5,0,9,28,9,11,9,9,41,0,10,65,15,29,215,0.82,0.0,0.0,2,0,0,3.11,4.56,0.19,0,5,3,1,0,2,0,3,55.56,33.33,22.22,33.33,3973170,Combine
Junoon,Red,7.5,5,4,10,103,6,6,15,20,79,2,14,78,0,30,201,3.33,14.29,40.0,0,5,0,10.3,5.27,0.39,2,2,0,0,0,8,1,9,20.0,0.0,53.33,60.0,3973171,A Flaccid Type Map
knight_,Blue,7.5,-5,0,8,53,8,12,7,7,19,1,14,79,0,30,289,0.58,7.14,0.0,4,0,0,6.62,2.71,0.07,0,1,0,0,0,0,1,0,12.5,0.0,0.0,0.0,3973171,A Flaccid Type Map
Penis Wings,Red,7.5,5,0,7,27,7,8,8,9,135,3,14,105,0,42,201,1.12,21.43,0.0,1,1,0,3.86,16.88,0.67,0,1,1,0,0,2,0,1,14.29,0.0,25.0,12.5,3973171,A Flaccid Type Map
Ceremony,Blue,7.5,-5,2,15,71,13,15,8,8,14,2,14,72,0,28,289,0.53,14.29,13.33,2,0,0,4.73,1.75,0.05,0,5,2,2,0,4,0,3,33.33,100.0,50.0,37.5,3973171,A Flaccid Type Map
KING KRULE,Blue,7.5,-5,1,10,42,9,11,6,6,40,3,14,94,0,36,289,0.55,21.43,10.0,2,0,0,4.2,6.67,0.14,0,2,0,0,0,1,0,2,20.0,0.0,16.67,33.33,3973171,A Flaccid Type Map
adawg,Blue,7.5,-5,0,9,35,9,11,8,8,58,1,14,94,0,36,289,0.73,7.14,0.0,2,0,0,3.89,7.25,0.2,0,4,0,0,0,3,0,3,44.44,0.0,37.5,37.5,3973171,A Flaccid Type Map
arksoldier,Red,7.5,5,3,12,106,9,9,6,6,31,1,14,105,0,42,201,0.67,7.14,25.0,0,0,0,8.83,5.17,0.15,1,2,1,1,0,0,1,0,16.67,100.0,0.0,0.0,3973171,A Flaccid Type Map
Green,Red,7.5,5,1,8,53,7,7,10,10,65,1,14,88,0,34,201,1.43,7.14,12.5,0,0,0,6.62,6.5,0.32,0,3,1,1,0,2,1,3,37.5,100.0,20.0,30.0,3973171,A Flaccid Type Map
Zoltan Mesko,Red,8.0,-2,0,13,57,13,17,9,12,70,3,14,73,25,33,260,0.71,21.43,0.0,4,3,0,4.38,7.78,0.27,0,5,2,1,0,7,1,7,38.46,50.0,77.78,77.78,3973173,Asida
PuyoPuyo,Red,8.0,-2,2,14,65,12,16,11,12,41,0,14,75,40,38,260,0.75,0.0,14.29,4,1,0,4.64,3.73,0.16,0,3,1,1,0,6,1,7,21.43,100.0,54.55,63.64,3973173,Asida
josh61616,Blue,8.0,2,1,7,41,6,9,11,13,83,2,14,73,10,30,278,1.44,14.29,14.29,3,2,0,5.86,7.55,0.3,0,2,1,0,0,1,1,2,28.57,0.0,9.09,18.18,3973173,Asida
1 Pixel Juke,Blue,8.0,2,3,12,73,9,11,16,19,54,1,14,72,75,43,278,1.73,7.14,25.0,2,3,0,6.08,3.38,0.19,1,4,4,1,1,5,1,5,33.33,25.0,31.25,31.25,3973173,Asida
`~`,Blue,8.0,2,1,18,71,17,19,7,8,17,3,14,105,15,45,278,0.42,21.43,5.56,2,1,0,3.94,2.43,0.06,0,10,2,1,0,3,0,2,55.56,50.0,42.86,28.57,3973173,Asida
TheNippIe,Red,8.0,-2,1,13,67,12,18,10,10,68,0,14,60,5,25,260,0.56,0.0,7.69,6,0,0,5.15,6.8,0.26,0,2,2,0,1,6,0,6,15.38,0.0,60.0,60.0,3973173,Asida
Karasu,Red,8.0,-2,0,11,89,11,15,10,11,79,0,14,90,30,42,260,0.73,0.0,0.0,4,1,0,8.09,7.9,0.3,1,2,0,0,0,1,0,2,18.18,0.0,10.0,20.0,3973173,Asida
infinity.,Blue,8.0,2,0,11,75,11,15,10,16,61,5,14,72,5,29,278,1.07,35.71,0.0,4,6,0,6.82,6.1,0.22,1,4,2,1,0,3,0,6,36.36,50.0,30.0,60.0,3973173,Asida
Marijuana,Red,0.9,0,0,1,20,1,1,1,1,0,0,0,15,0,6,43,1.0,0.0,0.0,0,0,0,20.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3973175,Milano 2
Vedic D,Blue,0.9,0,0,0,0,0,1,2,2,0,0,0,0,0,0,46,2.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3973175,Milano 2
nej,Red,0.9,0,0,1,2,0,0,1,1,0,0,0,5,0,2,43,0.0,0.0,0.0,0,0,1,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3973175,Milano 2
MacbookProM4,Red,0.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,43,0.0,0.0,0.0,0,0,0,0.0,0.0,0.07,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3973175,Milano 2
Way Maker,Blue,0.9,0,0,1,34,1,2,0,0,0,0,0,5,0,2,46,0.0,0.0,0.0,1,0,0,34.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3973175,Milano 2
hail santa,Blue,0.9,0,0,1,9,1,1,0,0,0,0,0,5,0,2,46,0.0,0.0,0.0,0,0,0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3973175,Milano 2
bort license,Red,0.9,0,0,1,24,1,1,0,0,2,0,0,5,0,2,43,0.0,0.0,0.0,0,0,0,24.0,0.0,0.05,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3973175,Milano 2
