Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
DAD.,Red,4.4,5,2,3,19,1,5,6,8,19,1,8,27,0,10,129,1.6,12.5,66.67,4,2,0,6.33,3.17,0.15,0,1,0,0,1,1,1,2,33.33,0.0,16.67,33.33
BALLDON'TLIE,Red,4.4,5,1,5,25,4,6,12,12,14,1,8,65,0,26,129,2.0,12.5,20.0,2,0,0,5.0,1.17,0.11,0,2,0,0,0,4,0,5,40.0,0.0,33.33,41.67
BallAnka,Red,4.4,5,2,8,62,6,6,4,4,18,1,8,41,10,18,129,0.67,12.5,25.0,0,0,0,7.75,4.5,0.14,0,1,0,0,0,1,1,1,12.5,0.0,25.0,25.0
wallsquirrel,Blue,4.4,-5,0,3,30,3,6,3,3,47,1,8,35,15,17,147,0.5,12.5,0.0,3,0,0,10.0,15.67,0.32,0,0,0,0,0,0,0,1,0.0,0.0,0.0,33.33
xcv,Blue,4.4,-5,0,7,41,7,7,3,6,20,1,8,43,5,17,147,0.86,12.5,0.0,0,3,0,5.86,6.67,0.14,0,1,1,0,0,1,1,1,14.29,0.0,33.33,33.33
fender,Blue,4.4,-5,1,12,39,11,12,4,4,8,0,8,67,10,28,147,0.33,0.0,8.33,1,0,0,3.25,2.0,0.05,0,6,2,2,0,1,0,1,50.0,100.0,25.0,25.0
Russ,Blue,4.4,-5,0,4,19,4,7,9,11,48,1,8,50,10,22,147,1.57,12.5,0.0,3,2,0,4.75,5.33,0.33,0,0,0,0,0,5,0,5,0.0,0.0,55.56,55.56
Booya Ball,Red,4.4,5,1,9,41,8,9,3,5,11,2,8,60,5,25,129,0.56,25.0,11.11,1,2,0,4.56,3.67,0.09,0,3,1,1,0,1,1,0,33.33,100.0,33.33,0.0
