Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
eee,Red,8.0,2,1,10,128,9,10,7,9,62,2,14,91,0,36,293,0.9,14.29,10.0,1,2,0,12.8,8.86,0.21,2,2,1,1,0,2,1,2,20.0,100.0,28.57,28.57
Chritt,Blue,8.0,-2,0,6,43,6,11,9,11,81,1,14,114,10,46,311,1.0,7.14,0.0,5,2,0,7.17,9.0,0.26,0,1,1,1,0,3,1,4,16.67,100.0,33.33,44.44
Stronk,Blue,8.0,-2,0,6,22,6,8,10,14,87,4,14,110,20,48,311,1.75,28.57,0.0,2,4,0,3.67,8.7,0.28,0,3,2,0,0,1,0,3,50.0,0.0,10.0,30.0
Kei Yonagi,Red,8.0,2,2,13,80,11,14,11,12,23,1,14,82,5,33,293,0.86,7.14,15.38,3,1,0,6.15,2.09,0.08,0,2,1,1,0,4,0,4,15.38,100.0,36.36,36.36
xcv,Red,8.0,2,1,8,62,7,9,6,11,44,4,14,92,25,41,293,1.22,28.57,12.5,2,5,0,7.75,7.33,0.15,1,2,0,0,0,0,0,1,25.0,0.0,0.0,16.67
jkxs,Blue,8.0,-2,1,9,135,8,9,7,7,11,0,14,62,10,26,311,0.78,0.0,11.11,1,0,0,15.0,1.57,0.04,3,0,1,0,0,2,0,3,0.0,0.0,28.57,42.86
snaxolotl,Blue,8.0,-2,2,14,93,12,13,8,10,20,1,14,85,10,36,311,0.77,7.14,14.29,1,2,0,6.64,2.5,0.06,1,3,2,2,1,1,1,1,21.43,100.0,12.5,12.5
`ArryKane,Red,8.0,2,1,8,41,7,11,7,8,74,1,14,81,10,34,293,0.73,7.14,12.5,4,1,0,5.12,10.57,0.25,0,1,1,1,0,1,0,3,12.5,100.0,14.29,42.86
