Map,Games,RedWins,BlueWins,Red Win %,Blue Win %
Audacity 2,1282,657,625,0.5124804992199687,0.4875195007800312
Moon Base 2024,1233,650,583,0.527169505271695,0.47283049472830496
Pine,325,137,188,0.42153846153846153,0.5784615384615385
Asida,1531,788,743,0.5146962769431744,0.4853037230568256
Oak,689,364,325,0.5283018867924528,0.4716981132075472
Combine,1036,510,526,0.4922779922779923,0.5077220077220077
OTI MERALD,678,333,345,0.4911504424778761,0.5088495575221239
Centenaria,1073,557,516,0.5191053122087604,0.4808946877912395
GFY,133,70,63,0.5263157894736842,0.47368421052631576
Milano 2,997,518,479,0.5195586760280843,0.48044132397191575
Catch-24,388,216,172,0.5567010309278351,0.44329896907216493
Willow 2,592,302,290,0.5101351351351351,0.48986486486486486
Sardonica,609,279,330,0.458128078817734,0.541871921182266
A Flaccid Type Map,970,489,481,0.5041237113402062,0.49587628865979383
Crawfish Boil,1,1,0,1.0,0.0
OTI Jardim,176,98,78,0.5568181818181818,0.4431818181818182
Sugar Free Hill,108,51,57,0.4722222222222222,0.5277777777777778
Nuke,79,43,36,0.5443037974683544,0.45569620253164556
Thicket 2,205,95,110,0.4634146341463415,0.5365853658536586
Apparition 2023,39,19,20,0.48717948717948717,0.5128205128205128
