Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,matchId,mapName
perl,Red,8.0,3,0,6,50,5,12,9,9,24,1,14,56,30,28,277,0.75,7.14,0.0,7,0,1,8.33,2.67,0.09,0,1,0,0,0,3,0,3,16.67,0.0,33.33,33.33,3960878,Milano 2
fender,Red,8.0,3,2,14,88,12,15,8,9,17,1,14,91,0,36,277,0.6,7.14,14.29,3,1,0,6.29,2.12,0.06,0,4,1,1,0,1,0,3,28.57,100.0,12.5,37.5,3960878,Milano 2
Iodized Salt,Blue,8.0,-3,0,13,62,12,14,5,6,39,1,14,74,10,30,273,0.43,7.14,0.0,2,1,1,4.77,7.8,0.14,0,5,2,0,0,1,0,1,38.46,0.0,20.0,20.0,3960878,Milano 2
Ivanchuk,Blue,8.0,-3,1,12,68,11,12,11,11,112,1,14,123,15,51,273,0.92,7.14,8.33,1,0,0,5.67,10.18,0.41,0,3,1,1,0,2,1,4,25.0,100.0,18.18,36.36,3960878,Milano 2
Jer32,Blue,8.0,-3,0,6,83,6,10,5,12,57,4,14,64,33,30,273,1.2,28.57,0.0,4,7,0,13.83,11.4,0.21,1,1,0,0,0,0,0,2,16.67,0.0,0.0,40.0,3960878,Milano 2
xcv,Red,8.0,3,1,10,64,9,12,11,17,43,3,14,106,15,45,277,1.42,21.43,10.0,3,6,0,6.4,3.91,0.16,0,2,0,0,0,1,0,2,20.0,0.0,9.09,18.18,3960878,Milano 2
360broscope,Red,8.0,3,2,7,71,5,11,11,11,78,0,14,64,40,32,277,1.0,0.0,28.57,6,0,0,10.14,7.09,0.28,1,0,2,1,0,6,0,6,0.0,50.0,54.55,54.55,3960878,Milano 2
Suchit,Blue,8.0,-3,1,11,64,10,13,10,11,62,3,14,101,5,41,273,0.85,21.43,9.09,3,1,0,5.82,6.2,0.23,0,2,1,1,0,4,0,3,18.18,100.0,40.0,30.0,3960878,Milano 2
Marijuana,Red,9.1,1,1,10,80,9,12,11,13,50,2,25,108,0,42,279,1.08,8.0,10.0,3,2,0,8.0,4.55,0.18,2,1,1,0,0,3,0,4,10.0,0.0,27.27,36.36,3960879,Nuke
No one,Blue,9.1,-1,2,15,135,13,13,6,6,55,2,25,102,0,40,289,0.46,8.0,13.33,0,0,0,9.0,9.17,0.19,2,3,0,0,0,1,0,2,20.0,0.0,16.67,33.33,3960879,Nuke
PuyoPuyo,Red,9.1,1,1,11,95,10,12,8,8,101,0,25,87,0,34,279,0.67,0.0,9.09,2,0,0,8.64,12.62,0.36,1,2,0,0,0,5,0,6,18.18,0.0,62.5,75.0,3960879,Nuke
ANDYKANSAS,Blue,9.1,-1,1,7,44,6,12,9,12,103,3,25,51,0,20,289,1.0,12.0,14.29,6,3,0,6.29,11.44,0.36,0,1,0,0,0,1,1,1,14.29,0.0,11.11,11.11,3960879,Nuke
GillyBall,Red,9.1,1,0,7,36,7,13,17,18,107,2,25,71,0,28,279,1.38,8.0,0.0,6,1,0,5.14,6.29,0.38,0,2,1,0,0,2,1,3,28.57,0.0,11.76,17.65,3960879,Nuke
ez,Red,9.1,1,2,11,78,9,14,3,3,25,7,25,69,0,26,279,0.21,28.0,18.18,5,0,0,7.09,8.33,0.09,1,2,0,0,0,0,0,1,18.18,0.0,0.0,33.33,3960879,Nuke
