Player,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,CD/Min,Captures/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min
13.5 inches,16.9,0,0,1,6,1,5,28,29,298,2,30,100,25,43,467,5.8,6.67,0.0,4,1,0,6.0,10.64,0.64,0,0,0,0,0,8,2,12,0.0,0.0,28.57,42.86,0.0,0.0,0.06,0.36,0.06,0.3,1.66,1.72,17.63,0.12
360broscope,93.5,15,18,116,765,98,132,127,148,735,19,178,1010,178,429,3020,1.12,10.67,15.52,34,21,0,6.59,5.79,0.24,8,30,13,4,1,52,4,61,25.86,30.77,40.94,48.03,0.16,0.19,1.24,8.18,1.05,1.41,1.36,1.58,7.86,0.2
8-),48.0,2,2,64,414,62,70,56,63,270,5,91,502,10,200,1574,0.9,5.49,3.12,8,7,0,6.47,4.82,0.17,4,17,7,1,0,12,2,16,26.56,14.29,21.43,28.57,0.04,0.04,1.33,8.62,1.29,1.46,1.17,1.31,5.62,0.1
`ArryKane,77.3,-4,2,89,603,84,114,74,96,424,23,152,798,85,327,2545,0.84,15.13,2.25,30,22,3,6.78,5.73,0.17,8,29,6,2,0,25,3,27,32.58,33.33,33.78,36.49,-0.05,0.03,1.15,7.8,1.09,1.47,0.96,1.24,5.49,0.3
a virgin dad,22.3,8,7,43,277,36,37,17,18,74,4,40,324,10,130,615,0.49,10.0,16.28,1,1,0,6.44,4.35,0.12,1,9,2,0,0,3,1,6,20.93,0.0,17.65,35.29,0.36,0.31,1.93,12.42,1.61,1.66,0.76,0.81,3.32,0.18
Ace93,8.0,2,3,14,129,11,14,7,7,13,0,14,76,0,30,274,0.5,0.0,21.43,3,0,0,9.21,1.86,0.05,2,3,0,0,0,2,0,3,21.43,0.0,28.57,42.86,0.25,0.38,1.75,16.12,1.38,1.75,0.88,0.88,1.62,0.0
adawg,24.0,7,1,16,119,15,20,33,40,337,3,42,159,10,64,714,2.0,7.14,6.25,5,7,0,7.44,10.21,0.47,1,2,1,1,0,13,2,14,12.5,100.0,39.39,42.42,0.29,0.04,0.67,4.96,0.62,0.83,1.38,1.67,14.04,0.12
aeps002,16.9,2,2,15,74,13,21,23,23,275,0,30,133,15,55,499,1.1,0.0,13.33,8,0,0,4.93,11.96,0.55,0,5,5,3,0,6,0,9,33.33,60.0,26.09,39.13,0.12,0.12,0.89,4.38,0.77,1.24,1.36,1.36,16.27,0.0
alchemist,98.7,-25,5,114,776,106,150,127,150,679,29,186,877,85,359,3397,1.0,15.59,4.39,44,23,3,6.81,5.35,0.2,8,37,16,5,2,40,6,49,32.46,31.25,31.5,38.58,-0.25,0.05,1.16,7.86,1.07,1.52,1.29,1.52,6.88,0.29
AmishVacuum,8.2,2,0,10,81,10,16,9,14,30,2,14,63,40,32,314,0.88,14.29,0.0,6,5,0,8.1,3.33,0.1,1,2,0,0,0,4,1,4,20.0,0.0,44.44,44.44,0.24,0.0,1.22,9.88,1.22,1.95,1.1,1.71,3.66,0.24
