Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Snowball,8.0,1,1,0,1.0,0,1,0,1,0.0,1.0,2.0,5.0,58.0,3.0,4.0,11.0,13.0,101.0,1.0,14.0,32.0,5.0,13.0,258.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,1.0,2.0,0.0,2.0,0.25,0.25,0.625,7.25,0.375,0.5,1.375,1.625,12.625,0.07142857142857142,0.07142857142857142,0.4,0.0,0.0,0.36363636363636365,0.6363636363636364,3.25,11.6,9.181818181818182,0.39147286821705424,2.0,5.0,58.0,3.0,4.0,11.0,13.0,101.0,1.0,14.0,32.0,5.0,13.0,258.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,1.0,2.0,0.0,2.0
phyllis,8.0,1,1,0,1.0,1,0,1,0,1.0,0.0,0.0,3.0,3.0,3.0,10.0,9.0,11.0,41.0,1.0,14.0,34.0,70.0,26.0,343.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,2.0,0.0,3.0,0.375,0.0,0.375,0.375,0.375,1.25,1.125,1.375,5.125,0.07142857142857142,0.07142857142857142,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.1,1.0,4.555555555555555,0.119533527696793,0.0,3.0,3.0,3.0,10.0,9.0,11.0,41.0,1.0,14.0,34.0,70.0,26.0,343.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,2.0,0.0,3.0
rollingstone,8.0,1,0,1,0.0,0,1,0,0,0.0,0.0,0.0,10.0,85.0,10.0,14.0,2.0,5.0,1.0,4.0,14.0,52.0,10.0,22.0,349.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,-3.0,-0.375,0.0,1.25,10.625,1.25,1.75,0.25,0.625,0.125,0.2857142857142857,0.2857142857142857,0.0,0.4,0.0,0.0,0.0,0.35714285714285715,8.5,0.5,0.0028653295128939827,0.0,10.0,85.0,10.0,14.0,2.0,5.0,1.0,4.0,14.0,52.0,10.0,22.0,349.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,-3.0
Crasher,8.0,1,1,0,1.0,1,0,1,0,1.0,0.0,1.0,10.0,215.0,8.0,9.0,5.0,5.0,11.0,2.0,14.0,30.0,5.0,13.0,343.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,0.375,0.125,1.25,26.875,1.0,1.125,0.625,0.625,1.375,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.2,0.6,0.5555555555555556,21.5,2.2,0.03206997084548105,1.0,10.0,215.0,8.0,9.0,5.0,5.0,11.0,2.0,14.0,30.0,5.0,13.0,343.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0
Eballs,8.0,1,1,0,1.0,0,1,0,1,0.0,1.0,2.0,8.0,37.0,6.0,8.0,9.0,14.0,96.0,1.0,14.0,67.0,10.0,28.0,197.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,6.0,2.0,5.0,0.0,3.0,0.375,0.25,1.0,4.625,0.75,1.0,1.125,1.75,12.0,0.07142857142857142,0.07142857142857142,0.25,0.375,0.0,0.4444444444444444,0.6666666666666666,1.75,4.625,10.666666666666666,0.4873096446700508,2.0,8.0,37.0,6.0,8.0,9.0,14.0,96.0,1.0,14.0,67.0,10.0,28.0,197.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,6.0,2.0,5.0,0.0,3.0
itagpro,8.0,1,1,0,1.0,1,0,1,0,1.0,0.0,1.0,8.0,96.0,7.0,9.0,6.0,7.0,2.0,2.0,14.0,69.0,5.0,27.0,343.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0,0.375,0.125,1.0,12.0,0.875,1.125,0.75,0.875,0.25,0.14285714285714285,0.14285714285714285,0.125,0.0,0.0,0.5,0.3333333333333333,0.7777777777777778,12.0,0.3333333333333333,0.0058309037900874635,1.0,8.0,96.0,7.0,9.0,6.0,7.0,2.0,2.0,14.0,69.0,5.0,27.0,343.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0
#4 Meerkat,8.0,1,1,0,1.0,1,0,1,0,1.0,0.0,3.0,15.0,138.0,12.0,16.0,8.0,10.0,18.0,2.0,14.0,96.0,10.0,40.0,249.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,4.0,2.0,0.0,4.0,0.5,0.375,1.875,17.25,1.5,2.0,1.0,1.25,2.25,0.14285714285714285,0.14285714285714285,0.2,0.0,0.06666666666666667,0.25,0.375,0.625,9.2,2.25,0.07228915662650602,3.0,15.0,138.0,12.0,16.0,8.0,10.0,18.0,2.0,14.0,96.0,10.0,40.0,249.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,4.0,2.0,0.0,4.0
wallsquirrel,8.0,1,1,0,1.0,1,0,1,0,1.0,0.0,1.0,9.0,98.0,8.0,8.0,10.0,10.0,3.0,1.0,14.0,97.0,20.0,42.0,374.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.125,0.125,1.125,12.25,1.0,1.0,1.25,1.25,0.375,0.07142857142857142,0.07142857142857142,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1,0.1,1.25,10.88888888888889,0.3,0.008021390374331552,1.0,9.0,98.0,8.0,8.0,10.0,10.0,3.0,1.0,14.0,97.0,20.0,42.0,374.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
~zion~,8.0,1,0,1,0.0,1,0,0,0,0.0,0.0,0.0,12.0,58.0,12.0,15.0,9.0,13.0,37.0,2.0,14.0,88.0,5.0,35.0,262.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,0.0,-3.0,-0.375,0.0,1.5,7.25,1.5,1.875,1.125,1.625,4.625,0.14285714285714285,0.14285714285714285,0.0,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.8666666666666667,4.833333333333333,4.111111111111111,0.14122137404580154,0.0,12.0,58.0,12.0,15.0,9.0,13.0,37.0,2.0,14.0,88.0,5.0,35.0,262.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,0.0,-3.0
`~`,8.0,1,1,0,1.0,1,0,1,0,1.0,0.0,1.0,8.0,50.0,7.0,8.0,5.0,5.0,49.0,1.0,14.0,67.0,30.0,32.0,295.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,0.5,0.125,1.0,6.25,0.875,1.0,0.625,0.625,6.125,0.07142857142857142,0.07142857142857142,0.125,0.25,0.125,0.4,0.4,0.625,6.25,9.8,0.16610169491525423,1.0,8.0,50.0,7.0,8.0,5.0,5.0,49.0,1.0,14.0,67.0,30.0,32.0,295.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0
