Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Blue,54405.89999999985,7287,3587,3700,0.4922464663098669,0,7287,0,3587,0.0,0.4922464663098669,5390.0,66177.0,467398.0,60266.0,72917.0,57976.0,66569.0,330474.0,12186.0,97608.0,535830.0,0.0,209720.0,1864670.0,3931.0,16598.0,6205.0,2490.0,439.0,16258.0,2396.0,19074.0,12651.0,8593.0,521.0,-574.0,-0.010550326343282651,0.09907013761375172,1.2163570495111777,8.590943261668336,1.107710744606746,1.340240672427075,1.0656197213905139,1.2235621504285414,6.074230919808347,0.1248463240717974,0.1248463240717974,0.08144823730299046,0.2508122157244964,0.03762636565574142,0.28042638333103354,0.3289982061542707,0.9129421122646296,7.062846608338244,5.700186283979578,0.17722921482085302,0.7925611009100137,9.730856396089422,68.72754609334669,8.861685956853968,10.7219253794166,8.524957771124111,9.788497203428332,48.593847358466775,1.7918644852856083,14.352561027388614,78.7899841745107,0.0,30.837831926316902,274.1864393383813,0.5780255450236111,2.440617653600076,0.9124010447396356,0.36613676090277075,0.06455182250454472,2.3906230758061233,0.3523147305715015,2.8046958142407425,1.8602394225626318,1.2635394323042206,0.07660933832543919,-0.08440261074626121
Red,54367.89999999981,7286,3705,3581,0.5085094702168542,7286,0,3705,0,0.5085094702168542,0.0,5551.0,65422.0,466176.0,59361.0,71923.0,58920.0,67605.0,321334.0,12214.0,97574.0,530032.0,0.0,207344.0,1868923.0,4010.0,16460.0,5898.0,2276.0,437.0,16402.0,2568.0,20482.0,12562.0,8685.0,510.0,731.0,0.013445433794573683,0.10210068808984749,1.2033203415986313,8.574471333268374,1.0918391183032672,1.322894575659539,1.0837277143314383,1.243472710919499,5.91036254848911,0.12517678889868203,0.12517678889868203,0.08484913331906697,0.2515973220017731,0.03478952034483813,0.278377460964019,0.34762389680923284,0.9399635721535531,7.125676377976827,5.453733876442634,0.1719353873862112,0.8168055047187799,9.62656273278905,68.59577066614699,8.734712946426137,10.583156605276312,8.669821714651507,9.947781687355992,47.28290038791288,1.7972369725518245,14.357589680675595,77.99190331059347,0.0,30.509767712197927,275.0038901631303,0.5900540576332746,2.4220174036517954,0.8678650453668463,0.33490350004322517,0.0643026491735015,2.413482955935404,0.3778700299257479,3.0138372090884613,1.8484436588501736,1.2779599727044864,0.07504428164413218,0.10756347035658946
metalhead,1107.3999999999999,150,82,68,0.5466666666666666,88,62,50,32,0.5681818181818182,0.5161290322580645,125.0,1488.0,8003.0,1356.0,1670.0,1005.0,1149.0,7147.0,219.0,1967.0,11033.0,0.0,4328.0,40939.0,23.0,447.0,156.0,71.0,13.0,273.0,38.0,346.0,314.0,144.0,7.0,58.0,0.05237493227379448,0.11287700921076396,1.3436879176449343,7.226837637709952,1.2244897959183676,1.5080368430558067,0.9075311540545423,1.0375654686653424,6.4538558786346405,0.11133706151499746,0.11133706151499746,0.08400537634408602,0.3004032258064516,0.04771505376344086,0.2716417910447761,0.34427860696517415,0.6880239520958084,5.378360215053763,7.111442786069651,0.17457680939935025,0.9030160736861117,10.749503341159475,57.81470110167962,9.79591836734694,12.064294744446453,7.260249232436339,8.300523749322739,51.630847029077124,1.5820841610980678,14.209860935524654,79.70381072783097,0.0,31.26602853530793,295.7486003250858,0.16615495755824455,3.2291854795015356,1.1269640599602675,0.5129131298537115,0.09391367166335562,1.972187104930468,0.274516886400578,2.499548491963157,2.2683763770995125,1.0402745168864007,0.050568900126422255,0.41899945819035583
BallsToYou.,1101.7000000000007,146,77,69,0.5273972602739726,75,71,37,40,0.49333333333333335,0.5633802816901409,171.0,1807.0,12202.0,1621.0,1870.0,952.0,1111.0,3343.0,283.0,1992.0,12508.0,0.0,4902.0,36774.0,99.0,502.0,166.0,61.0,15.0,221.0,53.0,280.0,249.0,159.0,15.0,-3.0,-0.0027230643550875903,0.15521466823999264,1.6401924298810917,11.075610420259592,1.4713624398656613,1.6973767813379312,0.8641190886811286,1.0084414995007709,3.0344013796859377,0.14206827309236947,0.14206827309236947,0.09463198671831766,0.27780852241283893,0.033757609297177645,0.23214285714285715,0.29411764705882354,0.5941176470588235,6.752628666297731,3.5115546218487395,0.09090661880676565,1.241717345919941,13.121539439048734,88.60488336207673,11.77089951892529,13.57901425070345,6.912952709449029,8.067531996006167,24.2752110374875,2.055005899972768,14.464917854225279,90.82690387582821,0.0,35.595897249704976,267.0345829173094,0.7188889897431238,3.6452754833439207,1.2054098211854398,0.44295180176091464,0.10892257420350361,1.6047925932649532,0.3848597621857127,2.0332213851320673,1.8081147317781598,1.1545792865571383,0.10892257420350361,-0.021784514840700722
bubblez,931.8000000000004,120,62,58,0.5166666666666667,59,61,28,34,0.4745762711864407,0.5573770491803278,116.0,1175.0,9413.0,1049.0,1238.0,823.0,963.0,5928.0,232.0,1679.0,9014.0,0.0,3526.0,31390.0,96.0,262.0,89.0,38.0,6.0,308.0,45.0,347.0,189.0,140.0,10.0,17.0,0.018244258424554616,0.12449023395578444,1.261000214638334,10.101953208843096,1.1257780639622232,1.328611289976389,0.88323674608285,1.0334835801674174,6.3618802318093985,0.13817748659916618,0.13817748659916618,0.09872340425531916,0.2229787234042553,0.03234042553191489,0.37424058323207776,0.42162818955042525,0.7778675282714055,8.011063829787235,7.202916160388821,0.1888499522140809,0.9959218716462755,10.088001717106671,80.81562567074477,9.006224511697786,10.628890319811113,7.0658939686628,8.267868641339339,50.89504185447519,1.991843743292551,14.415110538742214,77.38999785361662,0.0,30.272590684696272,269.49989268083266,0.8242112041210556,2.249409744580381,0.7641124704872286,0.32625026829791787,0.05151320025756598,2.644344279888387,0.3863490019317448,2.979180081562566,1.6226658081133283,1.2019746726765395,0.08585533376260997,0.14595406739643693
LogisticMap,873.7000000000003,113,56,57,0.49557522123893805,49,64,26,30,0.5306122448979592,0.46875,64.0,854.0,5546.0,784.0,970.0,969.0,1072.0,7165.0,149.0,1561.0,8304.0,0.0,3248.0,27793.0,40.0,240.0,77.0,27.0,5.0,292.0,44.0,360.0,186.0,103.0,6.0,-3.0,-0.0034336728854297803,0.07325168822250198,0.9774522147190108,6.347716607531187,0.8973331807256493,1.1102208996222955,1.109076341993819,1.226965777726908,8.200755408034793,0.0954516335682255,0.0954516335682255,0.07494145199063232,0.2810304449648712,0.03161592505854801,0.3013415892672859,0.3715170278637771,1.1051546391752578,6.494145199063232,7.39422084623323,0.2577987262979887,0.5860135057800159,7.819617717752086,50.7817328602495,7.178665445805194,8.881767196978364,8.872610735950552,9.815726221815265,65.60604326427834,1.3643126931440994,14.293235664415699,76.03525237495705,0.0,29.740185418335805,254.4855213459997,0.3662584411125099,2.1975506466750594,0.7050474991415816,0.24722444775094418,0.045782305139063735,2.6736866201213223,0.4028842852237609,3.2963259700125893,1.703101751173171,0.9431154858647129,0.054938766166876485,-0.027469383083438242
Toidi,830.8999999999999,110,47,63,0.42727272727272725,46,64,16,31,0.34782608695652173,0.484375,33.0,612.0,3739.0,576.0,820.0,1257.0,1417.0,10369.0,204.0,1498.0,6527.0,0.0,2548.0,24905.0,22.0,186.0,66.0,23.0,1.0,518.0,57.0,605.0,244.0,160.0,3.0,-41.0,-0.04934408472740403,0.03971597063425202,0.7365507281261284,4.499939824286918,0.6932242147069444,0.9868816945480805,1.5128174268865089,1.705379708749549,12.479239378986643,0.13618157543391188,0.13618157543391188,0.05392156862745098,0.30392156862745096,0.03758169934640523,0.4120922832140016,0.4813046937151949,1.7280487804878049,6.109477124183006,8.249005568814638,0.4163420999799237,0.3177277650740162,5.892405825009027,35.999518594295346,5.545793717655555,7.895053556384644,12.102539415092071,13.643037669996392,99.83391503189314,1.9641352750030092,14.422914911541705,62.84270068600314,0.0,24.53243470935131,239.7881814899507,0.21181851004934413,1.790829221326273,0.6354555301480324,0.22144662414249613,0.009628114093152005,4.987363100252739,0.5488025033096643,5.825009026356963,2.3492598387290893,1.540498254904321,0.028884342279456018,-0.39475267781923223
knight_,825.8000000000001,103,54,49,0.5242718446601942,54,49,30,24,0.5555555555555556,0.4897959183673469,77.0,932.0,6483.0,851.0,1034.0,753.0,856.0,3698.0,158.0,1494.0,8761.0,0.0,3424.0,28187.0,44.0,221.0,86.0,24.0,9.0,158.0,22.0,191.0,183.0,103.0,4.0,11.0,0.013320416565754419,0.09324291596028093,1.1286025672075561,7.850569145071446,1.0305158634051828,1.2521191571809154,0.9118430612739161,1.0365705982077984,4.478081860014531,0.10575635876840696,0.10575635876840696,0.08261802575107297,0.2371244635193133,0.02575107296137339,0.2098273572377158,0.2536520584329349,0.8278529980657641,6.956008583690987,4.911022576361222,0.1311952318444673,0.7459433276822475,9.02882053766045,62.804553160571565,8.244126907241462,10.016953257447323,7.294744490191329,8.292564785662387,35.82465488011625,1.5306369581012351,14.473238072172437,84.87285056914506,0.0,33.17025914264955,273.0636958101235,0.4262533301041414,2.140954226204892,0.8331315088399127,0.23250181642044077,0.08718818115766529,1.5306369581012351,0.2131266650520707,1.8503269556793411,1.7728263502058608,0.9978202954710583,0.03875030273674013,0.10656333252603535
Ceremony,769.7,105,55,50,0.5238095238095238,55,50,29,26,0.5272727272727272,0.52,120.0,1216.0,8898.0,1092.0,1217.0,523.0,607.0,2664.0,170.0,1386.0,8319.0,0.0,3268.0,25581.0,79.0,293.0,88.0,38.0,7.0,153.0,26.0,191.0,125.0,84.0,4.0,-12.0,-0.015590489801221253,0.15590489801221255,1.5798362998570872,11.56034818760556,1.4187345719111342,1.5811355073405222,0.6794855138365596,0.7886189424451084,3.4610887358711184,0.12265512265512266,0.12265512265512266,0.09868421052631579,0.24095394736842105,0.03125,0.2925430210325048,0.3652007648183556,0.4987674609695974,7.317434210526316,5.093690248565966,0.10413979125131934,1.2472391840977004,12.638690398856697,92.48278550084449,11.349876575289073,12.649084058724178,5.435884110692477,6.3089515395608675,27.688709886968947,1.766922177471742,14.405612576328439,86.46485643757308,0.0,33.96648044692737,265.88021307002725,0.8210991295309861,3.045342341171885,0.9146420683383136,0.3949590749642718,0.07275561907236586,1.590229959724568,0.27023515655450175,1.9851890346888397,1.2992074834351046,0.8730674288683903,0.04157463946992335,-0.12472391840977003
ez,745.3999999999999,98,54,44,0.5510204081632653,45,53,24,30,0.5333333333333333,0.5660377358490566,77.0,891.0,6670.0,810.0,964.0,651.0,780.0,3777.0,207.0,1338.0,7580.0,0.0,2970.0,24281.0,62.0,209.0,75.0,34.0,3.0,191.0,39.0,216.0,154.0,129.0,4.0,14.0,0.01878186208746982,0.10330024148108401,1.1953313657096862,8.948215723101692,1.0866648779178967,1.2932653608800646,0.8733565870673465,1.046418030587604,5.067078078883822,0.1547085201793722,0.1547085201793722,0.08641975308641975,0.2345679012345679,0.038159371492704826,0.29339477726574503,0.3317972350230415,0.8091286307053942,7.4859708193041525,5.8018433179723505,0.1555537251348791,0.8264019318486721,9.56265092567749,71.58572578481353,8.693319023343173,10.346122887040517,6.986852696538772,8.371344244700833,40.53662463107057,2.221625972632144,14.360075127448352,81.35229407029784,0.0,31.875503085591635,260.59565334048835,0.6654145425275021,2.243090957874967,0.8049369466058494,0.36490474912798504,0.03219747786423397,2.049906090689563,0.4185672122350417,2.318218406224846,1.6528038636973441,1.384491548162061,0.0429299704856453,0.15025489669975856
