Map,Games,RedWins,BlueWins,Red Win %,Blue Win %
Audacity 2,1823,926,897,0.507953922106418,0.492046077893582
Moon Base 2024,1604,845,759,0.5268079800498753,0.47319201995012466
Pine,325,137,188,0.42153846153846153,0.5784615384615385
Asida,1988,1034,954,0.5201207243460765,0.4798792756539235
Oak,942,487,455,0.5169851380042463,0.4830148619957537
Combine,1343,663,680,0.4936708860759494,0.5063291139240507
OTI MERALD,920,452,468,0.49130434782608695,0.508695652173913
Centenaria,1361,691,670,0.5077149155033064,0.4922850844966936
GFY,133,70,63,0.5263157894736842,0.47368421052631576
Milano 2,1320,689,631,0.521969696969697,0.478030303030303
Catch-24,388,216,172,0.5567010309278351,0.44329896907216493
Willow 2,765,373,392,0.4875816993464052,0.5124183006535947
Sardonica,912,436,476,0.4780701754385965,0.5219298245614035
A Flaccid Type Map,1588,798,790,0.5025188916876574,0.49748110831234255
Crawfish Boil,1,1,0,1.0,0.0
OTI Jardim,431,234,197,0.54292343387471,0.45707656612529
Sugar Free Hill,234,110,124,0.4700854700854701,0.5299145299145299
Nuke,168,90,78,0.5357142857142857,0.4642857142857143
Thicket 2,395,198,197,0.5012658227848101,0.49873417721518987
Apparition 2023,236,132,104,0.559322033898305,0.4406779661016949
Pilot 3,202,103,99,0.5099009900990099,0.4900990099009901
Haste,154,82,72,0.5324675324675324,0.4675324675324675
Transilio 2024,99,60,39,0.6060606060606061,0.3939393939393939
Pretzel 2,33,21,12,0.6363636363636364,0.36363636363636365
