Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Chritt,Red,8.3,1,0,15,38,15,19,7,7,24,2,16,113,0,44,215,0.37,12.5,0.0,4,0,0,2.53,3.43,0.11,0,8,2,1,0,1,0,2,53.33,50.0,14.29,28.57
Toidi,Blue,8.3,-1,0,4,26,4,4,18,22,207,5,16,46,0,18,148,5.5,31.25,0.0,0,4,0,6.5,11.5,1.4,0,1,0,0,0,9,1,9,25.0,0.0,50.0,50.0
Kep,Blue,8.3,-1,1,15,100,14,14,3,5,13,1,16,70,0,28,148,0.36,6.25,6.67,0,2,0,6.67,4.33,0.09,1,4,0,0,0,0,0,1,26.67,0.0,0.0,33.33
rai,Blue,8.3,-1,1,10,81,9,9,6,6,49,1,16,97,0,38,148,0.67,6.25,10.0,0,0,0,8.1,8.17,0.33,0,2,0,0,0,1,0,3,20.0,0.0,16.67,50.0
EpicBlob,Red,8.3,1,2,10,46,8,10,6,6,123,4,16,76,0,30,215,0.6,25.0,20.0,2,0,0,4.6,20.5,0.57,1,5,1,0,1,3,0,3,50.0,0.0,50.0,50.0
bubblez,Red,8.3,1,0,5,29,5,8,7,7,151,2,16,74,0,28,215,0.88,12.5,0.0,3,0,0,5.8,21.57,0.7,0,1,0,0,0,2,0,4,20.0,0.0,28.57,57.14
FL,Blue,8.3,-1,0,2,8,2,3,10,17,245,1,16,48,0,18,148,5.67,6.25,0.0,1,7,0,4.0,24.5,1.66,0,0,0,0,0,9,0,9,0.0,0.0,90.0,90.0
jmu,Red,8.3,1,1,10,35,9,15,9,9,23,0,16,100,0,40,215,0.6,0.0,10.0,6,0,0,3.5,2.56,0.11,0,5,0,0,0,1,1,2,50.0,0.0,11.11,22.22
