Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
J24gordon,Red,8.0,-3,1,10,119,9,11,9,13,59,4,14,86,0,34,286,1.18,28.57,10.0,2,4,0,11.9,6.56,0.21,3,1,0,0,0,4,0,3,10.0,0.0,44.44,33.33
Dad Jokes!,Blue,8.0,3,1,9,55,8,14,4,7,21,4,14,52,5,21,300,0.5,28.57,11.11,6,3,0,6.11,5.25,0.07,0,3,1,0,0,0,1,1,33.33,0.0,0.0,25.0
BUTT,Red,8.0,-3,0,12,93,11,14,2,4,10,2,14,87,0,34,286,0.29,14.29,0.0,3,2,1,7.75,5.0,0.03,2,2,2,1,0,0,0,2,16.67,50.0,0.0,100.0
trash panda,Blue,8.0,3,1,8,108,6,7,15,17,74,1,14,30,0,12,300,2.43,7.14,12.5,1,2,1,13.5,4.93,0.25,2,2,2,1,0,8,0,8,25.0,50.0,53.33,53.33
Zoltan Mesko,Red,8.0,-3,0,11,64,11,14,10,10,31,0,14,67,10,28,286,0.71,0.0,0.0,3,0,0,5.82,3.1,0.11,0,5,0,0,0,2,1,3,45.45,0.0,20.0,30.0
aeps002,Red,8.0,-3,0,6,24,6,13,9,9,75,0,14,43,0,16,286,0.69,0.0,0.0,7,0,0,4.0,8.33,0.26,0,3,0,0,0,5,0,5,50.0,0.0,55.56,55.56
Ann with a E,Blue,8.0,3,0,10,63,10,12,12,12,64,2,14,55,0,22,300,1.0,14.29,0.0,2,0,0,6.3,5.33,0.21,0,3,1,1,0,2,1,2,30.0,100.0,16.67,16.67
supergremlin,Blue,8.0,3,2,12,60,10,13,5,7,39,1,14,94,5,37,300,0.54,7.14,16.67,3,2,0,5.0,7.8,0.13,0,3,2,0,0,1,0,2,25.0,0.0,20.0,40.0
