Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Zeke,Red,8.0,2,3,16,114,13,14,9,13,26,2,14,80,5,33,300,0.93,14.29,18.75,1,4,0,7.12,2.89,0.09,0,2,2,1,1,2,1,1,12.5,50.0,22.22,11.11
profquibb,Blue,8.0,-2,2,14,72,12,15,20,21,38,2,14,61,20,28,334,1.4,14.29,14.29,3,1,0,5.14,1.9,0.11,0,2,3,1,0,4,1,5,14.29,33.33,20.0,25.0
~zion~,Red,8.0,2,0,11,71,11,12,19,23,59,1,14,84,5,33,300,1.92,7.14,0.0,1,4,0,6.45,3.11,0.2,0,3,1,1,0,6,1,7,27.27,100.0,31.58,36.84
Youareyou,Red,8.0,2,1,12,77,11,15,8,8,47,1,14,105,25,47,300,0.53,7.14,8.33,4,0,0,6.42,5.88,0.16,0,1,1,0,0,2,0,2,8.33,0.0,25.0,25.0
nej,Blue,8.0,-2,0,11,77,11,14,7,9,87,5,14,86,10,36,334,0.64,35.71,0.0,3,2,0,7.0,12.43,0.26,1,2,2,2,0,2,1,4,18.18,100.0,28.57,57.14
kojiro,Blue,8.0,-2,1,17,103,15,17,6,12,17,2,14,104,10,42,334,0.71,14.29,5.88,2,6,1,6.06,2.83,0.05,0,4,3,0,0,2,0,0,23.53,0.0,33.33,0.0
11th Cmndmnt,Blue,8.0,-2,0,13,48,13,15,11,12,49,1,14,110,20,48,334,0.8,7.14,0.0,2,1,0,3.69,4.45,0.15,0,7,1,0,0,2,0,4,53.85,0.0,18.18,36.36
KALX,Red,8.0,2,1,11,72,9,14,15,16,38,0,14,147,20,62,300,1.14,0.0,9.09,5,1,1,6.55,2.53,0.13,0,4,3,0,0,4,2,4,36.36,0.0,26.67,26.67
