Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Riven,Blue,8.1,-1,1,8,137,7,10,17,30,33,5,14,55,0,22,360,3.0,35.71,12.5,3,13,0,17.12,1.94,0.09,1,2,1,0,0,6,0,8,25.0,0.0,35.29,47.06
Sphereful,Blue,8.1,-1,1,5,89,4,7,8,8,38,1,14,51,0,20,360,1.14,7.14,20.0,3,0,0,17.8,4.75,0.11,1,2,0,0,0,2,1,3,40.0,0.0,25.0,37.5
RageQuit,Blue,8.1,-1,1,9,41,8,10,4,4,36,1,14,53,18,23,360,0.4,7.14,11.11,2,0,0,4.56,9.0,0.1,0,3,2,1,0,0,0,0,33.33,50.0,0.0,0.0
Messy,Red,8.1,1,0,4,31,4,13,12,16,60,2,14,87,10,36,354,1.23,14.29,0.0,9,4,0,7.75,5.0,0.17,1,1,1,0,0,6,1,7,25.0,0.0,50.0,58.33
ipopu,Red,8.1,1,0,7,64,6,10,11,11,77,1,14,45,0,18,354,1.1,7.14,0.0,4,0,1,9.14,7.0,0.22,0,0,0,0,0,5,1,8,0.0,0.0,45.45,72.73
nej,Red,8.1,1,3,14,156,11,12,0,0,6,2,14,86,0,34,354,0.0,14.29,21.43,1,0,0,11.14,0.0,0.02,2,4,2,1,1,0,0,0,28.57,50.0,0.0,0.0
Damian,Blue,8.1,-1,1,12,87,11,17,2,2,4,0,14,55,0,22,360,0.12,0.0,8.33,6,0,0,7.25,2.0,0.01,2,4,1,0,0,0,1,0,33.33,0.0,0.0,0.0
laserpig,Red,8.1,1,2,12,109,10,16,3,4,7,2,14,90,0,36,354,0.25,14.29,16.67,6,1,0,9.08,2.33,0.02,2,3,1,1,1,0,1,0,25.0,100.0,0.0,0.0
