Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
helprefugees,Blue,9.3,-1,0,9,29,9,12,7,8,101,1,18,81,5,33,261,0.67,5.56,0.0,3,1,0,3.22,14.43,0.39,0,5,2,0,0,1,0,0,55.56,0.0,14.29,0.0
karma,Red,9.3,1,0,7,24,7,12,19,20,90,2,18,70,0,28,274,1.67,11.11,0.0,5,1,0,3.43,4.74,0.33,0,2,1,0,0,7,0,11,28.57,0.0,36.84,57.89
Karasu,Red,9.3,1,2,8,44,6,8,9,11,64,1,18,99,15,41,274,1.38,5.56,25.0,2,2,0,5.5,7.11,0.23,0,1,0,0,1,2,0,3,12.5,0.0,22.22,33.33
snaxolotl,Red,9.3,1,1,18,122,17,18,9,9,3,2,18,95,5,39,274,0.5,11.11,5.56,1,0,0,6.78,0.33,0.01,1,5,2,1,0,2,1,4,27.78,50.0,22.22,44.44
toasty,Blue,9.3,-1,1,12,76,11,12,12,14,71,4,18,92,15,39,261,1.17,22.22,8.33,1,2,0,6.33,5.92,0.27,1,2,1,0,1,1,0,2,16.67,0.0,8.33,16.67
rc,Red,9.3,1,0,9,71,9,11,6,8,85,4,18,74,15,31,274,0.73,22.22,0.0,2,2,0,7.89,14.17,0.31,1,3,0,0,0,3,0,3,33.33,0.0,50.0,50.0
DEAD NAN,Blue,9.3,-1,1,18,111,17,19,10,12,39,3,18,116,10,48,261,0.63,16.67,5.56,2,2,0,6.17,3.9,0.15,1,6,1,1,0,4,0,3,33.33,100.0,40.0,30.0
babyTron,Blue,9.3,-1,0,9,58,9,10,9,11,63,1,18,90,35,43,261,1.1,5.56,0.0,1,2,0,6.44,7.0,0.24,0,2,1,0,0,4,0,3,22.22,0.0,44.44,33.33
