Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
josh61616,Blue,8.0,-2,0,5,32,5,12,5,7,89,2,14,62,15,27,273,0.58,14.29,0.0,7,2,0,6.4,17.8,0.33,0,1,1,0,0,3,0,3,20.0,0.0,60.0,60.0
Armbranch,Red,8.0,2,1,6,70,5,7,10,13,116,4,14,42,7,17,277,1.86,28.57,16.67,2,3,0,11.67,11.6,0.42,1,1,0,0,0,6,1,6,16.67,0.0,60.0,60.0
PenFifteen,Blue,8.0,-2,0,5,34,5,12,9,12,58,1,14,73,30,34,273,1.0,7.14,0.0,7,3,0,6.8,6.44,0.21,1,3,0,0,0,3,0,4,60.0,0.0,33.33,44.44
Poeticalto,Red,8.0,2,1,9,61,8,13,5,10,20,4,14,96,0,38,277,0.77,28.57,11.11,5,5,0,6.78,4.0,0.07,1,3,1,1,0,1,1,1,33.33,100.0,20.0,20.0
babyTron,Blue,8.0,-2,1,7,66,6,10,12,13,46,1,14,45,5,19,273,1.3,7.14,14.29,4,1,0,9.43,3.83,0.17,1,2,1,1,0,1,0,4,28.57,100.0,8.33,33.33
Horizon,Red,8.0,2,2,15,91,13,15,6,8,10,0,14,72,20,32,277,0.53,0.0,13.33,2,2,0,6.07,1.67,0.04,1,4,3,1,0,1,0,1,26.67,33.33,16.67,16.67
metalhead,Red,8.0,2,0,4,51,4,6,6,13,134,2,14,60,42,32,277,2.17,14.29,0.0,2,7,0,12.75,22.33,0.48,1,0,0,0,0,4,0,5,0.0,0.0,66.67,83.33
kutrebar,Blue,7.8,-2,1,12,145,11,12,3,4,17,0,14,66,5,27,273,0.33,0.0,8.33,1,1,0,12.08,5.67,0.06,3,6,2,2,0,1,0,1,50.0,100.0,33.33,33.33
