Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Clovis,Blue,8.0,-3,1,7,43,6,9,11,14,21,2,21,57,0,22,369,1.56,9.52,14.29,3,3,0,6.14,1.91,0.06,0,2,0,0,0,2,0,1,28.57,0.0,18.18,9.09
FlyingV,Red,8.0,3,2,10,146,8,9,8,8,25,4,21,60,0,24,285,0.89,19.05,20.0,1,0,0,14.6,3.12,0.09,2,2,0,0,0,3,0,3,20.0,0.0,37.5,37.5
BUTT,Blue,8.0,-3,1,12,81,11,16,3,4,15,3,21,72,0,28,369,0.25,14.29,8.33,5,1,0,6.75,5.0,0.04,0,3,1,0,0,0,0,0,25.0,0.0,0.0,0.0
Bidet->Wipe,Red,8.0,3,0,7,62,7,13,6,7,31,2,21,71,0,28,285,0.54,9.52,0.0,6,1,0,8.86,5.17,0.11,1,1,0,0,0,2,1,2,14.29,0.0,33.33,33.33
EpicJuker,Red,8.0,3,0,3,20,3,11,18,21,47,2,21,57,0,22,285,1.91,9.52,0.0,8,3,0,6.67,2.61,0.16,0,0,0,0,0,5,1,7,0.0,0.0,27.78,38.89
Ragnar,Blue,8.0,-3,0,12,100,11,14,3,3,1,2,21,69,0,26,369,0.21,9.52,0.0,3,0,1,8.33,0.33,0.0,2,5,0,0,0,0,0,0,41.67,0.0,0.0,0.0
cereballsy,Red,8.0,3,3,10,141,7,13,3,4,20,3,21,57,0,22,285,0.31,14.29,30.0,6,1,0,14.1,6.67,0.07,2,1,0,0,0,1,0,1,10.0,0.0,33.33,33.33
suicidebypop,Blue,8.0,-3,0,7,61,7,12,6,11,12,3,21,50,0,20,369,0.92,14.29,0.0,5,5,0,8.71,2.0,0.03,1,2,0,0,0,2,1,2,28.57,0.0,33.33,33.33
