Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Shaolin,Blue,8.0,-2,1,8,28,7,11,13,13,124,1,14,88,5,35,283,1.18,7.14,12.5,4,0,0,3.5,9.54,0.44,0,4,0,0,0,6,0,7,50.0,0.0,46.15,53.85
umad,Blue,8.0,-2,1,13,80,12,17,6,6,27,0,14,103,5,41,283,0.35,0.0,7.69,5,0,0,6.15,4.5,0.1,1,4,0,0,0,1,0,1,30.77,0.0,16.67,16.67
LiddiLidd,Red,8.0,2,1,12,77,11,11,11,13,85,4,14,85,10,36,245,1.18,28.57,8.33,0,2,0,6.42,7.73,0.35,1,4,0,0,0,3,0,4,33.33,0.0,27.27,36.36
Hockeypuck,Red,8.0,2,0,8,35,7,7,5,8,92,2,14,115,10,48,245,1.14,14.29,0.0,0,3,1,4.38,18.4,0.38,0,3,0,0,0,1,1,1,37.5,0.0,20.0,20.0
rai,Blue,8.0,-2,0,5,42,5,6,10,10,65,1,14,90,0,36,283,1.67,7.14,0.0,1,0,0,8.4,6.5,0.23,0,1,0,0,0,1,0,2,20.0,0.0,10.0,20.0
Nilus,Red,8.0,2,2,14,127,12,13,7,9,26,3,14,113,5,45,245,0.69,21.43,14.29,1,2,0,9.07,3.71,0.11,1,1,1,1,0,3,0,2,7.14,100.0,42.86,28.57
PenFifteen,Red,8.0,2,2,6,44,4,5,14,18,137,1,14,78,10,32,245,3.6,7.14,33.33,1,4,0,7.33,9.79,0.56,0,1,0,0,0,8,1,8,16.67,0.0,57.14,57.14
kutrebar,Blue,8.0,-2,1,14,95,13,15,5,5,39,2,14,90,5,37,283,0.33,14.29,7.14,2,0,0,6.79,7.8,0.14,2,6,1,1,0,0,0,1,42.86,100.0,0.0,20.0
