Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
@pro,Blue,8.2,-1,0,7,106,7,9,14,14,68,1,15,79,0,30,347,1.56,6.67,0.0,2,0,0,15.14,4.86,0.2,3,0,0,0,0,5,0,6,0.0,0.0,35.71,42.86
MURF,Red,8.2,1,0,10,98,10,10,11,11,43,1,15,107,0,42,372,1.1,6.67,0.0,0,0,0,9.8,3.91,0.12,2,2,0,0,0,1,1,1,20.0,0.0,9.09,9.09
Tagger Woods,Red,8.2,1,1,7,53,6,9,8,21,34,3,15,52,0,20,372,2.33,20.0,14.29,3,13,0,7.57,4.25,0.09,1,2,1,1,0,0,0,1,28.57,100.0,0.0,12.5
Schweddys,Blue,8.2,-1,1,11,170,10,11,5,6,30,3,15,66,0,26,347,0.55,20.0,9.09,1,1,0,15.45,6.0,0.09,3,1,0,0,0,2,0,3,9.09,0.0,40.0,60.0
11th Cmndmnt,Blue,8.2,-1,0,3,32,3,7,10,13,69,3,15,87,0,34,347,1.86,20.0,0.0,4,3,0,10.67,6.9,0.2,0,0,1,0,0,2,0,3,0.0,0.0,20.0,30.0
JamesCorny,Blue,8.2,-1,1,10,64,9,17,10,11,31,1,15,116,0,46,347,0.65,6.67,10.0,8,1,0,6.4,3.1,0.09,0,0,0,0,0,1,1,1,0.0,0.0,10.0,10.0
AVP,Red,8.2,1,0,12,77,12,13,5,5,2,0,15,114,0,44,372,0.38,0.0,0.0,1,0,0,6.42,0.4,0.01,0,4,0,0,0,0,0,0,33.33,0.0,0.0,0.0
ALCAEUS,Red,8.2,1,2,13,119,11,12,5,7,4,3,15,80,0,32,372,0.58,20.0,15.38,1,2,0,9.15,0.8,0.01,1,2,0,0,1,0,2,1,15.38,0.0,0.0,20.0
