Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
dyd,Blue,0.9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
greenfish,Red,0.9,1,1,2,24,1,1,0,0,2,0,0,10,0,4,10,0.0,0.0,50.0,0,0,0,12.0,0.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
slime666,Red,0.9,1,0,0,0,0,0,0,0,38,0,0,18,0,6,10,0.0,0.0,0.0,0,0,0,0.0,0.0,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Rabz,Blue,0.3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,40,0.0,0.0,0.0,0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Exsufflicate,Red,0.9,1,0,1,4,0,0,0,0,28,0,0,5,0,2,10,0.0,0.0,0.0,0,0,1,4.0,0.0,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
RodandoAndo,Blue,0.9,-1,0,0,0,0,1,1,1,5,0,0,5,0,2,40,1.0,0.0,0.0,1,0,0,0.0,5.0,0.12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
I <3 Emacs,Red,0.9,1,0,2,12,2,3,1,1,1,0,0,10,0,4,10,0.33,0.0,0.0,1,0,0,6.0,1.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Belacqua,Blue,0.9,-1,0,1,10,1,1,2,2,5,0,0,10,0,4,40,2.0,0.0,0.0,0,0,0,10.0,2.5,0.12,0,0,0,0,0,0,0,1,0.0,0.0,0.0,50.0
