Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Flat Earth,Blue,8.0,-2,1,10,68,9,11,17,18,28,1,14,79,0,30,340,1.64,7.14,10.0,2,1,0,6.8,1.65,0.08,1,4,2,1,1,4,1,6,40.0,50.0,23.53,35.29
Lysdexic,Red,8.0,2,0,9,81,9,10,16,17,55,3,14,90,0,36,335,1.7,21.43,0.0,1,1,0,9.0,3.44,0.16,1,2,1,1,0,5,3,5,22.22,100.0,31.25,31.25
Glimmer,Red,8.0,2,0,10,54,10,10,7,15,26,3,14,93,0,36,335,1.5,21.43,0.0,0,8,0,5.4,3.71,0.08,1,4,0,0,0,1,0,1,40.0,0.0,14.29,14.29
RoVo,Blue,8.0,-2,0,7,53,7,11,13,14,10,1,14,76,0,30,340,1.27,7.14,0.0,4,1,0,7.57,0.77,0.03,1,3,1,0,0,3,0,5,42.86,0.0,23.08,38.46
nej,Blue,8.0,-2,0,11,91,11,12,9,9,49,2,14,88,0,34,340,0.75,14.29,0.0,1,0,0,8.27,5.44,0.14,1,1,0,0,0,2,1,3,9.09,0.0,22.22,33.33
AVP,Red,8.0,2,1,13,76,12,13,9,9,23,1,14,84,0,32,335,0.69,7.14,7.69,1,0,0,5.85,2.56,0.07,0,3,1,0,0,3,0,4,23.08,0.0,33.33,44.44
Horizon,Red,8.0,2,4,16,129,12,12,6,6,25,0,14,99,0,38,335,0.5,0.0,25.0,0,0,0,8.06,4.17,0.07,1,1,2,1,2,0,0,1,6.25,50.0,0.0,16.67
MDK,Blue,8.0,-2,2,13,123,11,13,4,4,31,3,14,86,0,34,340,0.31,21.43,15.38,2,0,0,9.46,7.75,0.09,2,1,0,0,0,1,0,1,7.69,0.0,25.0,25.0
